خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
همه‌را در اتاقک کوچک زیرزمینی قرار می‌دهند و از آنها می‌خواهند که منتظر ماشین برای انتقال به محل امن‌تر بمانند,ҳамаро дар утоқаки кӯчаки зерзаминӣ қарор медиҳанд ва аз онҳо мехоҳан мунтазири мошин барои интиқол ба маҳалли амнтар бимонанд
متشین از راه می‌رسد در باز می‌شود و مردان مسلح وارد می‌شوند و همه‌را در یک آن به رگبار گلوله می‌بندند,мошин аз роҳ мерасад дар боз мешавад ва мардони мусаллаҳ ворид мешаванду ҳамаро дар як он ба рагбори гулула мебанданд
پیکرها‌را در اسید آغشته می‌کنند و در دو گور دسته‌جمعی به خاک می‌سپارند,пайкарҳоро дар асид тезоб оғушта мекунанду дар ду гӯри дастаҷамъӣ ба хок месупоранд
و بدین گونه حکومتی‌را آغاز می‌کنند که وعده خوشبختی و دادورزی به آحاد بشر‌را داده بود,ва бад-ин гуна ҳукуматеро оғоз мекунанд ки ваъдаи хушбахтию додварзӣ ба оҳоди башарро дода буд
محل جنایت اکنون از صفحه هستی زدوده شده,маҳалли ҷиноят акнун аз сафҳаи ҳастӣ зудуда шуда
در سال به مناسبت شصتمین سالروز انقلاب ویرانگر اکتبر به دستور حزب کمونیست شوروی خانه ایپات‌یف با خاک یکسان شد؛ سال پس از اعدام فجیع خانواده رُمانف و سال پیش از مرگ خود اتحاد شوروی,дар соли ба муносибати шастумин солрӯзи инқилоби вайронгари уктубр ба дастури ҳизби кумунисти шӯравӣ хонаи ипотйеф бо хок яксон шуд сол пас аз эъдоми фаҷеъи хонаводаи румонуф ва сол пеш аз марги худи иттиҳоди шӯравӣ
در سال بوریس یلتسین رئیس‌جمهور وقت روسیه اعدام خانواده رُمانف‌را یکی از شرم‌بارترین صفحات تاریخ کشورش نامید,дар соли дар ҷои хонаи ипотйеф калисои бошукӯҳе ба ёди хонадони румонуф қад ъалам кард
برای شخص من ابعاد انسانی این قضیه پررنگ‌تر و تکان‌دهنده‌تر از بعد سیاسی آن است,калисои уртудукси русия қурбониёни он моҷароро шуҳадои қиддис ъунвон кард
چه بسا دادخواهانی که با ارتکاب وحشیانه‌ترین جنایات بشری پنداشته‌اند که در حال اعمار یک جامعه مبتنی بر عدالت هستند,дар соли бурис елтсин раисҷумҳури вақти русия эъдоми хонаводаи румонуфро яке аз шармбортарин сафаҳоти торихи кишвараш номид
مرور نامه‌ها و یادداشت‌های بازمانده از فرزندان تزار به‌ویژه چهار دختر او که بزرگ‌تر بودند و مشاهدات جالبی از رخدادهای پیرامون خود داشتند موضوع‌را روشن‌تر می‌کند,барои шахси ман абъоди инсонии ин қазия пуррангтару такондиҳандатар аз буъди сиёсии он аст чи басо додхоҳон-е ки бо иртикоби ваҳшиёнатарин ҷиноёти башарӣ пиндоштаанд ки дар ҳоли эъмори як ҷомеъаи мубтанӣ бар ъадолат ҳастанд
از نخستین تلاش‌ها برای اصلاح و تغییر رسم‌الخط فارسی بیش از صد سال می‌گذرد اما باب این بحث همچنان گشوده است,аз нахустин талошҳо барои ислоҳу тағйири расмулхатти форсӣ беш аз сад сол мегузарад аммо боби ин баҳс ҳамчунон гушуда аст
با ورود به عصر رایانه این گفتمانِ کهن دوباره جان گرفته و دامن پهن کرده است,бо вуруд ба ъасри роёна ин гуфтмони куҳан дубора ҷон гирифта ва доман паҳн кардааст
هنوز هم هستند صاحب‌نظرانی که به شیوۀ میرزا فتحعلی آخوندزاده در اواسط سدۀ میلادی با اشاره به مشکلات نوشتاری از خیر دبیره فارسی گذشته‌اند و به ضرورت جایگزینی آن با خطی دیگر ایمان دارند,ҳанӯз ҳам ҳастанд соҳибназароне ки ба шеваи мирзо фатҳъалии охундзода дар авосити садаи мелодӣ бо ишора ба мушкилоти нивишторӣ аз хайри дабираи форсӣ гузаштаанд ва ба зарурати ҷойгузинии он бо хатте дигар имон доранд
این در حالی است که تاجیکستان به عنوان نمایشگاه زندۀ این اصلاح و تغییر در زبان پارسی وجود دارد,ин дар ҳолест ки тоҷикистон ба ъунвони намоишгоҳи зиндаи ин ислоҳу тағйир дар забони порсӣ вуҷуд дорад
صد سال پیش امارت بخارا به دست ارتش سرخ تسخیر شد و نُه سال بعد رسم‌الخط پارسی در این خطه به لاتین تبدیل شد,сад сол пеш иморати бухоро ба дасти артиши сурх тасхир шуд ва нуҳ сол баъд расмулхатти порсӣ дар ин хитта ба лотин табдил шуд
دبیرۀ لاتین ده سال عمر کرد پیش از اینکه جای خود‌را به رسم‌الخط سیریلیک بدهد,дабираи лотин даҳ сол ъумр кард пеш аз ин ки ҷои худро ба расмулхатти сириллик бидиҳад
چون اشاره‌ای به آخوندزاده داشتیم داستان‌را از زندگی و کارنامۀ همو آغاز کنیم,чун ишорае ба охундзода доштем достонро аз зиндагӣ ва корномаи ҳамӯ оғоз кунем
میرزا فتحعلی سال میلادی در شهرک نوخه از توابع شهر شکی آذربایجان زاده شد که اکنون در نزدیکی مرز جمهوری آذربایجان با داغستان روسیه و کشور گرجستان است,мирзо фатҳъалӣ соли мелодӣ дар шаҳраки нӯха аз тавобеъи шаҳри шакии озарбойҷон зода шуд ки акнун дар наздикии марзи ҷумҳурии озарбойҷон бо доғистони русия ва кишвари гурҷистон аст
تا آن زمان نوخه و شکی از توابع ایران بودند و یک سال بعد با امضای عهدنامۀ گلستان جزء قلمرو روسیه شدند,то он замон нӯха ва шакӣ аз тавобеъи эрон буданд ва як сол баъд бо имзои ъаҳдномаи гулистон ҷузъи қаламрави русия шуданд
پدرش میرزا محمدتقی اهل تبریز بود و کدخدای روستای خامنه که اکنون شهری است در استان آذربایجان شرقی ایران,падараш мирзо муҳаммадтақӣ аҳли табрез буд ва кадхудои рустои хомина ки акнун шаҳрест дар устони озарбойҷони шарқии эрон
یک سال پیش از تولد میرزا فتحعلی پدرش از این مقام برکنار شده بود,як сол пеш аз таваллуди мирзо фатҳъалӣ падараш аз ин мақом барканор шуда буд
میرزا فتحعلی در دنیایی متفاوت بزرگ شد؛ دنیایی ایرانی که در اشغال روسیه راه و روش دیگری می‌پیمود,мирзо фатҳъалӣ дар дунёе мутафовит бузург шуд дунёе эронӣ ки дар ишғоли русия роҳу равиши дигаре мепаймуд
در نتیجه در عین حفظ ایرانیت خود پیرو نحله‌های فکری زادبومش بود که دیگر بخشی از امپراتوری روسیه به شمار می‌رفت,дар натиҷа дар ъайни ҳифзи эронияти худ пайрави ниҳлаҳои фикрии зодбумаш буд ки дигар бахше аз импротурии русия ба шумор мерафт
میرزا فتحعلی آخوندزاده که در اتحاد شوروی پیشین با نام فتحعلی آخوندف شناخته می‌شود عمر خود‌را وقف اصلاح و تغییر رسم‌الخط ترک و تاجیک ترک و ایرانی کرد؛ هرچند تا پایان عمرش این تلاش‌ها باری نداد,мирзо фатҳъалии охундзода ки дар иттиҳоди шӯравии пешин бо номи фатҳъалӣ охундуф шинохта мешавад ъумри худро вақфи ислоҳу тағйири расмулхатти турку тоҷик турку эронӣ кард ҳарчанд то поёни ъумраш ин талошҳо бор надод
او نخست خواهان اصلاح الفبای عربی برای ملل ترک و فارس بود؛ بعد بر مبنای الفبای روسی و لاتین رسم‌الخط تازه‌ای‌را برای همۀ آنها پی ریخت,ӯ нахуст хоҳони ислоҳи алифбои ъарабӣ барои милали турку форс буд баъд бар мабнои алифбои русию лотин расмулхатти тозаеро барои ҳамаи онҳо пай рехт
خود او در منظومه‌ای که به سبک شاهنامه به پارسی سروده جزئیات تلاش‌هایش در راستای اصلاح و تغییر رسم‌الخط‌را تعریف می‌کند,худи ӯ дар манзумае ки ба сабки шоҳнома ба порсӣ суруда ҷузъиёти талошҳояш дар ростои ислоҳу тағйири расмулхатро таъриф мекунад
پاره‌هایی از این منظومه سال در شماره‌های چهارم و پنجم مجلۀ رهبر دانش در تاجیکستان شوروی منتشر شد,пораҳое аз ин манзума соли дар шумораҳои чаҳоруму панҷуми маҷаллаи раҳбари дониш дар тоҷикистони шӯравӣ мунташир шуд
درست در بحبوحۀ بحث تغییر الفبای فارسی به لاتین در آسیای میانه نویسنده‌ای با امضای رحیم میم در این مجلۀ پارسی‌زبان پاره‌هایی از آن چکامۀ آخوندزاده‌را آورده است,дуруст дар буҳбӯҳаи баҳси тағйири алифбои форсӣ ба лотин дар осиёи миёна нивисандае бо имзои раҳими мим дар ин маҷаллаи порсизабон пораҳое аз он чакомаи охундзодаро овардааст
تاجیکستان شوروی که بخش شرقی امارت پیشین بخارا بود بنا به دستور کرملین باید به تغییر خط تن می‌داد,тоҷикистони шӯравӣ ки бахши шарқии иморати пешини бухоро буд бино ба дастури кремлин бояд ба тағйири хат тан медод
رسانه‌های دولتی برای تبیین منظور دولت شوراها نهایت تلاش خود‌را می‌کردند,расонаҳои давлатӣ барои табйини манзури давлати шӯроҳо ниҳояти талоши худро мекарданд
مقالۀ رحیم میم هم در پنجاهمین سالگرد درگذشت فتحعلی آخوندزاده پاره‌ای از آن تلاش‌ها بود,мақолаи раҳими мим ҳам дар панҷоҳумин солгарди даргузашти фатҳъалии охундзода порае аз он талошҳо буд
میرزا فتحعلی دربارۀ تغییر الفبای عرب در سال به زبان فارسی کتابچه‌ای می‌نویسد و در سال برای اعلان نمودن این خیال خود به استانبول می‌رود و کتابچۀ خود‌را به صدر اعظم ترکیه فواد پاشا پیشنهاد می‌کند,мирзо фатҳъалии охундзода дар бораи тағйири алифбои ъараб дар соли ба забони форсӣ китобчае менивисад ва дар соли барои эълон намудани ин хиёли худ ба истонбул меравад ва китобчаи худро ба садри аъзами туркия фуодпошшо пешниҳод мекунад
این کتابچۀ میرزا فتحعلی‌را در جمعیت علمی ترکیه مذاکره کرده از هر جهت مقبول می‌شمارند,ин китобчаи мирзо фатҳъалиро дар ҷамъияти ъилмии туркия музокира карда аз ҳар ҷиҳат мақбул мешуморанд
در این کتابچه میرزا فتحعلی الفبای عربی‌را اصلاح کرده و شکل‌های اصلاح‌کردۀ خودش‌را نشان داده بوده است,дар ин китобча мирзо фатҳъалӣ алифбои ъарабиро ислоҳ ва шаклҳои ислоҳкардаи худашро нишон дода будааст
میرزا فتحعلی در منظومه‌ای که دربارۀ الفبای نو نوشته است چنین می‌گوید,мирзо фатҳъалӣ дар манзумае ки дар бораи алифбои нав нивиштааст чунин мегӯяд
سفر کردم از راه دریا به روم,сафар кардам аз роҳи дарё ба рум
الفبای نو‌را در آن مرز و بوم,алифбои навро дар он марзу бум
نمودم به ارکان دولت تمام,намудам ба аркони давлат тамом
خیالم بسی پخته بود و نه خام,хиёлам басе пухта буду на хом
یکایک بگفتند صد آفرین,якояк бигуфтанд сад офарин
جهان شد به چشمم چو خلد برین,ҷаҳон шуд ба чашмам чу хулди барин
مرا پایگه بیشتر ساختند,маро пойгаҳ бештар сохтанд
به انعام شاهانه بنواختند,ба инъоми шоҳона бинвохтанд
ادامۀ داستان در این منظومه به این شیرینی و خوش‌بینی نیست,идомаи достон дар ин манзума ба ин ширинию хушбинӣ нест
وزیر مختار وقت ایران در استانبول با بهره‌وری از نفوذ خود جلو پذیرفته شدن اصلاحات آخوندزاده در رسم‌الخط عربی عثمانی‌را می‌گیرد,вазири мухтори вақти эрон дар истонбул бо баҳраварӣ аз нуфузи худ ҷилави пазируфта шудани ислоҳоти охундзода дар расмулхатти ъарабии ъусмониро мегирад
فتحعلی آخوندزاده که در آغاز به فکر اصلاح دبیرۀ عربی بود جری‌تر می‌شود و به فکر برانداختن الفبای رایج می‌افتد,фатҳъалии охундзода ки дар оғоз ба фикри ислоҳи дабираи ъарабӣ буд ҷаритар далертар мешавад ва ба фикри барандохтани алифбои роиҷ меуфтад
با ترکیب‌بندی الفبای روسی و لاتین رسم‌الخط تازه‌ای‌را برای زبان‌های فارسی و ترکی ابداع می‌کند و دوباره سراغ مقام‌هایی‌را می‌گیرد که این تغییر‌را تایید کنند,бо таркиббандии алифбои русию лотин расмулхатти тозаеро барои забонҳои форсию туркӣ ибдоъ мекунад ва дубора суроғи мақомҳоеро мегирад ки ин тағйирро таъйид кунанд
کوتاه سخن پیکار فتحعلی آخوندزاده در طول زندگی شصت‌وشش ساله‌اش به جایی نمی‌رسد و سرانجام می‌سراید,кӯтоҳсухан пайкори фатъалии охундзода дар тӯли зиндагии ба ҷое намерасад ва саранҷом месарояд
به اندوه و حسرت مرا روزگار,ба андӯҳу ҳасрат маро рӯзгор
سر آمد در این دیر ناپایدار,сар омад дар ин дайри нопойдор
به بسیار تدبیرها چنگزن,ба бисёр тадбирҳо чангзан
بسا بودم از فرط حُبِّ وطن,басо будам аз фарти ҳубби ватан
نبخشید سعی‌ام ولی حاصلی,набахшид саъям вале ҳосиле
ندیدم در این عصر صاحبدلی,надидам дар ин ъаср соҳибдиле
بزرگان ترکان و ایران‌زمین,бузургони туркону эронзамин
همه خفته بودند چون خلق چین,ҳама хуфта буданд чун халқи чин
جوانیم رفت و زبون گشت زور,ҷавоним рафту забун гашт зӯр
جوانی ندیدم ابا ذوق و شور,ҷавонӣ надидам або завқу шӯр
آرزوی آخوندزاده,орзуи охундзода
این آرمان‌را فتحعلی آخوندزاده با خودش به گور نبُرد بلکه بسیاری آن‌را پی گرفتند و به منصۀ ظهور رساندند,ин ормонро фатҳъалии охундзода бо худаш ба гӯр набурд балки бисёре онро пай гирифтанду ба мансаи зуҳур расонданд
جمهوری آذربایجان که میرزا فتحعلی آخوندزاده‌را از فرزندان خود می‌داند پیش از همه دست بکار شد,ҷумҳурии озарбойҷон ки мирзо фатҳъалии охундзодаро аз фарзандони худ медонад пеш аз ҳама дастабкор шуд
باکو در سال کمیته‌ای‌را برای گذار به خط لاتین سازمان داد و چهار سال بعد بکلی خط عربی‌را پشت سر گذاشت و بتمام لاتین شد,боку дар соли кумитаеро барои гузор ба хатти лотин созмон дод ва чаҳор сол баъд бакуллӣ хатти ъарабиро пушти сар гузошт ва батамом лотин шуд
لاتینی شدن رسم‌الخط در جمهوری ترکیه دو سال بعد به وقوع پیوست,лотинӣ шудани расмулхат дар ҷумҳурии туркия ду сол баъд ба вуқӯъ пайваст
البته پیشتر از آن در خود روسیه هم اتفاقی در همین راستا رخ داده بود,албатта пештар аз он дар худи русия ҳам иттифоқе дар ҳамин росто рух дода буд
جمهوری خودمختار یاقوتستان نخستین بخش شوروی بود که در سال الفبای لاتین‌را به رسمیت شناخت,ҷумҳурии худмухтори ёқутистон нахустин бахши шӯравӣ буд ки дар соли алифбои лотинро ба расмият шинохт
پس از جمهوری آذربایجان روند لاتینی کردن در همۀ جمهوری‌های مسلمان‌نشین شوروی کلید خورد و رسم‌الخط همۀ آنها لاتینی شد,пас аз ҷумҳурии озарбойҷон раванди лотинӣ кардан дар ҳамаи ҷумҳуриҳои мусалмоннишини шӯравӣ калид хурд ва расмулхатти ҳамаи онҳо лотинӣ шуд
تا سال الفبای هفتاد زبان خُرد و بزرگ اتحاد شوروی لاتینی شده بود و امور تغییر خط‌را کمیته‌ای ویژه در مسکو اداره می‌کرد,то соли алифбои забони хурду бузурги иттиҳоди шӯравӣ лотинӣ шуда буд ва умури тағйири хатро кумитае вежа дар маскав идора мекард
تصمیمِ گذار به خط لاتین از پایتخت امپراتوری دیکته می‌شد,тасмими гузор ба хатти лотин аз пойтахти импротурӣ дикта мешуд
چرا لاتینی,чиро лотинӣ
در اوان پیدایش شوروی مفهوم‌های سوسیالیسم و کمونیسم سیال بودند و تصور می‌رفت که اتحاد شوروی خشت اولِ بارویی است که سرانجام تمام جهان‌را با اهداف کمونیسم گرد هم خواهد آورد,дар авони пайдоиши шӯравӣ мафҳумҳои сусиёлисм ва кумунисм сайёл буданд ва тасаввур мерафт ки иттиҳоди шӯравӣ хишти аввали борӯест ки саранҷом тамоми ҷаҳонро бо аҳдофи кумунисм гирди ҳам хоҳад овард
طبعاً همۀ حکومت‌هایی که سوار بر امواج انقلابی روی کار آمده‌اند به خیال صدور آن موج‌ها به اقصی نقاط جهان بوده‌اند,табъан ҳамаи ҳукуматҳое ки савор бар амвоҷи инқилобе рӯи кор омадаанд ба хиёли судури он мавҷҳо ба ақсо-нуқоти ҷаҳон будаанд
در آغاز پاگیری اتحاد شوروی تصور بر این بود که انقلاب اکتبر در مرزهای امپراتوری تزاری متوقف نخواهد شد,дар оғози погирии иттиҳоди шӯравӣ тасаввур бар ин буд ки инқилоби уктубр дар марзҳои импротурии тезорӣ русия мутаваққиф нахоҳад шуд
پندار خیالپردازان بُلشویک تمام جهان‌را درمی‌نوردید,пиндори хиёлпардозони булшевик тамоми ҷаҳонро дарменавардид
و بر مبنای آن پندار خط لاتین چه برای شرق چه برای غرب خطی شایسته و پسندیده بود که می‌توانست نیاز همۀ زبان‌ها‌را برآورده سازد,ва бар мабнои он пиндор хатти лотин чи барои шарқу чи барои ғарб хатти шоиставу писандида буд ки метавонист ниёзи ҳамаи забонҳоро бароварда созад
آن اوائل حتی در پتروگراد و مسکو حاضر بودند خط سیریلیک‌را به قربانگاه کمونیسم ببَرند و زبان روسی هم به خط لاتین نبشته شود؛ به مانند زبان‌های اسلاوی دیگرِ چکی و لهستانی,он авоил ҳатто дар петругроду маскав ҳозир буданд хатти сирилликро ба қурбонгоҳи кумунисм бибаранд ва забони русӣ ҳам ба хатти лотин нибишта шавад ба монанди забонҳои исломвии дигари чекию лаҳистонӣ
