حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
امروز شورای نگهبان قانون اساسی جمهوری اسلامی ایران هم اعلام نموده که قضیه‌را بررسی خواهد نمود,имрӯз шӯрои нигаҳбони қонуни асосии ҷумҳурии исломии эрон ҳам эълом намуда ки қазияро баррасӣ хоҳад намуд
سخنگوی شورای نگهبان عباس علی کدخدایی هم امروز اعلام نموده که برگزاری انتخابات مجدد از احتمال دور نیست که واقعاً امیدبخش است,сухангӯйи шӯрои нигаҳбон аббос алии кадхудоӣ ҳам имрӯз эълом намуда ки баргузории интихоботи муҷаддад аз эҳтимол дур нест ки воқеъан умедбахш аст
مردم تاجیکستان در واقع باید ملت‌دوستی و میهن‌دوستی‌را از همقومان داخل مرز ایران امروزی یاد بگیرند,мардуми тоҷикистон дар воқеъ бояд миллатдӯстиву меҳандӯстиро аз ҳамқавмони дохили марзи эрони имрӯзӣ ёд бигиранд
این جوانان بیدار از رای خود از رای ملت خود – از حقوق ملت دفاع می‌کنند,ин ҷавонони бедор аз раъйи худ аз раъйи миллати худ – аз ҳуқуқи миллати дифоъ мекунанд
در حالی که روشن نیست چه اتفاقی افتاده این جوانان به خیابان‌ها ریختند تا از دولت تقاضا نمیاند که این قضیه روشن گردد,дар ҳоле ки рӯшан нест чӣ иттифоқе уфтода ин ҷавонон ба хиёбонҳо рехтанд то аз давлат тақозо намоянд ки ин қазия рӯшан гардад
بنده به هیچ وجه از خشونت پشتبانی نمی‌کنم بلکه از بیداری,банда ба ҳеч ваҷҳ аз хушунат пуштибонӣ намекунам балки аз бедорӣ
معترضان هم حداقل عکثریت کل آنان خشونت نمی‌خواهند و تنها می‌خوهند به رای آن‌ها احترام گذاشته شود,мӯътаризон ҳам ҳаддиақал аксарияти кулли онон хушунат намехоҳанд ва танҳо мехоҳанд ба раъйи онҳо эҳтиром гузошта шавад
جوانان ایران در واقع بیدارند و وطن‌دوستند که روز انتخابات به پای صندوق‌های رای ریختند و پس به خیبان‌ها هم ریختند,ҷавонони эрон дар воқеъ бедоранд ва ватандӯстанд ки рӯзи интихобот ба пойи сандуқҳои раъй рехтанд ва пас ба хиёбонҳо ҳам рехтанд
البته در این حالت برخورد نیروهای انتظامی بسیار شگفت‌آور است که با جوانان کشور خود چنین برخورد می‌نمایند,албатта дар ин ҳолат бархурди нерӯҳои интизомӣ бисёр шигифтовар аст ки бо ҷавонони кишвари худ чунин бурхурд менамоянд
امید دیگر این است که نیروهای بیگانه هیچ اقدامی نکنند,умеди дигар ин аст ки нерӯҳои бегона ҳеч иқдоме накунанд
این قضیه‌ی داخلی ایران است و امید بر خدای‌را که معترضان هم هوشیار خواهند بود که دست نیروهای بیگانه به ایران عزیز نرسد,ин қазияи доҳилии эрон аст ва умед бар худойро ки мӯътаризон ҳам ҳушёр хоҳанд буд ки дасти нерӯҳои бегона ба дасти эрони азиз нарасад
زنده باد ایران,зинда бод эрон
دوشنبه خرداد,душанбе хурдоди
از زمان انقلاب فرهنگیان و واردبکاران در باره‌ی فروریزی نظام ایران پیشگویی می‌کردند,аз замони инқилоб фарҳангиён ва воридбакорон дар бораи фурӯрезии низоми эрон пешгӯӣ мекарданд
این هفته هم پیشگویی بهتری نکردند,ин ҳафта ҳам пешгӯии беҳтаре накарданд
عباس برزگر,аббоси барзагар
برگرفته از گاردین,баргирифта аз гордиён
من دقیقاً یک هفته در ایران در حال پوشش کارناوال انتخاباتی هستم,ман дақиқан як ҳафта дар эрон дар ҳоли пӯшиши корноволи интихоботии ҳастам
از روزی که به این جا رسیدم اندک اشخاسی شک داشتند که رییس جمهور فتنه‌انگیز فعلی ایران پیروز خواهد شد,аз рӯзе ки ба ин ҷо расидам андак ашхосе шак доштанд ки раиси ҷумҳури фитнаангези феълии эрон пирӯз хоҳад шуд
راننده‌ی تاکسی‌ام به من یادآوری نمود که رییس جمهور در چهار سال گذشته از هر یک استان دو باری دیدار نموده – ایران تهران نیست گفت او,ронандаи токсиам ба ман ёдоварӣ намуд ки раиси ҷумҳур дар чаҳор соли гузашта аз ҳар як устон ду бор дидор намуда – эрон теҳрон нест гуфт ӯ
حتا وقتی من با حامیان موسوی این پرسش‌را مطرح می‌نمودم پاسخ آنان پر از نیک‌اندیشی شرطی اوبامایی بود – آری ما می‌توانیم امیدوارم اگر شما رای بدهید,ҳатто вақте ман бо ҳомиёни мӯсавӣ ин пурсишро матраҳ менамудам посух онон пур аз некандешии шартии убомоӣ буд – оре мо метавонем умедворам агар шумо раъй бидиҳед
پس پرسش چه گونه موسوی باخت,пас пурсиши чӣ гуна мӯсавӣ бохт
که رسانه‌های بین الملل‌را سرگرم کرده به نظر می‌آید که کمتر مشکل کمیته‌ی انتخابات و بیشتر مشکل درک بد که ریشه در سرپیچی سرسخت درک نقش مذهب در ایران است,ки расонаҳои ғарбро саргарм карда ба назар меояд ки камтар мушкили кумитаи интихобот ва бештар мушкили дарки бад ки реша дар сарпечии дарки нақши мазҳаб дар дар эрон аст
البته امکان واقعی تقلب آرا وجود دارد و باید منتظربماند تا این اتهامات آشکار ‌شوند,албатта имкони воқеъии тақаллуби оро вуҷуд дорад ва бояд мунтазир бимонд то ин иттиҳмот ошкор шаванд
ولی باید یادآور شد که در سه دهه‌ی انتخابات ریاست جمهوری اتهامات تقلب علیه شمار آرا کمسابقه بوده,вале бояд ёдовар шуд ки дар се даҳаи интихоботи раёсати ҷумҳурӣ иттиҳомоти тақаллуб алайҳи шумори оро камсобиқа буда
انتخابات در این جا معمولاً از طریق رد صلاحیت نامزدها یا با بستن روزنامه‌های مخالف نظارت می‌شود,интихобот дар ин ҷо маъмулан аз тариқи радди салоҳияти номзадҳо ё бо бастани рӯзномаҳои мухолиф назорат мешавад
گذشته از آن در این انتخابات دو ناظر دولتی افزون بر مشاهدان از هر جناح شرکت داشتند تا تقلب دستجمعی‌را پیش‌گیری نمایند,гузашта аз он дар ин интихобот ду нозири давлатӣ афзун бар мушоҳидон аз ҳар ҷиноҳ ширкат доштанд то тақаллуби дастиҷамъиро пешгирӣ намоянд
ناباوری احساساتیی که حامیان موسوی همچون دلیل فساد دولتی ابراز نمودند باید با ناباوری برابری از امکان چنین فساد گسترده‌ای در روز روشن برخورد شود,нобоварии эҳсосотие ки ҳомиёни мӯсавӣ ҳамчун далели фасоди давлатӣ иброз намуданд бояд бо нобоварии баробаре аз имкони чунин фасоди густурдае дар рӯзи рӯшан бархурд шавад
پس تا آن زمانی که دلیل قوی که اتحامات اردوگاه مخالفان‌را دستگیری نماید ظاهر نگردد ما باید به دیگر برهان‌هایی روی آوریم که چرا این همه افراد از رویداد آن روز شگفت‌زده شده‌اند,пас то он замоне ки далели қавӣ ки иттиҳомоти урдугоҳи мухолифонро дастгирӣ намояд зоҳир нагардад мо бояд дигар бурҳонҳое рӯй оварем ки чаро ин ҳама афрод аз рӯйдоди он рӯз шигифтзада шудаанд
تا آن جایی که به پوشش رسانه‌های بین المللی ربط دارد اندیشه‌ایی پر از آرزو بر گذارشگری معتبر سایه افگند,то он ҷое ки ба пӯшиши расонаҳои байнулмиллалӣ рабт дорад андешагарии пур аз орзу бар гузоришгарии мӯътабар соя афганд
درست است که حامیان موسوی ترافیک تهران‌را هفته‌ی گذشته هر شب در طول ساعت‌ها شلوغ می‌کردند اگرچه کمتر یادآور می‌شد که این اتفاق در بخش‌های شمالی و ثروتمند پایتخت می‌افتاد,дуруст аст ки ҳомёни мӯсавӣ терофики теҳронро ҳафтаи гузашта ҳар шаб дар тӯли соатҳо шулуғ мекарданд агарчӣ камтар ёдовар мешуд ки ин иттифоқ дар бахшҳои шимолӣ ва сарватманди пойтахт меуфтод
بانوان روسری‌اشان‌را کمی پایین می‌آوردند و مردان جوان در خیابان‌ها می‌رقصیدند,бонувон рӯсариашонро каме поин меоварданд ва мардони ҷавон дар хиёбонҳо мерақсиданд
شب روز دوشنبه حداقل از حامیان نخستوزیر پیشین زنجیره‌ی انسانیی‌را از وسط تهران ساختند,шаби рӯзи душанбе ҳадди ақал аз ҳомиёни нахуствазири пешин занҷираи инсониеро аз васати теҳрон сохтанд
اما ساعاتی پیش من در گردهمایی برای رییس جمهور فعلی حضور داشتم که از طریق رسانه‌های غربی پوشش کم یا هیچ پوششی درنیافت,аммо соъоте пеш ман дар гирдиҳамоие барои раиси ҷумҳури феълӣ ҳузур доштам ки тариқи расонаҳои ғарбӣ пӯшиши кам ё ҳеч пушише дарнаёфт
به این خاطرکه به علت پرجمعیتی در این گردهمایی او آقای احمدی‌نژاد به داخل تالار درآمده نتوانست تا سخنرانی نماید,ба ин хотир ки ба хотири пурҷамъиятӣ дар ин гирдиҳамоӣ ӯ оқои аҳмадинажод ба дохили толор даромада натавонист то суханронӣ намояд
براوردهای حداقل جمعیت در این گردهمایی گفته شده علاقه‌مندان شماره‌را به یک ملیون می‌رسانند,баровардҳои ҳаддиақали ҷамъият дар ин гирдиҳамоӣ гуфта шуда алоқамандон шумораро ба як милюн мерасонанд
من از بالای بام مشاهده می‌نمودم که بانوان چادری و مردان ریش‌دار هر سن و سال گله گله به آن جا می‌ریختند,ман аз болои бом мушоҳида менамудам ки бонувони чодарӣ ва мардони ришдори ҳар синну сол гала-гала ба он ҷо мерехтанд
ولی ناتوانی آزمایش درست امور ایران به هیچ وجه پدیده‌ی تازه‌ا‌ی نیست,вале нотавонии озмоиши дурусти умури эрон ба ҳеч ваҷҳ падидае тозае нест
وقتی انقلاب سال دیکتاتوری نظامی قوی‌ترین متحد آمریکا در منطقه‌را سرنگون نمود اندکی از کارشناسانی که بیرون از کشور بودند حدس می‌زدند که جریان اسلامی به حیث حزب پیشتاز به میان آید,вақте инқилоби соли диктотурии низомии қавитарин муттаҳиди омрико дар минтақаро сарнагун намуд андаке аз коршиносоне ки берун аз кишвар буданд ҳадс мезаданд ки ҷараёни исломӣ ба ҳайси ҳизби пештоз ба миён ояд
ولی در ایران حتا روشنفکر دهری سکولار جلال آل‌احمد نویسنده‌ی کتاب بدنام غربزدگی فروریزی رژیم بر دست جنبش اسلامی‌را بیشتر از یک دهه تا حوادث مهم پیشگویی کرده بود,вале дар эрон ҳатто рӯшанфикри даҳрӣ секулор ҷалол оли аҳмад нависандаи китоби бадноми ғарбзадагӣ фурӯрезии режим бар дасти ҷунбиши исломиро бештар аз як даҳа то ҳаводиси муҳими пешгӯйӣ карда буд
وقتی فیلسوف مستقل فروانسوی میشل فوکو هم درست حدث زد وقتی از خیابان‌ها گذارش می‌داد – بینیشی که تا به حال بسیاری از هوادارانش از آن خودرا دور می‌گیرند,вақте файласуфи мустақили фаронсавӣ мишел фуку ҳам дуруст ҳадс зад вақте аз хиёбонҳо гузориш медод – бинише ки то ба ҳол бисёре аз ҳаводоронаш аз он худро дур мегиранд
از زمان انقلاب فرهنگیان و واردبکاران در باره‌ی فروریزی نظام ایران پیشگویی می‌کردند,аз замони инқилоб фарҳангиён ва воридбакорон дар бораи фурӯрезии низоми эрон пешгӯӣ мекарданд
این هفته هم پیشگویی بهتری نکردند,ин ҳафта ҳам пешгӯии беҳтаре накарданд
چنین اتفاقات خلاف قاعده‌ای‌را تنها می‌توان از طریق عقیده‌ی تاریخی که می‌کوشد دموکراسی مدرن‌را بر پایه‌ی حکمرانی‌های صده‌های گذشته درک نماید شرح داد,чунин иттифоқоти хилофи қоидаиро танҳо метавон аз тариқи ақидаи торихӣ ки мекӯшад демукросии мудернро бар пояи ҳукмрониҳои садаҳои гузашта дарк намояд шарҳ дод
جامعه‌ی ایران جامعه‌ی عمیقاً مذهبی‌ست,ҷомеаи эрон ҷомеаи амиқан мазҳабист
کمونیستان و لیبرال‌ها با اشتباهات شاه همچون خویش‌ و تبارپرستی حکومت مطلق و سرکوبی‌‌را ده‌ها سال بدون هیچ کامیابی جنگیدند,кумунистон ва либеролҳо бо иштибоҳоти шоҳ ҳамчун хешу таборпарастӣ ҳукумати мутлақ ва саркӯбиро даҳҳо сол бидуни ҳеч комёбӣ ҷангиданд
حمله‌ی او به دین بود که منجر به شکست تقریباً شبانه‌ای شاه شد,ҳамлаи ӯ ба дин буд ки мунҷар ба шикасти тақрибан шабонаии шоҳ шуд
از آن پس ایرانیان معمولی آرمان‌های خویش‌را از طریق صندوق رای بکار برده‌اند,аз он пас эрониёни маъмулӣ ормонҳои хешро аз тариқи сандуқи раъй ба кор бурдаанд
سال زمانی که خاکستر جنگ ایران و عراق نشست و کشور دهه‌ی اثتواری نسبی‌را دید رای‌دهندگان توده توده برای پشتبانی از رییس جمهور پیشین و روحانی خاتمی دربرابر ناطق نوری از اعضای ارشد دستگاه برآمدند,соли замоне ки хокистари ҷанги эрону ироқ нишасту кишвар даҳаи устувории нисбиро дид раъйдиҳандагони тӯда барои пуштибонӣ аз раиси ҷумҳури пешин ва рӯҳонӣ хотамӣ дар баробари нотиқи нурӣ аз аъзои аршади дастгоҳ баромаданд
خبرنگاران غربی این‌را همچون جدایی بزرگ بین جوانان آزادی‌دوست لیبرال در برابر روحانیان محافظه‌کار کهن‌سال دیدند,хабарнигорони ғарбӣ инро ҳамчун ҷудоии бузург байни ҷавонони озодидӯсти либерол дар баробари рӯҳониёни муҳофизакори кӯҳансол диданд
ولی در حقیقت این رای برای آرمان راستکاری و پارسایی ضد اتحامات فساد گسترده بود,вале дар ҳақиқат ин раъй барои ормони росткорӣ ва порсоӣ зидди фасоди густурда буд
بسیاری از همان حامیان خاتمی دیروز به احمدی‌نژاد رای دادند,бисёре аз ҳамон ҳомиёни хотамӣ дирӯз ба аҳмадинажод раъй доданд
با وجود این که تصویر خاتمی روی هر کدام از اعلان‌های لوحه‌های تبلغاتی موسوی‌را آرایش می‌داد,бо вуҷуди ин ки тасвири хотамӣ аз рӯйи ҳар кадом аз аълонҳо лавҳаҳои таблиғотӣ-и мӯсавиро ороиш медод
بیشتر از یک هفته همان انگیزه‌های ضد فساد پوپولیسم و پارسایی مذهبی که به انقلاب رسانید در دسترسی هر کسی که می‌خواست از آن گذارش نماید بود,бештар аз як ҳафта ҳамон ангезаҳои зидди фасод пупулисм ва порсоии мазҳабӣ ки ба инқилоб расонид дар дастрасии ҳар касе ки мехост аз он гузориш намояд буд
احمدی‌نژاد برای بسیاری در کشور مجسم همان آرمان‌هاست,аҳмадинажод барои бисёре дар кишвар муҷассами ҳамон ормонҳост
از آن روز که او به ریاست جمهوری رسید از پوشیدن کت و شلوار سرپیچی کرد از کوچ بستن از خانه‌ای که از پدرش به میراث رسیده سرپیچی نمود و از متوفق کردن لحنش علیه آنانی که آن‌هارا در خیانت به ملت متهم کرده سرپیچی نمود,аз он рӯз ки ӯ ба раёсати ҷумҳурӣ расид аз пӯшидани куту шалвор костюм сарпечӣ кард аз кӯч бастан аз хонае ки аз падараш ба мерос расида сарпечӣ намуд
زمانی که او رقیب با نفوذ آیت‌الله هاشمی رفسنجانی خود شیر انقلاب‌را در فساد انگلی پارازیتی متهم کرد و خیانت اورا به نیرنگی علیه محمد پیامبر که سالی پیش به انشعاب سنی و شیعه رسانید برابر نمود او انگیزه‌ی مردمی‌را که تصور توده‌هارا این جا در طول نسل‌ها نگه داشته رها کرد,замоне ки ӯ аз рақиби бонуфуз оятуллоҳ ҳошимии рафсанҷонӣ худи шери инқилобро дар фасоди ангалӣ порозитӣ муттаҳам кард ва хиёнати ӯро ба найранге алайҳи муҳаммад паёмбар ки соле пеш ба иншиъоби суннӣ ва шиъа расонид баробар намуд ӯ ангезаи мардумиро ки тасаввури тӯдаҳоро ин ҷо дар тӯли наслҳо нигаҳ дошта раҳо кард
آنی که رفسنجانی از خود در روزنامه‌ی موسوی دفاع کرد معنای انتهای اصلاح‌طلبان‌را داشت,оне ки рафсанҷонӣ аз худ дар рӯзномаи мӯсавӣ дифоъ кард маънои интиҳои ислоҳталабонро дошт
در هفته‌ی آخر احمدی‌نژاد انتخابات‌را به همه‌پرسی خود طرح پروژه انقلاب اسلامی ایران تبدیل داد,дар ҳафтаи охар аҳмадинажод интихоботро ба ҳамапурсии худи тарҳ перужа-и инқилоби исломии эрон табдил дод
شعارهای آنان بود مرگ بر دشمنان رهبر معظم که پس از آن تشریفات و سوگواری‌های سنتی شیعه پیش می‌آمد,шиъорҳои онон буд марг бар душманони раҳбари муъаззам ки пас аз он ташрифот ва сӯгвориҳои суннатии шиъа пеш меомад
این با جوانان روح‌بلند و شوخی‌دوست شمال تهران که احمدی بای بای احمدی بای بای یا یه هفته – دو هفته محمود حموم نرفته می‌خواندند برابر نبود,ин бо ҷавонони рӯҳбаланду шӯхидӯсти шимоли теҳрон ки аҳмадӣ бой бой аҳмадӣ бой бой ё йе ҳафте – ду ҳафте маҳмуд ҳаммум нарафте мехонданд баробар набуд
شاید سرنوشت موسوی از آغاز شکست بود چون او امیدوار بود انرژی سخنوری طبقات بالا و لیبرال‌را با سود تجاری بازاری‌ها آمیخته نماید,шояд сарнавишти мӯсавӣ аз оғоз шикаст буд чун ӯ умедвор буд энержии суханварии табақоти боло ва либеролро бо суди тиҷории бозориҳо омехта намояд
مبارزات انتخاباتی فیس‌بوک و پیامک‌ها برای احالی رستایی و طبقه‌ی کارگر که می‌کوشند زندگی روزمره‌اشان‌را گزرانند گذشته از آن وقت پیدا کنند تا تارنگارهای هفته‌را در اینترنت کافه‌ای از نظر گذرانند کاملاً نا مربوط بود,муборизоти интихоботии ва паёмакҳо барои аҳолии рустоӣ ва табақаи коргар ки мекӯшанд зиндагии рӯзмарраашонро гузаронанд ва гузашта аз он вақт пайдо кунанд то торнигорҳои ҳафтаро дар интернет кофее аз назар гузаронанд комилан номарбут буд
هرچند موسوی کوشش کرد به این طبقات از طریق مسائل تورم و فقر رسیدگی نماید آن‌ها طور دیگری رای دادند,ҳарчанд мӯсавӣ кӯшиш кард ба ин табақот аз тариқи масоъили таваррум ва фақр расидагӣ намояд онҳо таври дигаре раъй доданд
در آینده مشاهدان به ما مرحمت خواهند کرد اگر به جامعه‌ی ایران ژرف‌تر بنگرند و به ما تصویر دقیق ساخت مذهبی اصلی کشور و باطل کردن داستان لیبرالیسم ناگذیر,дар оянда мушоҳидон ба мо марҳамат хоҳанд кард агар ба ҷомеаи эрон жарфтар бингаранд ва ба мо тасвири дақиқи сохти мазҳабии аслии кишвар ва ботил кардани достони либеролисм ногузир
این همان جنبه‌های مذهبی ایران معمایی بود که به آوردن زاهد ساله‌ی تبعید شده به سر دولت سالی پیش مساعدت نمود پس از آن روحانی جذاب‌را به ریاست جمهوری سالی پیش رسانید پسر راستکار آهنگر احمدی‌نژادرا چهرا سالی پیش و باز اورا دیروز به ریاست جمهوری رسانید,ин ҳамон ҷанбаҳои мазҳабии эрони маъомӣ буд ки ба овардани зоҳиди табъид шуда ба сари давлат сӣ соле пеш мусоъидат намуд пас аз он рӯҳонии ҷаззобро ба раёсати ҷумҳурӣ соле пеш расонид писари росткори оҳангар аҳмадинажодро чаҳор соле пеш ва боз ӯро дирӯз ба раёсати ҷумҳурӣ расонид
عباس برزگر داوطلب درجه‌ی دکترای مطالعات دینی در دانشگاه اموری در شهر آتلانتای ایالت جورجیا می‌باشد,аббоси барзагар довталаби дараҷаи дуктурои мутолиъоти динӣ дар донишгоҳи эмурӣ дар шаҳри отлонтои аёлати ҷурҷиё мебошад
نخست می‌خواستم به خاطر به روز نشدن طولانی جام جم از عزیزان پوزش بخواهم,нахуст мехостам ба хотири ба рӯз нашудани тӯлонии ҷоми ҷам аз азизон пӯзиш бихоҳам
در هفته‌های گذشته خیلی سیرکار بودم و این گرفتاری‌ها اجازه نمی‌داد که به جام جم رسیدگی نمایم,дар ҳафтаҳои гузашта серкор будам ва ин гирифториҳо иҷоза намедод ки ба ҷоми ҷам расидагӣ намоям
جند روزی پیش روی تارنگار یک درویش نیز مطلب جالبی در باره‌ی وضع تارنگارهای تاجیک نشر شده که مثل همیشه پر از مهر بود,чанд рӯзе пеш рӯйи торнигори як дарвеш низ матлаби ҷолибе дар бораи вазъи торнигорҳои тоҷик нашр шуда ки мисли ҳамеша пур аз меҳр буд
در واقع حق با اوست که به روز نمودن تارنگارهارا هم جزئی از,дар воқеъ ҳақ бо ӯст ки ба рӯз намудани торнигорҳоро ҳам ҷузъе аз
کارهایمان بدانیم,корҳоямон бидонем
در روزهای آخر صحبت‌های زیادی در باره‌ی پیام رییس جمهور آمریکا به عالم اسلام هست,дар рӯзҳои охар сӯҳбатҳои зиёде дар бораи паёми раиси ҷумҳури омрико ба олами ислом ҳаст
در واقع این سخنرانی که در شهر قاهره برگذار گردید به میلیون‌ها مسلمانان و غیر مسلمانانی که در کشورهای عمدتاً مسلمان‌نشین به سر می‌برند یک نوع امیدی برای آینده‌ی نیک اندوخت,дар воқеъ ин суханронӣ ки дар шаҳри қоҳира баргузор гардид ба милюнҳо мусалмонон ва ғайри мусалмононе ки дар кишварҳои умдатан мусалмоннишин ба сар мебаранд як навъ умеде барои ояндаи нек андӯхт
این سخنرانی خیلی ماهرانه اجرا شده بود و پیام تازه‌ای‌را به جهان اسلام ارسال نمود,ин суханронӣ хеле моҳирона иҷро шуда буд ва паёми тозае ба ҷаҳони ислом ирсол намуд
هیچ یک رییس جمهور آمریکا پیش از این چنین سخنانی‌را نگفته,ҳеч як раиси ҷумҳури омрико пеш аз ин чунин яу суханонеро нагуфта
به هر حال به نظر بنده نباید از شنیدن این سخنان فکر کنیم که اوضاع دیگر شده,ба ҳар ҳол ба назари банда аз шунидани ин суханон фикр кунем ки авзоъ дигар шуда
یک رییس جمهور و با یک سخنرانی همان طوری که خود اوباما گفت نمی‌تواند اوضاع‌را به کل تغییر نماید,як раиси ҷумҳур ва бо як суханронӣ ҳамон тавре ки худи убомо гуфт наметавонад авзоъро ба кулл тағйир намояд
این پیام یک پیامی بود واقعبینانه و تلاشی بود حساب‌کارانه برای کاهش دادن بدبینی آمریکا که امروز نه تنها در جهان اسلام بلکه میان تمام مردمان آزادمنش پهن شده,ин паём як талоше буд воқеъбинона ва талоше буд ҳисобкорона барои коҳишдодани бадбинии омрико ки имрӯз на танҳо дар ҷаҳон ислом балки миёни тамоми мардумони озодманиш паҳн шуда
بنده با اعتقاد رشید غنی کارشناس تاجیک در مسائل خاور میانه موافقم که در مصاحبه‌ای با بی‌بی‌سی فارسی می‌گوید این سخنان دوستانه نیستند بلکه از نتیجه‌ی شکست آمریکا در افغانستان و عراق برمی‌آید و بیشتر تصمیمی پراگماتیکی می‌باشد,банда бо этиқоди рашиди ғанӣ коршиноси тоҷик дар масоъили ховари миёна мувофиқам ки дар мусоҳибае бо бӣбӣсӣ форсӣ мегӯяд ин суханон дӯстона нестанд балки аз натиҷаи шикасти омрико дар афғонистон ва ироқ бармеояд ва бештар тасмиме перогмотикӣ мебошад
بنده معتقدم که سیاست‌های بنیادی آمریکا تغییر نیافته و این است که امروز برای آمریکا مهم می‌داند بدبینی‌را نصبت به خود کاهش دهد,банда мӯътақидам ки сиёсатҳои бунёдии омрико тағйир наёфта ва ин аст ки имрӯз омрико муҳим медонад бадбиниро нисбат ба худ коҳиш диҳад
خود اوباما اعلام نمود که رابطه‌ی آمریکا و رژیم صحیونیست استثنایی است و این دو به همیشه به هم نزدیک خواهند بود,худи омрико эълом намуд ки робитаи омрико ва режими саҳюнист истисноӣ аст ва ин ду ҳамеша ба ҳам наздик хоҳанд буд
آمریکا امروز با یک نوع بنبستی در خاور میانه و بسیاری از کشورهای دیگر روبرو شده که برای پیشبر سیاست‌هایش خیلی ضررآور است,омрико имрӯз бо як навъ бунбасте дар ховари миёна ва бисёре аз кишварҳои дигар рӯ ба рӯ ки барои бештари сиёсатҳояш хеле зараровар аст
تا آن روزی که ما در واقع عملی‌را که تغییر در سیاست‌های آمریکا‌را نشان می‌دهد ببینیم نمی‌توانیم به حرف‌های دولت‌مردان آمریکایی اعتقاد داشته باشیم,то он рӯзе ки мо дар воқеъ амалеро ки тағйир дар сиёсатҳои омрикоро нишон медиҳад бубинем наметавонем ба ҳарфҳои давлатмардони омрико эътиқод дошта бошем
آمریکا مثل هر یک کشور نیرومند هر کاری‌را برای سلطه‌طلبی خویش خواهد کرد – از جمله گول زدن مردم با حرف‌های شیرین,омрико мисли ҳар як кишвари нерӯманд ҳар кореро барои салтаталабии хеш хоҳад кард – аз ҷумла гӯл задани мардум бо ҳарфҳои ширин
