پایان ماموریت ناتو در افغانستان نگرانیهایی‌را برای کشورهای آسیای میانه‌ در پی داشته است,поёни маъмурияти ноту дар афғонистон нигарониҳоро барои кишварҳои осиёи миёна дар пай доштааст
پرزیدنت رحمان همزمان سمتهای اصلی این کنسپسیون‌را به ضیائیان خود پیشنهاد کرد,президент раҳмон ҳамзамон самтҳои аслии ин кунсепсиюнро ба зиёиён худ пешниҳод кард
او گفت که این سند باید در پنج سمت اصلاحات معارف آموزش و پرورش توسعه واقعی علم ترغیب تربیه در همه ردیفهای جامعه بلند برداشتن مقام زبان دولتی و استوار نمودن غایه‌‌های ملی و تبلیغ ضد افراطگرايی و تحکیم حفظ آزادیهای انسان اولویت قائل باشد,ӯ гуфт ки ин санад бояд дар панҷ самти ислоҳоти маъориф тавсеъаи воқеъии илм тарғиби тарбия дар ҳамаи радифҳои ҷомеъа баланд бардоштани мақоми забони давлатӣ ва устувор намудани ғояҳои миллӣ ва таблиғи зидди ифротгароӣ ва таҳкими ҳифзи озодиҳои инсон авлавият қоил бошад
چنین به نظر می‌رسد که جلوگیری از گسترش مفکوره افراطگرایانه در محور دعوت رئیس جمهور کشور از ضیائیان قرار داشت,чунин ба назар мерасад ки ҷилавгирӣ аз густариши мафкураи ифротгароёна дар меҳвари даъвати раиси ҷумҳури кишвар аз зиёиён қарор дошт
آقای رحمان همچنین از ضیائیان خواست تا برای رشد استوار جامعه و تحکیم پایه‌های دولتداری ملی پیشنهادهای مشخص و تحلیلهای سروقتی منظور نمایند تا ما برای پیشگیری نمودن هر گونه روندهای ناسالم آماده باشیم و حفظ منفعتهای تاجیکستان عزیز‌را تامین گردانیم,оқои раҳмон ҳамчунин аз зиёиён хост то барои рушди устувори ҷомеа ва таҳкими пояҳои давлатдории миллӣ пешниҳодҳои мушаххас ва таҳлилҳои саривақтӣ манзур намоянд то мо барои пешгирӣ намудани ҳар гуна равандҳои носолим омода бошем ва ҳифзи манфиатҳои тоҷикистони азизро таъмин гардонем
آقای رحمان افزود,оқои раҳмон афзуд
ما باید آیین مدا‌را و تحملگرایی‌را که در فرهنگ و مفکوره خلقمان عصرها باز ادامه‌ می‌یابد رعایه نماییم,мо бояд ойини мадоро ва таҳаммулгароиро ки дар фарҳангу мафкураи халқамон асрҳо боз идома меёбад риоя намоем
رئیس جمهور تاجیکستان از ضیائیان به خصوص ادیبان تاجیک خواسته است که به تهیه مقاله‌های تبلیغاتی دست زنند تا مردم‌را از رویدادهای کشور دستاوردهای دیار عزیزمان مسئله‌های روز و خطرهای دهشتبار زمانه ناآرام آگاه سازند,раиси ҷумҳури тоҷикистон аз зиёиён ба хусус адибони тоҷик хостааст ки ба таҳияи мақолаҳои публисистӣ даст зананд то мардумро аз рӯйдодҳои кишвар дастовардҳои диёри азизамон масъалаҳои рӯз ва хатарҳои даҳшатбори замонаи ноором огоҳ созанд
اینچنین کمبودیهای حیات جمعیتی خصوصا گرویدن جوانان به جریانهای افراطی و سببهای چنین تمایل خطرناک‌را آشکار کرده عاقبتهای دهشتبار آن‌را به عامه وسیع فهمانید,инчунин камбудиҳои ҳаёти ҷамъиятӣ хусусан гаравидани ҷавонон ба ҷараёнҳои ифротӣ ва сабабҳои чунин тамоюли хатарнокро ошкор карда оқибатҳои даҳшатбори онро ба оммаи васеъ фаҳмонед
رئیس جمهوری تاجیکستان از فساد به عنوان کردار خطرناک ضد دولتی نام برده و گفته است که این عمل ننگین به اعتبار دولت در داخل و خارج کشور لطمه می‌زند,раиси ҷумҳурии тоҷикистон аз фасод ба ҳайси кирдори хатарноки зиддидавлатӣ ном бурда ва гуфтааст ки ин амали нангин ба эътибори давлат дар дохил ва хориҷи кишвар латма мезанад
این سخنان امامعلی رحمان بعد از ظهر سه‌شنبه‌ فوریه در جلسه شورای امنیت ملی تاجیکستان که روز قبل از انتخابات پارلمانی و مجالس محلی این کشور دایر شد ایراد شد,ин суханони эмомалӣ раҳмон баъд аз зуҳри сешанбеи феврал дар ҷаласаи шӯрои амнияти тоҷикистон садо дода ки дар он масоили марбут ба таъмини амнияти иқтисодӣ мубориза бо фасод ва таъмини қонунмандӣ ва тартиботи ҳуқуқӣ баррасӣ гардидааст
آقای رحمان در این همایش که به بررسی مسائل مربوط به تامین امنیت اقتصادی مبارزه با فساد و تامین قانونمندی اختصاص داشت نهادهای ذیربط دولتی‌را به تحکیم انتظام مالی استفاده مؤثر از مبالغ بودجه و تشدید مبارزه علیه فساد فرا خوانده است,оқои раҳмон дар ин ҳамоиш ки даҳ рӯз қабл аз интихоботи порлумонӣ ва маҷолиси маҳаллии тоҷикистон доир шуда ва бисёре онро навъе таблиғот хондаанд ниҳодҳои зирабти давлатиро ба таҳкими интизоми молӣ истифодаи муассир аз маболиғи будҷе ва ташдиди мубориза алайҳи фасод фаро хондааст
بنا به اطلاع دفتر مطبوعات ریاست جمهوری تاجیکستان آقای رحمان به موارد زیاد فساد به هنگام توزیع قطعات زمین برای بنیاد منازل و پرداخت معاش معلولان تاکید کرده و به مسئولان ذیدخل دستور داده است که در این بخشها مبارزه با فساد‌را تشدید کنند,бино ба иттилоъи дафтари матбӯъоти риёсати ҷумҳурии тоҷикистон оқои раҳмон ба мавориди зиёди фасод ба ҳангоми тавзеъи қитаъоти замин барои бунёди манозил ва пардохти маъоши маълулон таъкид карда ва ба масъулони зидахл дастур додааст то дар ин бахшҳо мубориза бо фасодро ташдид кунанд
پرزیدنت رحمان خواستار بازگرداندن کامل مبالغ مالی به سرقت رفته به بودجه شده از یک فقره به فقره دیگر گذراندن خراجات بودجه‌را ممنوع کرد وی گفت که این مبالغ باید به بودجه بازگردانده شود,президент раҳмон хостори бозгардондани комили маболиғи молии ошкоршуда шуда аз як модда ба моддаи дигар гузарондани хароҷоти будҷеро мамнӯъ карда ва гуфтааст ки ин маболиғ бояд ба будҷе бозгардонда шавад
رئیس جمهوری تاجیکستان از مقامات انتظامی خواست که حتی اگر خویشاوندان خودش نیز به جرمی دست زنند علیه آنها چاره اندیشی کنند,раиси ҷумҳурии тоҷикистон ба мақомҳои интизомии ин кишвар гуфт ки ҳатто агар хешовандони худи ӯ низ ба ҷурме даст зананд бояд алайҳи онон чораандешӣ кунанд
حتی از نام پرزیدنت سوء استفاده می‌کنند جین خواهرزاده من هم باشد ببرید نزد قانون جواب گوید,ҳатто аз номи президент низ сӯиистифода мекунанд ҷияни хоҳарзодаи ман ҳам бошад бибаред назди қонун ҷавоб гӯяд
دلمراد دولت زاده رئیس دیوان محاسبات تاجیکستان در جلسه شورای امنیت گزارش داد که این نهاد در ظرف دو سال فعالیت خود بیش از میلیون سامانی معادل حدود میلیون دلار‌را به بودجه دولت برگردانده است,қонун барои ҳама як аст дилмурод давлатзода раиси девони муҳосиботи тоҷикистон дар ҷаласаи шӯрои амният гузориш додааст ки ин ниҳод дар зарфи ду соли фаъъолият беш аз милюн сомониро ба будҷеи давлатӣ бозгардондааст
از جمله به گفته آقای دولت زاده در جریان بازرسی فعالیت بانک ملی تاجیکستان به مقدار میلیون سامانی خسارات مالی آشکار شده و از این مبلغ میلیون سامانی به بودجه وارد گردیده است,аз ҷумла ба гуфтаи оқои давлатзода дар ҷараёни бозрасии фаъъолияти бонки миллии тоҷикистон ба миқдори милюн сомонӣ хисороти молӣ ошкор шуда ва аз ин миқдор милюн сомонӣ ба будҷе ворид гардидааст
عبدالفتاح غایب رئیس آژانس مبارزه با فساد تاجیکستان نیز از فعالیت پنج‌ساله این نهاد و از آشکار شدن حدود یک میلیارد سامانی نزدیک میلیون دلار خسارات مالی در هنگام بازرسیها و به بودجه بازگرداندن میلیون سامانی بیش از میلیون دلار در این مدت گزارش داده است,эмомалӣ раҳмон ба раҳбари девони муҳосибот дастур додааст то ҳамасола фаъъолияти молии бонки миллии тоҷикистонро бозрасӣ кунад абдуфаттоҳи ғоиб раиси ожонси назорати давлатии молӣ ва мубориза бо фасоди тоҷикистон низ аз фаъъолияти панҷсолаи ин ниҳод ва аз ошкор шудани ҳудуди як милёрд сомонӣ хисороти молӣ дар ҳангоми бозрасиҳо ва ба будҷе бозгардондани милюн сомонӣ гузориш додааст
برکناری دادستانها,барканории додситонҳо
رئیس جمهوری تاجیکستان بویژه به نواقص جدی در فعالیت دادستانی کل این کشور اشاره‌ کرده و به یوسف رحمان اف دادستان کل دستور داده است که معاونانش و دادستانهای ولایتها‌را برکنار کند,президент раҳмон ба навоқиси ҷиддӣ дар фаъолияти додситонии кулли тоҷикистон ишора карда ва ба юсуф раҳмонов додситони кул дастур дода ки муъовинонаш ва додситонҳои вилоятҳоро иваз кунад
در پی این دستور آقای رحمان‌اف میرزاشریف شریف زاده شریف قربان زاده سراج‌الدین نورزاده محمدخاجه ارباب اف دادستانهای شهر دوشنبه و ولایات سغد و ختلان و بدخشان‌را از سمتهایشان برکنار کرده است,дар пайи ин дастур оқои раҳмонов мирзошариф шарифзода шариф қурбонзода сироҷиддин нурзода муҳаммадхоҷа арбобов додситонҳои шаҳри душанбе ва вилоёти суғду хатлон ва бадахшонро аз симатҳояшон барканор кардааст
در اواخر ماه گذشته شیرخان سلیم زاده از سمت دادستان کل برکنار و آقای رحمان‌اف به این سمت منسوب شده بود,дар авохири моҳи гузашта шерхон салимзода аз аз симати додситони кул барканор ва оқои раҳмонов ба ин симат мансуб шуда буд
طبق اطلاع رمضان رحیم‌زاده وزیر امور داخله تاجیکستان در ظرف پنج سال اخیر در این کشور حدود هزار مورد جرایم مربوط به فساد ثبت شده از این جمله بیش از چهار هزار جنایت از جانب کارمندان انتظامی آشکار شده است,тибқи иттилоъи рамазон раҳимзода вазири умури дохилаи тоҷикистон дар зарфи панҷ соли ахир дар ин кишвар ҳазору адад ҷароими марбут ба фасод сабт шуда аз ин ҷумла беш аз чаҳор ҳазор ҷиноят аз ҷониби кормандони интизомӣ ошкор шудааст
امامعلی رحمان در کنار فساد علیه تروریسم و افراط گرايی مبارزه بی‌امان اعلام کرده است,эмомалӣ раҳмон дар канори фасод алайҳи терурисму ифротгароӣ муборизаи беамон эълом кардааст
او به وزیر امور داخله تاجیکستان دستور داده که در شهر و ناحیه‌های کشور با مردم مستقیما ملاقاتهایی انجام دهد و عرض و شکایات آنها‌را از جمله در مورد قانون‌شکنیهای خود کارمندان پلیس بشنود و برای برطرف کردن کمبودیها چاره‌جویی نماید,ӯ ба вазири умури дохила дастур додааст ки дар шаҳру ноҳияҳои ҷумҳурӣ бо мардум бевосита мулоқотҳо доир намояд то ки арзу доди онҳоро аз ҷумла доир ба қонуншиканиҳои худи кормандони мақомоти ҳифзи ҳуқуқ шунида барои бартараф кардани камбудиҳои ҷойдошта чораҷӯӣ намояд
در جلسه شورای امنیت تاجیکستان که در آستانه انتخابات پارلمانی و مجالس محلی این کشور دایر شد اعضای دائمی و غیردایمی شورای امنیت هیئت راهبری دیوان محاسبات و آژانس مبارزه با فساد راهبران نهادهای امنیتی و انتظامی و وزارت و اداره‌های دیگر شرکت داشتند,дар ҷаласаи шӯрои амнияти тоҷикистон ки дар остонаи интихоботи порлумонии ин кишвар доир шуд аъзои доимӣ ва аъзои шӯрои амният ҳайъати роҳбарии девони муҳосибот ва ожонси мубориза бо фасод роҳбарони ниҳодҳои амниятию интизомӣ ва вазорату идораҳои дигар ширкат доштанд
انتخابات پارلمانی و مجالس محلی تاجیکستان اول مارس برگزار می‌شود,интихоботи порлумонӣ ва маҷолиси маҳаллии тоҷикистон аввали март баргузор мешавад
در آن حدود نامزد به کرسی پارلمان از هشت حزب سیاسی رسمی و نامزدهای مستقل شرکت می‌کنند,дар он ҳудуди номзад ба курсии порлумон аз ҳашт ҳизби сиёсии расмӣ ва номзадҳои мустақил ширкат мекунанд
صدها نامزد به مجالس محلی در شهرها نواحی و ولایات نیز با هم رقابت می‌کنند,садҳо номзад ба маҷолиси маҳаллӣ дар шаҳрҳо навоҳӣ ва вилоёт низ бо ҳам рақобат мекунанд
ناظران می‌گویند که مبارزات انتخاباتی تاجیکستان در فضایی عاری از شور و هیجان می‌گذرد و با توجه به کنترول شدید تلویزیونهای دولتی که وسیله تبلیغ در دست رئیس جمهور محسوب می‌شوند بیشتر مردم در باره نامزدها و احزاب سیاسی مخالف اصلاً اطلاعی ندارند,нозирон мегӯянд ки муборизоти интихоботии тоҷикистон дар фазое орӣ аз шӯру ҳаяҷон мегузарад ва бо таваҷҷуҳ ба кунтрули шадиди телевизиюнҳои давлатӣ ки василаи таблиғ дар дасти раиси ҷумҳур маҳсуб мешаванд бештари мардум дар бораи номзадҳо ва аҳзоби сиёсии мухолиф чандон иттилоъе надоранд
با این حال به نظر می‌رسد که مقامات تاجیک نسبت به امنیت دولت در آستانه انتخابات پارلمانی و مجالس محلی چندان اطمینان خاطر ندارند,бо ин ҳол ба назар мерасад ки мақомоти тоҷик нисбат ба амнияти ин кишвар дар остонаи интихоботи порлумонӣ ва аҷолиси маҳаллӣ чандон итминони хотир надоранд
آقای رحمان همواره از گسترش افراط گرایی در میان جوانان تاجیک ابراز نگرانی کرده است,оқои раҳмон ҳамвора аз густариши ифротгароӣ дар миёни ҷавонони тоҷик ибрози нигаронӣ кардааст
به گفته منابع رسمی نزدیک به نفر از جوانان تاجیک در صف شبه نظامیان گروه موسوم به دولت اسلامی داعش در سوریه و عراق می‌جنگند,ба гуфтаи манобеъи расмӣ ҳудуди нафар аз ҷавонони тоҷик дар саффи шибҳинизомиёни гурӯҳи мавсум ба давлати исломӣ доъиш дар сурия ва ироқ меҷанганд
منابع مسنقل شمار این افراد‌را نردیک هزار نفر می‌دانند,манобеъи ғайрирасмӣ шумори ин афродро наздики ҳазор нафар медонанд
بعد از خروج نیروهای ناتو از افعانستان و با توجه به مراقبت نامؤثر از مرز تاجیکستان با این کشور مقامات تاجیک و کشورهای دیگر آسیای میانه با خطر نفوذ اسلام گرایان تندرو از افغانستان مواجه هستند,баъд аз хуруҷи нерӯҳои ноту аз афғонистон ва бо таваҷҷуҳ ба муроқибати номуассир аз марзи тоҷикистон бо ин кишвар мақомоти тоҷик ва кишварҳои дигари осиёи миёна бо хатари нуфузи исломгароёни тундрав аз афғонистон мувоҷеҳ ҳастанд
فقر و فساد و بیکاری گسترده در این کشورها زمینه ساز بی ثباتی خوانده می‌شود,фақру фасоди густарда дар ин кишварҳо заминасози бесаботӣ хонда мешавад
مخالفان امامعلی رحمان که سال باز زمام قدرت‌را در دست دارد او‌را به تمرکز قدرت خویش و قوم پرستی و سرکوب مخالفانش متهم می‌کنند و می‌گویند که نزدیکان و پیوندان او در دو دهه گذشته عمده ترین منابع ثروت ملی‌را به کنترول خود درآورده‌اند,мухолифони оқои раҳмон ки сол боз зимоми қудратро дар даст дорад ӯро ба тамаркузи қудрат хешу қавмпарастӣ ва саркӯби мухолифонаш муттаҳам мекунанд ва мегӯянд ки наздикону пайвандони ӯ дар ду даҳаи гузашта умдатарин манобеъи сарвати миллиро ба кунтрули худ даровардаанд
این در حالی است که صدها هزار نفر از اتباع این کشور به دلیلی بیکاری و نداشتن درآمد مالی همه ساله برای پیدا کردن روزی خانواده‌های خود به روسیه مهاجرت می‌کنند,ин дар ҳолест ки садҳо ҳазор нафар аз атбоъи ин кишвар ба далели бекорӣ ва надоштани даромади кофӣ ҳамасола барои пайдо кардани рӯзии хонаводаҳои худ ба русия муҳоҷират мекунанд
یک عضو کمیسیون مرکزی انتخابات تاجیکستان از حزب مخالف نهضت اسلامی به اتهام نگهداری اسلحه در منزل همسایه اش بازداشت شده است کمیته دولتی امنیت ملی تاجیکستان جلال الدین محمود‌را متهم کرده که در سال زمانی که جنگ داخلی در این کشور ادامه داشت مقداری اسلحه‌را به همسایه اش داده و همسایه اش این اسلحه‌را در محوطه منزلش پنهان کرده است,ҷалолиддин маҳмудов узви кумисиюни марказии интихобот ва ҳамапурсии тоҷикистон аз ҳизби наҳзати исломии ин кишвар ба иттиҳоми нигаҳдории аслиҳа аз сӯи маъмурони амниятӣ боздошт шудааст
به گفته فعالان حزب نهضت اسلامی ماموران امنیتی این اسلحه‌را یک سال پیش در منزل همسایه آقای محمود پیدا کرده بودند اما او‌را که عضو کمیسیون مرکزی انتخابات است تازه بازداشت کرده اند کمیته امنیت در باره بازداشت همسایه آقای محمود اطلاعی نداده است,дар ин бора бахши равобити умумии кумитеи давлатии амнияти миллии тоҷикистон кдам бо судури баёнияе хабар додааст
بازداشت این فعال حزب نهضت اسلامی در حالی است که تا انتخابات پارلمانی و مجالس محلی تاجیکستان روز دیگر باقی مانده است,ин баёния рӯзи феврал дар торнамои хабаргузории давлатии ховар мунташир шудааст
بخش روابط عمومی کمیتی دولتی امنیت ملی تاجیکستان روز فوریه با صدور بیانیه یی خبر داد که دو روز پیش ماموران امنیتی در منزل لطیف سرداراف یک ساکن شصت‌ساله ناحیه حصار در غرب شهر دوشنبه دو تپانچه ماکاراف چهار تیردان گلوله و یک وسیله انفجاری پیدا کرده‌اند,ин баёния ҳокист ки ду рӯз пеш маъмурони амниятӣ дар манзили латиф сардоров як сокини шастсолаи ноҳияи ҳисор ду тапончаи макаров чаҳор тирдон тир ва як василаи инфиҷориро пайдо кардаанд
در این بیانیه آمده که مطابق شواهد ارائه شده از سوی آقای سردارف معلوم گردید که سلاح و لوازم یافتشده به شهروند جمهوری تاجیکستان جمال‌الدین محموداف سال تولدش زاده روستای چُقورَک بالای جماعت دهات نوآباد ناحیه حصار تعلق دارند,мутобиқи нишондоди сардоров латиф маълум гардид ки силоҳ ва лавозими ёфтшуда ба шаҳрванди ҷумҳурии тоҷикистон маҳмудов ҷамолиддин бурҳониддинович соли таваллудаш зодаи деҳаи чуқураки болои ҷамоъати деҳоти навободи ноҳияи ҳисор таъаллуқ доранд
در این خبر آقای محموداف به عنوان عضو ریاست و مشاور سیاسی رهبر حزب نهضت اسلامی تاجیکستان و عضو کمیسیون مرکزی انتخابات و همه‌پرسی از این حزب معرفی شده است,дар ин хабар оқои маҳмудов ба унвони узви риёсат ва мушовири сиёсии раҳбари ҳизби наҳзати исломии тоҷикистон ва узви кумисиюни марказии интихобот ва ҳамапурсӣ аз ин ҳизб муъаррифӣ шудааст
در بیانیه همچنین آمده است,дар баёния ҳамчунин омадааст
طبق نشانداد شهروند لطیف سرداراف عضو حزب نهضت اسلامی تاجیکستان با سابقه سال عضویت جمال‌الدین محموداف سال دو عدد تپانچه ماکتراف چهار تیردان دانه تیر یک عدد وسیله انفجاری نارنجک دستی‌را به همسایه و دوست صادقش لطیف سردارف به طور غیرقانونی داده خواهش کرده است که در یگان مخفیگاه آنها‌را پنهان نماید,тибқи нишондоди шаҳрванд сардоров латиф узви ҳизби наҳзати исломии тоҷикистон бо собиқаи соли узвият маҳмудов ҷамолиддин бурҳониддинович соли ду адад тапончаи макаров чаҳор тирдон дона тир як адад запали таркандаи норинҷаки дастиро ба ҳамсоя ва дӯсти содиқаш сардоров латиф ғайриқонунӣ дода хоҳиш кардааст ки дар ягон махфигоҳ онҳоро пинҳон намояд
آن گونه که از این بیانیه برمی‌آید این واقعه در سال زمانی که جنگ داخلی تاجیکستان ادامه‌ داشت صورت گرفته است,он гуна ки аз ин баёния бармеояд ин воқеъа дар соли замоне ки ҷанги дохилии тоҷикистон идома дошт сурат гирифтааст
پس از امضای سازشنامه صلح هزاران نفر از افراد مسلح طرفدار دولت و مخالفان عفو شده بودند,пас аз имзои созишномаи сулҳ ҳазорон нафар аз афроди мусаллаҳи тарафдори давлат ва мухолифон афв шуда буданд
به گفته حقوق دانها قانون عفو آن زمان به طور اتوماتیک شامل حال آقای محموداف می‌شود,ба гуфтаи ҳуқуқдонҳо қонуни афви он замон ба таври утумотик шомили ҳоли оқои маҳмудов мешавад
اما کمیته دولتی امنیت ملی مدعی است که آقای محموداف در سال به همسایه اش تاکید کرده که لوازم جنگی‌را با احتیاط نگاه دارد زیرا آنها لازم خواهند شد,аммо кумитеи давлатии амнияти миллӣ муддаъист ки оқои маҳмудов дар соли ба ҳамсояаш таъкид карда ки лавозимоти ҷангии номбурдаро боэҳтиёт нигоҳ дорад зеро онҳо лозим хоҳанд гашт
در همین حال محی‌الدین کبیری رهبر حزب نهضت اسلامی تاجیکستان ضمن تایید خبر بازداشت این فعال حزبی گفت که آقای محموداف‌را روز گذشته برای صحبت به کمیته امنیت دعوت کرده بودند و تا حال از آن جا به خانه برنگشته است,дар ҳамин ҳол муҳиддини кабирӣ раҳбари ҳиҳзби наҳзати исломии тоҷикистон зимни таъйиди хабари боздошти ин фаъъоли ҳизбӣ гуфт ки оқои маҳмудовро рӯзи гузашта барои суҳбат ба кумитеи амният даъват карда буданд ва то ҳол аз он ҷо ба хона барнагаштааст
آقای کبیری روایت دیگری از این واقعه بیان می‌کند,оқои кабирӣ ривояти дигаре аз ин воқеъа баён мекунад
سال جلال‌الدین محموداف رئیس گروه کمیسیون آتش‌بس از جانب مخالفان بود,соли ҷалолиддини маҳмуд раиси гурӯҳи кумисиюни оташбас аз ҷониби мухолифон буд
آن زمان وضعیت ناآرام بود و به او اسلحه داده بودند و او حق داشت که رسماً با خود اسلحه حمل کند,он замон вазъият ноором буд ва ӯ аслиҳа дода буданд ва ӯ ҳақ дошт ки расман бо худ аслиҳа ҳамл кунад
یک مدت با خود این اسلحه‌را حمل می‌کرد و وقتی که می‌خواست از تاجیکستان بیرون رود اسلحه‌را به دوستش عبداللتیف داده و گفته است که آن‌را نابود کند,як муддат бо худ ин аслиҳаро ҳамл мекард ва вақте ки аз тоҷикистон берун мерафт аслиҳаро ба дӯсташ абдуллатиф дода ва гуфтааст ки онро нест кунад
به روایت آقای کبیری عبداللتیف این اسلحه‌را در محوطه خانه‌اش به زمین گور کرده و آن سالهای زیادی زیر خاک بوده است,ба ривояти оқои кабирӣ абдуллатиф ин аслиҳаро дар муҳавватаи хонааш ба замин гӯр карда ва он солҳои зиёде зери хок будааст
در سال عروس عبداللتیف از پسر او جدا شده و در باره این که پدرشوهرش در منزل اسلحه دارد به ماموران امنیتی شکایت کرده است,дар соли аруси абдуллатиф аз писари ӯ ҷудо шуда ва дар бораи ин ки хусураш дар манзил аслиҳа дорад ба маъмурони амниятӣ шикоят кардааст
آن زمان ماموران امنیتی منزل عبداللتیف‌را جستجو کرده و جای سلاح‌را مشخص کرده‌اند و رفته‌اند,он замон маъмурони амниятӣ манзили абдуллатифро ҷустуҷӯ карда ва ҷои силоҳро мушаххас кардаанду рафтаанд
آنها گفته‌اند که برای اسلحه بعدتر می‌آیند,онҳо гуфтаанд ки барои аслиҳа баъдтар меоянд
ولی تا حال دیگر به محل بازنگشته‌اند,вале то ҳол дигар ба маҳал бознагаштаанд
آقای کبیری معتقد است که ماموران امنیتی می‌توانستند همان زمان اسلحه‌را با خود برند ولی با گذشت وقت زیاد و در آستانه انتخابات پارلمانی پیدا کردن اسلحه و بازداشت آقای محمود معلوم است که انگیزه‌های سیاسی دارد,оқои кабирӣ муътақид аст ки маъмурони амниятӣ метавонистанд ҳамон замон аслиҳаро бо худ баранд вале бо гузашти вақти зиёд ва дар остонаи интихоботи порлумонӣ пайдо кардани аслиҳа ва боздошти оқои маҳмуд маълум аст ки ангезаҳои сиёсӣ дорад
