Ҳаводиси рӯзҳои охар дар Эрон тамоми ҷаҳонро ба худ ҷалб намуда	حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده
Ронандаи токсиам ба ман ёдоварӣ намуд ки раиси ҷумҳур дар чаҳор соли гузашта аз ҳар як устон ду бор дидор намуда – Эрон Теҳрон нест гуфт ӯ	راننده‌ی تاکسی‌ام به من یادآوری نمود که رییس جمهور در چهار سال گذشته از هر یک استان دو باری دیدار نموده – ایران تهران نیست گفت او
Ҳатто вақте ман бо ҳомиёни Мӯсавӣ ин пурсишро матраҳ менамудам посух онон пур аз некандешии шартии Убомоӣ буд – Оре мо метавонем Умедворам Агар шумо раъй бидиҳед	حتا وقتی من با حامیان موسوی این پرسش‌را مطرح می‌نمودم پاسخ آنان پر از نیک‌اندیشی شرطی اوبامایی بود – آری ما می‌توانیم امیدوارم اگر شما رای بدهید
Пас пурсиши Чӣ гуна Мӯсавӣ бохт	پس پرسش چه گونه موسوی باخت
ки расонаҳои ғарбро саргарм карда ба назар меояд ки камтар мушкили кумитаи интихобот ва бештар мушкили дарки бад ки реша дар сарпечии дарки нақши мазҳаб дар дар Эрон аст	که رسانه‌های بین الملل‌را سرگرم کرده به نظر می‌آید که کمتر مشکل کمیته‌ی انتخابات و بیشتر مشکل درک بد که ریشه در سرپیچی سرسخت درک نقش مذهب در ایران است
Албатта имкони воқеъии тақаллуби оро вуҷуд дорад ва бояд мунтазир бимонд то ин иттиҳмот ошкор шаванд	البته امکان واقعی تقلب آرا وجود دارد و باید منتظربماند تا این اتهامات آشکار ‌شوند
Вале бояд ёдовар шуд ки дар се даҳаи интихоботи раёсати ҷумҳурӣ иттиҳомоти тақаллуб алайҳи шумори оро камсобиқа буда	ولی باید یادآور شد که در سه دهه‌ی انتخابات ریاست جمهوری اتهامات تقلب علیه شمار آرا کمسابقه بوده
Интихобот дар ин ҷо маъмулан аз тариқи радди салоҳияти номзадҳо ё бо бастани рӯзномаҳои мухолиф назорат мешавад	انتخابات در این جا معمولاً از طریق رد صلاحیت نامزدها یا با بستن روزنامه‌های مخالف نظارت می‌شود
Гузашта аз он дар ин интихобот ду нозири давлатӣ афзун бар мушоҳидон аз ҳар ҷиноҳ ширкат доштанд то тақаллуби дастиҷамъиро пешгирӣ намоянд	گذشته از آن در این انتخابات دو ناظر دولتی افزون بر مشاهدان از هر جناح شرکت داشتند تا تقلب دستجمعی‌را پیش‌گیری نمایند
Нобоварии эҳсосотие ки ҳомиёни Мӯсавӣ ҳамчун далели фасоди давлатӣ иброз намуданд бояд бо нобоварии баробаре аз имкони чунин фасоди густурдае дар рӯзи рӯшан бархурд шавад	ناباوری احساساتیی که حامیان موسوی همچون دلیل فساد دولتی ابراز نمودند باید با ناباوری برابری از امکان چنین فساد گسترده‌ای در روز روشن برخورد شود
Пас то он замоне ки далели қавӣ ки иттиҳомоти урдугоҳи мухолифонро дастгирӣ намояд зоҳир нагардад мо бояд дигар бурҳонҳое рӯй оварем ки чаро ин ҳама афрод аз рӯйдоди он рӯз шигифтзада шудаанд	پس تا آن زمانی که دلیل قوی که اتحامات اردوگاه مخالفان‌را دستگیری نماید ظاهر نگردد ما باید به دیگر برهان‌هایی روی آوریم که چرا این همه افراد از رویداد آن روز شگفت‌زده شده‌اند
То он ҷое ки ба пӯшиши расонаҳои байнулмиллалӣ рабт дорад андешагарии пур аз орзу бар гузоришгарии мӯътабар соя афганд	تا آن جایی که به پوشش رسانه‌های بین المللی ربط دارد اندیشه‌ایی پر از آرزو بر گذارشگری معتبر سایه افگند
Дуруст аст ки ҳомёни Мӯсавӣ терофики Теҳронро ҳафтаи гузашта ҳар шаб дар тӯли соатҳо шулуғ мекарданд агарчӣ камтар ёдовар мешуд ки ин иттифоқ дар бахшҳои шимолӣ ва сарватманди пойтахт меуфтод	درست است که حامیان موسوی ترافیک تهران‌را هفته‌ی گذشته هر شب در طول ساعت‌ها شلوغ می‌کردند اگرچه کمتر یادآور می‌شد که این اتفاق در بخش‌های شمالی و ثروتمند پایتخت می‌افتاد
Бонувон рӯсариашонро каме поин меоварданд ва мардони ҷавон дар хиёбонҳо мерақсиданд	بانوان روسری‌اشان‌را کمی پایین می‌آوردند و مردان جوان در خیابان‌ها می‌رقصیدند
Шаби рӯзи душанбе ҳадди ақал аз ҳомиёни нахуствазири пешин занҷираи инсониеро аз васати Теҳрон сохтанд	شب روز دوشنبه حداقل از حامیان نخستوزیر پیشین زنجیره‌ی انسانیی‌را از وسط تهران ساختند
аммо соъоте пеш ман дар гирдиҳамоие барои раиси ҷумҳури феълӣ ҳузур доштам ки тариқи расонаҳои ғарбӣ пӯшиши кам ё ҳеч пушише дарнаёфт	اما ساعاتی پیش من در گردهمایی برای رییس جمهور فعلی حضور داشتم که از طریق رسانه‌های غربی پوشش کم یا هیچ پوششی درنیافت
Ба ин хотир ки ба хотири пурҷамъиятӣ дар ин гирдиҳамоӣ ӯ оқои Аҳмадинажод ба дохили толор даромада натавонист то суханронӣ намояд	به این خاطرکه به علت پرجمعیتی در این گردهمایی او آقای احمدی‌نژاد به داخل تالار درآمده نتوانست تا سخنرانی نماید
Баровардҳои ҳаддиақали ҷамъият дар ин гирдиҳамоӣ гуфта шуда алоқамандон шумораро ба як милюн мерасонанд	براوردهای حداقل جمعیت در این گردهمایی گفته شده علاقه‌مندان شماره‌را به یک ملیون می‌رسانند
Ман аз болои бом мушоҳида менамудам ки бонувони чодарӣ ва мардони ришдори ҳар синну сол гала-гала ба он ҷо мерехтанд	من از بالای بام مشاهده می‌نمودم که بانوان چادری و مردان ریش‌دار هر سن و سال گله گله به آن جا می‌ریختند
Вале нотавонии озмоиши дурусти умури Эрон ба ҳеч ваҷҳ падидае тозае нест	ولی ناتوانی آزمایش درست امور ایران به هیچ وجه پدیده‌ی تازه‌ا‌ی نیست
Вақте инқилоби соли диктотурии низомии қавитарин муттаҳиди Омрико дар минтақаро сарнагун намуд андаке аз коршиносоне ки берун аз кишвар буданд ҳадс мезаданд ки ҷараёни исломӣ ба ҳайси ҳизби пештоз ба миён ояд	وقتی انقلاب سال دیکتاتوری نظامی قوی‌ترین متحد آمریکا در منطقه‌را سرنگون نمود اندکی از کارشناسانی که بیرون از کشور بودند حدس می‌زدند که جریان اسلامی به حیث حزب پیشتاز به میان آید
Вале дар Эрон ҳатто рӯшанфикри даҳрӣ секулор Ҷалол Оли Аҳмад нависандаи китоби бадноми Ғарбзадагӣ фурӯрезии режим бар дасти ҷунбиши исломиро бештар аз як даҳа то ҳаводиси муҳими пешгӯйӣ карда буд	ولی در ایران حتا روشنفکر دهری سکولار جلال آل‌احمد نویسنده‌ی کتاب بدنام غربزدگی فروریزی رژیم بر دست جنبش اسلامی‌را بیشتر از یک دهه تا حوادث مهم پیشگویی کرده بود
Вақте файласуфи мустақили фаронсавӣ Мишел Фуку ҳам дуруст ҳадс зад вақте аз хиёбонҳо гузориш медод – бинише ки то ба ҳол бисёре аз ҳаводоронаш аз он худро дур мегиранд	وقتی فیلسوف مستقل فروانسوی میشل فوکو هم درست حدث زد وقتی از خیابان‌ها گذارش می‌داد – بینیشی که تا به حال بسیاری از هوادارانش از آن خودرا دور می‌گیرند
Аз замони инқилоб фарҳангиён ва воридбакорон дар бораи фурӯрезии низоми Эрон пешгӯӣ мекарданд	از زمان انقلاب فرهنگیان و واردبکاران در باره‌ی فروریزی نظام ایران پیشگویی می‌کردند
Ин ҳафта ҳам пешгӯии беҳтаре накарданд	این هفته هم پیشگویی بهتری نکردند
Чунин иттифоқоти хилофи қоидаиро танҳо метавон аз тариқи ақидаи торихӣ ки мекӯшад демукросии мудернро бар пояи ҳукмрониҳои садаҳои гузашта дарк намояд шарҳ дод	چنین اتفاقات خلاف قاعده‌ای‌را تنها می‌توان از طریق عقیده‌ی تاریخی که می‌کوشد دموکراسی مدرن‌را بر پایه‌ی حکمرانی‌های صده‌های گذشته درک نماید شرح داد
Ҷомеаи Эрон ҷомеаи амиқан мазҳабист	جامعه‌ی ایران جامعه‌ی عمیقاً مذهبی‌ست
Кумунистон ва либеролҳо бо иштибоҳоти шоҳ ҳамчун хешу таборпарастӣ ҳукумати мутлақ ва саркӯбиро даҳҳо сол бидуни ҳеч комёбӣ ҷангиданд	کمونیستان و لیبرال‌ها با اشتباهات شاه همچون خویش‌ و تبارپرستی حکومت مطلق و سرکوبی‌‌را ده‌ها سال بدون هیچ کامیابی جنگیدند
Ҳамлаи ӯ ба дин буд ки мунҷар ба шикасти тақрибан шабонаии шоҳ шуд	حمله‌ی او به دین بود که منجر به شکست تقریباً شبانه‌ای شاه شد
Аз он пас Эрониёни маъмулӣ ормонҳои хешро аз тариқи сандуқи раъй ба кор бурдаанд	از آن پس ایرانیان معمولی آرمان‌های خویش‌را از طریق صندوق رای بکار برده‌اند
Соли замоне ки хокистари ҷанги Эрону Ироқ нишасту кишвар даҳаи устувории нисбиро дид раъйдиҳандагони тӯда барои пуштибонӣ аз раиси ҷумҳури пешин ва рӯҳонӣ Хотамӣ дар баробари Нотиқи Нурӣ аз аъзои аршади дастгоҳ баромаданд	سال زمانی که خاکستر جنگ ایران و عراق نشست و کشور دهه‌ی اثتواری نسبی‌را دید رای‌دهندگان توده توده برای پشتبانی از رییس جمهور پیشین و روحانی خاتمی دربرابر ناطق نوری از اعضای ارشد دستگاه برآمدند
Хабарнигорони ғарбӣ инро ҳамчун ҷудоии бузург байни ҷавонони озодидӯсти либерол дар баробари рӯҳониёни муҳофизакори кӯҳансол диданд	خبرنگاران غربی این‌را همچون جدایی بزرگ بین جوانان آزادی‌دوست لیبرال در برابر روحانیان محافظه‌کار کهن‌سال دیدند
Вале дар ҳақиқат ин раъй барои ормони росткорӣ ва порсоӣ зидди фасоди густурда буд	ولی در حقیقت این رای برای آرمان راستکاری و پارسایی ضد اتحامات فساد گسترده بود
Бисёре аз ҳамон ҳомиёни Хотамӣ дирӯз ба Аҳмадинажод раъй доданд	بسیاری از همان حامیان خاتمی دیروز به احمدی‌نژاد رای دادند
Бо вуҷуди ин ки тасвири Хотамӣ аз рӯйи ҳар кадом аз аълонҳо лавҳаҳои таблиғотӣ-и Мӯсавиро ороиш медод	با وجود این که تصویر خاتمی روی هر کدام از اعلان‌های لوحه‌های تبلغاتی موسوی‌را آرایش می‌داد
Бештар аз як ҳафта ҳамон ангезаҳои зидди фасод пупулисм ва порсоии мазҳабӣ ки ба инқилоб расонид дар дастрасии ҳар касе ки мехост аз он гузориш намояд буд	بیشتر از یک هفته همان انگیزه‌های ضد فساد پوپولیسم و پارسایی مذهبی که به انقلاب رسانید در دسترسی هر کسی که می‌خواست از آن گذارش نماید بود
Аҳмадинажод барои бисёре дар кишвар муҷассами ҳамон ормонҳост	احمدی‌نژاد برای بسیاری در کشور مجسم همان آرمان‌هاست
Аз он рӯз ки ӯ ба раёсати ҷумҳурӣ расид аз пӯшидани куту шалвор костюм сарпечӣ кард аз кӯч бастан аз хонае ки аз падараш ба мерос расида сарпечӣ намуд	از آن روز که او به ریاست جمهوری رسید از پوشیدن کت و شلوار سرپیچی کرد از کوچ بستن از خانه‌ای که از پدرش به میراث رسیده سرپیچی نمود و از متوفق کردن لحنش علیه آنانی که آن‌هارا در خیانت به ملت متهم کرده سرپیچی نمود
Замоне ки ӯ аз рақиби бонуфуз Оятуллоҳ Ҳошимии Рафсанҷонӣ худи шери инқилобро дар фасоди ангалӣ порозитӣ муттаҳам кард ва хиёнати ӯро ба найранге алайҳи Муҳаммад Паёмбар ки соле пеш ба иншиъоби суннӣ ва шиъа расонид баробар намуд ӯ ангезаи мардумиро ки тасаввури тӯдаҳоро ин ҷо дар тӯли наслҳо нигаҳ дошта раҳо кард	زمانی که او رقیب با نفوذ آیت‌الله هاشمی رفسنجانی خود شیر انقلاب‌را در فساد انگلی پارازیتی متهم کرد و خیانت اورا به نیرنگی علیه محمد پیامبر که سالی پیش به انشعاب سنی و شیعه رسانید برابر نمود او انگیزه‌ی مردمی‌را که تصور توده‌هارا این جا در طول نسل‌ها نگه داشته رها کرد
Оне ки Рафсанҷонӣ аз худ дар рӯзномаи Мӯсавӣ дифоъ кард маънои интиҳои Ислоҳталабонро дошт	آنی که رفسنجانی از خود در روزنامه‌ی موسوی دفاع کرد معنای انتهای اصلاح‌طلبان‌را داشت
Дар ҳафтаи охар Аҳмадинажод интихоботро ба ҳамапурсии худи тарҳ перужа-и Инқилоби Исломии Эрон табдил дод	در هفته‌ی آخر احمدی‌نژاد انتخابات‌را به همه‌پرسی خود طرح پروژه انقلاب اسلامی ایران تبدیل داد
Шиъорҳои онон буд Марг бар душманони Раҳбари Муъаззам ки пас аз он ташрифот ва сӯгвориҳои суннатии шиъа пеш меомад	شعارهای آنان بود مرگ بر دشمنان رهبر معظم که پس از آن تشریفات و سوگواری‌های سنتی شیعه پیش می‌آمد
Ин бо ҷавонони рӯҳбаланду шӯхидӯсти шимоли Теҳрон ки Аҳмадӣ бой бой Аҳмадӣ бой бой ё йе ҳафте – ду ҳафте Маҳмуд ҳаммум нарафте мехонданд баробар набуд	این با جوانان روح‌بلند و شوخی‌دوست شمال تهران که احمدی بای بای احمدی بای بای یا یه هفته – دو هفته محمود حموم نرفته می‌خواندند برابر نبود
Шояд сарнавишти Мӯсавӣ аз оғоз шикаст буд чун ӯ умедвор буд энержии суханварии табақоти боло ва либеролро бо суди тиҷории бозориҳо омехта намояд	شاید سرنوشت موسوی از آغاز شکست بود چون او امیدوار بود انرژی سخنوری طبقات بالا و لیبرال‌را با سود تجاری بازاری‌ها آمیخته نماید
Муборизоти интихоботии ва паёмакҳо барои аҳолии рустоӣ ва табақаи коргар ки мекӯшанд зиндагии рӯзмарраашонро гузаронанд ва гузашта аз он вақт пайдо кунанд то торнигорҳои ҳафтаро дар интернет кофее аз назар гузаронанд комилан номарбут буд	مبارزات انتخاباتی فیس‌بوک و پیامک‌ها برای احالی رستایی و طبقه‌ی کارگر که می‌کوشند زندگی روزمره‌اشان‌را گزرانند گذشته از آن وقت پیدا کنند تا تارنگارهای هفته‌را در اینترنت کافه‌ای از نظر گذرانند کاملاً نا مربوط بود
Ҳарчанд Мӯсавӣ кӯшиш кард ба ин табақот аз тариқи масоъили таваррум ва фақр расидагӣ намояд онҳо таври дигаре раъй доданд	هرچند موسوی کوشش کرد به این طبقات از طریق مسائل تورم و فقر رسیدگی نماید آن‌ها طور دیگری رای دادند
Дар оянда мушоҳидон ба мо марҳамат хоҳанд кард агар ба ҷомеаи Эрон жарфтар бингаранд ва ба мо тасвири дақиқи сохти мазҳабии аслии кишвар ва ботил кардани достони либеролисм ногузир	در آینده مشاهدان به ما مرحمت خواهند کرد اگر به جامعه‌ی ایران ژرف‌تر بنگرند و به ما تصویر دقیق ساخت مذهبی اصلی کشور و باطل کردن داستان لیبرالیسم ناگذیر
Ин ҳамон ҷанбаҳои мазҳабии Эрони маъомӣ буд ки ба овардани зоҳиди табъид шуда ба сари давлат сӣ соле пеш мусоъидат намуд пас аз он рӯҳонии ҷаззобро ба раёсати ҷумҳурӣ соле пеш расонид писари росткори оҳангар Аҳмадинажодро чаҳор соле пеш ва боз ӯро дирӯз ба раёсати ҷумҳурӣ расонид	این همان جنبه‌های مذهبی ایران معمایی بود که به آوردن زاهد ساله‌ی تبعید شده به سر دولت سالی پیش مساعدت نمود پس از آن روحانی جذاب‌را به ریاست جمهوری سالی پیش رسانید پسر راستکار آهنگر احمدی‌نژادرا چهرا سالی پیش و باز اورا دیروز به ریاست جمهوری رسانید
Аббоси Барзагар довталаби дараҷаи дуктурои мутолиъоти динӣ дар Донишгоҳи Эмурӣ дар шаҳри Отлонтои аёлати Ҷурҷиё мебошад	عباس برزگر داوطلب درجه‌ی دکترای مطالعات دینی در دانشگاه اموری در شهر آتلانتای ایالت جورجیا می‌باشد
Нахуст мехостам ба хотири ба рӯз нашудани тӯлонии Ҷоми Ҷам аз азизон пӯзиш бихоҳам	نخست می‌خواستم به خاطر به روز نشدن طولانی جام جم از عزیزان پوزش بخواهم
Дар ҳафтаҳои гузашта серкор будам ва ин гирифториҳо иҷоза намедод ки ба Ҷоми Ҷам расидагӣ намоям	در هفته‌های گذشته خیلی سیرکار بودم و این گرفتاری‌ها اجازه نمی‌داد که به جام جم رسیدگی نمایم
Чанд рӯзе пеш рӯйи торнигори Як Дарвеш низ матлаби ҷолибе дар бораи вазъи торнигорҳои тоҷик нашр шуда ки мисли ҳамеша пур аз меҳр буд	جند روزی پیش روی تارنگار یک درویش نیز مطلب جالبی در باره‌ی وضع تارنگارهای تاجیک نشر شده که مثل همیشه پر از مهر بود
Дар воқеъ ҳақ бо ӯст ки ба рӯз намудани торнигорҳоро ҳам ҷузъе аз	در واقع حق با اوست که به روز نمودن تارنگارهارا هم جزئی از
корҳоямон бидонем	کارهایمان بدانیم
Дар рӯзҳои охар сӯҳбатҳои зиёде дар бораи паёми раиси ҷумҳури Омрико ба олами Ислом ҳаст	در روزهای آخر صحبت‌های زیادی در باره‌ی پیام رییس جمهور آمریکا به عالم اسلام هست
Дар воқеъ ин суханронӣ ки дар шаҳри Қоҳира баргузор гардид ба милюнҳо мусалмонон ва ғайри мусалмононе ки дар кишварҳои умдатан мусалмоннишин ба сар мебаранд як навъ умеде барои ояндаи нек андӯхт	در واقع این سخنرانی که در شهر قاهره برگذار گردید به میلیون‌ها مسلمانان و غیر مسلمانانی که در کشورهای عمدتاً مسلمان‌نشین به سر می‌برند یک نوع امیدی برای آینده‌ی نیک اندوخت
Ин суханронӣ хеле моҳирона иҷро шуда буд ва паёми тозае ба ҷаҳони Ислом ирсол намуд	این سخنرانی خیلی ماهرانه اجرا شده بود و پیام تازه‌ای‌را به جهان اسلام ارسال نمود
Ҳеч як раиси ҷумҳури Омрико пеш аз ин чунин яу суханонеро нагуфта	هیچ یک رییس جمهور آمریکا پیش از این چنین سخنانی‌را نگفته
Ба ҳар ҳол ба назари банда аз шунидани ин суханон фикр кунем ки авзоъ дигар шуда	به هر حال به نظر بنده نباید از شنیدن این سخنان فکر کنیم که اوضاع دیگر شده
Як раиси ҷумҳур ва бо як суханронӣ ҳамон тавре ки худи Убомо гуфт наметавонад авзоъро ба кулл тағйир намояд	یک رییس جمهور و با یک سخنرانی همان طوری که خود اوباما گفت نمی‌تواند اوضاع‌را به کل تغییر نماید
Ин паём як талоше буд воқеъбинона ва талоше буд ҳисобкорона барои коҳишдодани бадбинии Омрико ки имрӯз на танҳо дар ҷаҳон Ислом балки миёни тамоми мардумони озодманиш паҳн шуда	این پیام یک پیامی بود واقعبینانه و تلاشی بود حساب‌کارانه برای کاهش دادن بدبینی آمریکا که امروز نه تنها در جهان اسلام بلکه میان تمام مردمان آزادمنش پهن شده
Банда бо этиқоди Рашиди Ғанӣ коршиноси тоҷик дар масоъили Ховари Миёна мувофиқам ки дар мусоҳибае бо БӣБӣСӣ Форсӣ мегӯяд ин суханон дӯстона нестанд балки аз натиҷаи шикасти Омрико дар Афғонистон ва Ироқ бармеояд ва бештар тасмиме перогмотикӣ мебошад	بنده با اعتقاد رشید غنی کارشناس تاجیک در مسائل خاور میانه موافقم که در مصاحبه‌ای با بی‌بی‌سی فارسی می‌گوید این سخنان دوستانه نیستند بلکه از نتیجه‌ی شکست آمریکا در افغانستان و عراق برمی‌آید و بیشتر تصمیمی پراگماتیکی می‌باشد
Банда мӯътақидам ки сиёсатҳои бунёдии Омрико тағйир наёфта ва ин аст ки имрӯз Омрико муҳим медонад бадбиниро нисбат ба худ коҳиш диҳад	بنده معتقدم که سیاست‌های بنیادی آمریکا تغییر نیافته و این است که امروز برای آمریکا مهم می‌داند بدبینی‌را نصبت به خود کاهش دهد
Худи Омрико эълом намуд ки робитаи Омрико ва режими Саҳюнист истисноӣ аст ва ин ду ҳамеша ба ҳам наздик хоҳанд буд	خود اوباما اعلام نمود که رابطه‌ی آمریکا و رژیم صحیونیست استثنایی است و این دو به همیشه به هم نزدیک خواهند بود
Омрико имрӯз бо як навъ бунбасте дар Ховари Миёна ва бисёре аз кишварҳои дигар рӯ ба рӯ ки барои бештари сиёсатҳояш хеле зараровар аст	آمریکا امروز با یک نوع بنبستی در خاور میانه و بسیاری از کشورهای دیگر روبرو شده که برای پیشبر سیاست‌هایش خیلی ضررآور است
То он рӯзе ки мо дар воқеъ амалеро ки тағйир дар сиёсатҳои Омрикоро нишон медиҳад бубинем наметавонем ба ҳарфҳои давлатмардони Омрико эътиқод дошта бошем	تا آن روزی که ما در واقع عملی‌را که تغییر در سیاست‌های آمریکا‌را نشان می‌دهد ببینیم نمی‌توانیم به حرف‌های دولت‌مردان آمریکایی اعتقاد داشته باشیم
