Гуфта шуд ки тезор Никулой ба қатл расида аммо ҳамсару писараш ба хонае амн мунтақил шудаанд дар моли септомбри хабари расмӣ ин буд ки инқилобиюни дастичапӣ ҳамаи аъзои хонаводаро куштаанд	گفته شد که تزار نیکلای به قتل رسیده اما همسر و پسرش به خانه‌ای امن منتقل شده‌اند در ماه سپتامبر خبر رسمی این بود که انقلابیون دست‌چپی همه اعضای خانواده‌را کشته‌اند در ماه آوریل گفته شد که آنها اصلا به قتل نرسیده‌اند و زنده‌اند
дар моҳи оврили гуфта шуд ки онҳо аслан ба қатл нарасидаанду зиндаанд Дар ҳоле ки ҳамаи аъзои хонаводаи салтанатӣ дар як шаб ва канори ҳам зери рагбори ҷӯхаи марги Ленин ҷон дода буданд	در حالی که همه اعضای خانواده سلطنتی در یک شب و کنار هم زیر رگبار جوجه مرگ لنین جان داده بودند
Евгенӣ Буткин пизишки дарбор Оно Демидуво надимаи шаҳбону Олексей Труп ходими дарбор Ивон Хоритунуф сарошпази дарбор ҳам ки хонаводаи салтанатиро то охирин нафас ҳамроҳӣ карданд ҳамонҷо кушта шуданд	یوگنی بُتکین پزشک دربار آنا دِمیدوا ندیمه شهبانو آلکسی تروپ خادم دربار ایوان خاریتونف سرآشپز دربار هم که خانواده سلطنتی‌را تا آخرین نفس همراهی کردند همان‌جا کشته شدند
Дар паи инқилоби февриеи ва канорагирии Никулой аз тоҷу тахти импротурии Русия давлати муваққат хонаводаи салтанатиро нахуст дар ҳасри Кохи Олексондри Петругрод нишонд сипас ба шаҳри Тубулски Сибрӣ табъид кард	در پی انقلاب فوریه و کناره‌گیری نیکلای از تاج و تخت امپراتوری روسیه دولت موقت خانواده سلطتتی‌را نخست در حصر کاخ آلکساندر پتروگراد نشاند سپس به شهر توبولسک سیبری تبعید کرد
Бино ба хотироти бозмонда аз духтарони тезор бо вуҷуди бархе аз маҳдудиятҳо зиндагӣ барояшон ҳанӯз рангу бӯе дошт ва мешуд масалан аз панҷапаи кохи маҳалли иқоматашон ба беун нигоҳ карду одамонро дид	بنا به خاطرات بازمانده از دختران تزار با وجود برخی از محدودیت‌ها زندگی برایشان هنوز رنگ‌وبویی داشت و می‌شد مثلا از پنجره کاخ محل اقامت‌شان به بیرون نگاه کرد و آدمان‌را دید
Пас аз расидани Ленин ба қудрат дар Петругрод ҳамин озодии андак аз онҳо ситонда шуд	پس از رسیدن لنین به قدرت در پتروگراد همین آزادی اندک هم از آنها ستانده شد
Онҳо дар ду навбат ба Екотеринбург мунтақил шуданд ва дар иқоматгоҳи ҷадидашон панҷараҳо ранги сафед хурда буд ва имкони иртиботи ҳатто басарии онҳо бо ҷаҳони хориҷ ба сифр расид	آنها در دو نوبت به یکاترین‌بورگ منتقل شدند و در اقامتگاه جدیدشان پنجره‌ها رنگ سفید خورده بود و امکان ارتباطِ حتی بصری آنها با جهان خارج به صفر رسید
Хона мутаъаллиқ ба бозаргоне бо номи Никулой Ипотйеф буд ки булшевикҳо онро базӯр мусодира карда буданд то аз он як зиндони тамомъайёр бисозанд	که بلشویک‌ها آن‌را به‌زور مصادره کرده بودند تا از آن یک زندان تمامعیار بسازند
Онро расман хонаи хосманзура дом особого назначения номиданд ва манзур аз он ҳамон зиндони хонадони салтанатӣ буд	آن‌را رسما خانه خاص‌منظوره نامیدند و منظور از آن همان زندان خاندان سلطنتی بود
Тезор ва бастагонаш иҷоза надоштанд аз маҳдудаи хонаи хосманзура берун бираванд	تزار و بستگانش اجازه نداشتند از محدوده خانه خاص‌منظوره بیرون بروند
Ҳатто иҷоза надоштанд аз равзанаи кӯчаке ки барои таҳвия боз монда буд ба ҳаёти хона нигоҳ кунанд	حتی اجازه نداشتند از روزنه کوچکی که برای تهویه باز مانده بود به حیاط خانه نگاه کنند
Оностосиё духтари тезор як бор аз ин равзана ба берун сар кашиду сарбоз шиллик кард	آناستاسیا دختر ساله تزار یک بار از این روزنه به بیرون سر کشید و سرباز شلیک کرد
Аъзои хонавода ки бар забонҳои русӣ фаронсавӣ инглисӣ ва олмонӣ тасаллут доштанд иҷоза надоштанд ҷуз ба забони русӣ суҳбат кунанд чун зиндонбононашон ҳамон як забонро балад буданд	اعضای خانواده که بر زبان‌های روسی فرانسوی انگلیسی و آلمانی تسلط داشتند اجازه نداشتند جز به زبان روسی صحبت کنند چون زندان‌بانان‌شان همان یک زبان‌را بلد بودند
Онҳо иҷозаи дастрасӣ ба лавозимашонро надоштанд ки дар саройи муҳаввата нигаҳдорӣ мешуд	آنها اجازه دسترسی به لوازم‌شان‌را نداشتند که در سرای محوطه نگهداری می‌شد
Бисоташон мудом бозрасӣ мешуд ва ҳарчи пулу ашёи қиматӣ ёфт мешуд барои бақои ҳукумати шӯроии Урол ба яғмо мерафт	بساط‌شان مدام بازرسی می‌شد و هرچه پول و اشیاء قیمتی یافت می‌شد برای بقای حکومت شورایی اورال به یغما می‌رفت
Фарзандони тезор ъалоқаи хоссе ба ъаксбардорӣ доштанд ва дар воқеъ ҳеч хонаводае салтанатӣ дар он даврон ба андозаи хонадони Румонуф аз саҳнаҳои зиндагии худ ъакс барнадошта буд	فرزندان تزار علاقه خاصی به عکس‌برداری داشتند و در واقع هیچ خانواده‌ای سلطنتی در آن دوران به اندازه خاندان رُمانف از صحنه‌های زندگی خود عکس برنداشته بود
Ҳар кудом як дастгоҳи ъаккосии Броунӣ доштанд	هر کدام یک دستگاه عکاسی براونی داشتند
Дар хонаи хосманзура ҳамаи дастгоҳҳо ва таҷҳизоти ъаккосӣ мусодира шуд	در خانه خاص‌منظوره همه دستگاه‌ها و تجهیزات عکاسی مصادره شد
Давр то даври хона ҳисоре ба буландои метр кашида буданд то на аз дарун нигоҳе ба берун русух кунаду на воруна	دور تا دور خانه حصاری به بلندای متر کشیده بودند تا نه از درون نگاهی به بیرون رسوخ کند و نه وارونه
Зоҳиран нигоҳе русух карда буд ки дертар деворе буландтару муҳкамтар дар баробари ҳисори аввал қад кашид	ظاهرا نگاهی رسوخ کرده بود که دیرتر دیواری بلندتر و محکم‌تر در برابر حصار اول قد کشید
Дар нимашаби жуие июл аъзои хонаводаи Румонуф ва ҳамроҳонашро ба баҳонаи инки бояд ба маҳлли амнтаре мунтақил шаванд аз хоб бедор мекунанд	در نیمه‌شب ژوئیه اعضای خانواده رُمانف و همراهان‌شان‌را به بهانه اینکه باید به محل امن‌تری منتقل شوند از خواب بیدار می‌کنند
Ҳамаро дар утоқаки кӯчаки зерзаминӣ қарор медиҳанд ва аз онҳо мехоҳан мунтазири мошин барои интиқол ба маҳалли амнтар бимонанд	همه‌را در اتاقک کوچک زیرزمینی قرار می‌دهند و از آنها می‌خواهند که منتظر ماشین برای انتقال به محل امن‌تر بمانند
Мошин аз роҳ мерасад дар боз мешавад ва мардони мусаллаҳ ворид мешаванду ҳамаро дар як он ба рагбори гулула мебанданд	متشین از راه می‌رسد در باز می‌شود و مردان مسلح وارد می‌شوند و همه‌را در یک آن به رگبار گلوله می‌بندند
Пайкарҳоро дар асид тезоб оғушта мекунанду дар ду гӯри дастаҷамъӣ ба хок месупоранд	پیکرها‌را در اسید آغشته می‌کنند و در دو گور دسته‌جمعی به خاک می‌سپارند
Ва бад-ин гуна ҳукуматеро оғоз мекунанд ки ваъдаи хушбахтию додварзӣ ба оҳоди башарро дода буд	و بدین گونه حکومتی‌را آغاز می‌کنند که وعده خوشبختی و دادورزی به آحاد بشر‌را داده بود
Маҳалли ҷиноят акнун аз сафҳаи ҳастӣ зудуда шуда	محل جنایت اکنون از صفحه هستی زدوده شده
Дар соли ба муносибати шастумин солрӯзи инқилоби вайронгари Уктубр ба дастури Ҳизби Кумунисти Шӯравӣ хонаи Ипотйеф бо хок яксон шуд сол пас аз эъдоми фаҷеъи хонаводаи Румонуф ва сол пеш аз марги худи Иттиҳоди Шӯравӣ	در سال به مناسبت شصتمین سالروز انقلاب ویرانگر اکتبر به دستور حزب کمونیست شوروی خانه ایپات‌یف با خاک یکسان شد؛ سال پس از اعدام فجیع خانواده رُمانف و سال پیش از مرگ خود اتحاد شوروی
Дар соли дар ҷои хонаи Ипотйеф калисои бошукӯҳе ба ёди хонадони Румонуф қад ъалам кард	در سال بوریس یلتسین رئیس‌جمهور وقت روسیه اعدام خانواده رُمانف‌را یکی از شرم‌بارترین صفحات تاریخ کشورش نامید
Калисои уртудукси Русия қурбониёни он моҷароро шуҳадои қиддис ъунвон кард	برای شخص من ابعاد انسانی این قضیه پررنگ‌تر و تکان‌دهنده‌تر از بعد سیاسی آن است
Дар соли Бурис Елтсин раисҷумҳури вақти русия эъдоми хонаводаи Румонуфро яке аз шармбортарин сафаҳоти торихи кишвараш номид	چه بسا دادخواهانی که با ارتکاب وحشیانه‌ترین جنایات بشری پنداشته‌اند که در حال اعمار یک جامعه مبتنی بر عدالت هستند
Барои шахси ман абъоди инсонии ин қазия пуррангтару такондиҳандатар аз буъди сиёсии он аст Чи басо додхоҳон-е ки бо иртикоби ваҳшиёнатарин ҷиноёти башарӣ пиндоштаанд ки дар ҳоли эъмори як ҷомеъаи мубтанӣ бар ъадолат ҳастанд	مرور نامه‌ها و یادداشت‌های بازمانده از فرزندان تزار به‌ویژه چهار دختر او که بزرگ‌تر بودند و مشاهدات جالبی از رخدادهای پیرامون خود داشتند موضوع‌را روشن‌تر می‌کند
Аз нахустин талошҳо барои ислоҳу тағйири расмулхатти форсӣ беш аз сад сол мегузарад аммо боби ин баҳс ҳамчунон гушуда аст	از نخستین تلاش‌ها برای اصلاح و تغییر رسم‌الخط فارسی بیش از صد سال می‌گذرد اما باب این بحث همچنان گشوده است
Бо вуруд ба ъасри роёна ин гуфтмони куҳан дубора ҷон гирифта ва доман паҳн кардааст	با ورود به عصر رایانه این گفتمانِ کهن دوباره جان گرفته و دامن پهن کرده است
Ҳанӯз ҳам ҳастанд соҳибназароне ки ба шеваи Мирзо Фатҳъалии Охундзода дар авосити садаи мелодӣ бо ишора ба мушкилоти нивишторӣ аз хайри дабираи форсӣ гузаштаанд ва ба зарурати ҷойгузинии он бо хатте дигар имон доранд	هنوز هم هستند صاحب‌نظرانی که به شیوۀ میرزا فتحعلی آخوندزاده در اواسط سدۀ میلادی با اشاره به مشکلات نوشتاری از خیر دبیره فارسی گذشته‌اند و به ضرورت جایگزینی آن با خطی دیگر ایمان دارند
Ин дар ҳолест ки Тоҷикистон ба ъунвони намоишгоҳи зиндаи ин ислоҳу тағйир дар забони порсӣ вуҷуд дорад	این در حالی است که تاجیکستان به عنوان نمایشگاه زندۀ این اصلاح و تغییر در زبان پارسی وجود دارد
Сад сол пеш Иморати Бухоро ба дасти Артиши Сурх тасхир шуд ва нуҳ сол баъд расмулхатти порсӣ дар ин хитта ба лотин табдил шуд	صد سال پیش امارت بخارا به دست ارتش سرخ تسخیر شد و نُه سال بعد رسم‌الخط پارسی در این خطه به لاتین تبدیل شد
Дабираи лотин даҳ сол ъумр кард пеш аз ин ки ҷои худро ба расмулхатти сириллик бидиҳад	دبیرۀ لاتین ده سال عمر کرد پیش از اینکه جای خود‌را به رسم‌الخط سیریلیک بدهد
Чун ишорае ба Охундзода доштем достонро аз зиндагӣ ва корномаи ҳамӯ оғоз кунем	چون اشاره‌ای به آخوندزاده داشتیم داستان‌را از زندگی و کارنامۀ همو آغاز کنیم
Мирзо Фатҳъалӣ соли мелодӣ дар шаҳраки Нӯха аз тавобеъи шаҳри Шакии Озарбойҷон зода шуд ки акнун дар наздикии марзи Ҷумҳурии Озарбойҷон бо Доғистони Русия ва кишвари Гурҷистон аст	میرزا فتحعلی سال میلادی در شهرک نوخه از توابع شهر شکی آذربایجان زاده شد که اکنون در نزدیکی مرز جمهوری آذربایجان با داغستان روسیه و کشور گرجستان است
То он замон Нӯха ва Шакӣ аз тавобеъи Эрон буданд ва як сол баъд бо имзои Ъаҳдномаи Гулистон ҷузъи қаламрави Русия шуданд	تا آن زمان نوخه و شکی از توابع ایران بودند و یک سال بعد با امضای عهدنامۀ گلستان جزء قلمرو روسیه شدند
Падараш Мирзо Муҳаммадтақӣ аҳли Табрез буд ва кадхудои рустои Хомина ки акнун шаҳрест дар устони Озарбойҷони Шарқии Эрон	پدرش میرزا محمدتقی اهل تبریز بود و کدخدای روستای خامنه که اکنون شهری است در استان آذربایجان شرقی ایران
Як сол пеш аз таваллуди Мирзо Фатҳъалӣ падараш аз ин мақом барканор шуда буд	یک سال پیش از تولد میرزا فتحعلی پدرش از این مقام برکنار شده بود
Мирзо Фатҳъалӣ дар дунёе мутафовит бузург шуд дунёе эронӣ ки дар ишғоли Русия роҳу равиши дигаре мепаймуд	میرزا فتحعلی در دنیایی متفاوت بزرگ شد؛ دنیایی ایرانی که در اشغال روسیه راه و روش دیگری می‌پیمود
Дар натиҷа дар ъайни ҳифзи эронияти худ пайрави ниҳлаҳои фикрии зодбумаш буд ки дигар бахше аз импротурии Русия ба шумор мерафт	در نتیجه در عین حفظ ایرانیت خود پیرو نحله‌های فکری زادبومش بود که دیگر بخشی از امپراتوری روسیه به شمار می‌رفت
Мирзо Фатҳъалии Охундзода ки дар Иттиҳоди Шӯравии пешин бо номи Фатҳъалӣ Охундуф шинохта мешавад ъумри худро вақфи ислоҳу тағйири расмулхатти турку тоҷик турку эронӣ кард ҳарчанд то поёни ъумраш ин талошҳо бор надод	میرزا فتحعلی آخوندزاده که در اتحاد شوروی پیشین با نام فتحعلی آخوندف شناخته می‌شود عمر خود‌را وقف اصلاح و تغییر رسم‌الخط ترک و تاجیک ترک و ایرانی کرد؛ هرچند تا پایان عمرش این تلاش‌ها باری نداد
Ӯ нахуст хоҳони ислоҳи алифбои ъарабӣ барои милали турку форс буд баъд бар мабнои алифбои русию лотин расмулхатти тозаеро барои ҳамаи онҳо пай рехт	او نخست خواهان اصلاح الفبای عربی برای ملل ترک و فارس بود؛ بعد بر مبنای الفبای روسی و لاتین رسم‌الخط تازه‌ای‌را برای همۀ آنها پی ریخت
Худи ӯ дар манзумае ки ба сабки Шоҳнома ба порсӣ суруда ҷузъиёти талошҳояш дар ростои ислоҳу тағйири расмулхатро таъриф мекунад	خود او در منظومه‌ای که به سبک شاهنامه به پارسی سروده جزئیات تلاش‌هایش در راستای اصلاح و تغییر رسم‌الخط‌را تعریف می‌کند
Пораҳое аз ин манзума соли дар шумораҳои чаҳоруму панҷуми маҷаллаи Раҳбари дониш дар Тоҷикистони шӯравӣ мунташир шуд	پاره‌هایی از این منظومه سال در شماره‌های چهارم و پنجم مجلۀ رهبر دانش در تاجیکستان شوروی منتشر شد
Дуруст дар буҳбӯҳаи баҳси тағйири алифбои форсӣ ба лотин дар Осиёи Миёна нивисандае бо имзои Раҳими Мим дар ин маҷаллаи порсизабон пораҳое аз он чакомаи Охундзодаро овардааст	درست در بحبوحۀ بحث تغییر الفبای فارسی به لاتین در آسیای میانه نویسنده‌ای با امضای رحیم میم در این مجلۀ پارسی‌زبان پاره‌هایی از آن چکامۀ آخوندزاده‌را آورده است
Тоҷикистони шӯравӣ ки бахши шарқии иморати пешини Бухоро буд бино ба дастури Кремлин бояд ба тағйири хат тан медод	تاجیکستان شوروی که بخش شرقی امارت پیشین بخارا بود بنا به دستور کرملین باید به تغییر خط تن می‌داد
Расонаҳои давлатӣ барои табйини манзури давлати шӯроҳо ниҳояти талоши худро мекарданд	رسانه‌های دولتی برای تبیین منظور دولت شوراها نهایت تلاش خود‌را می‌کردند
Мақолаи Раҳими Мим ҳам дар панҷоҳумин солгарди даргузашти Фатҳъалии Охундзода порае аз он талошҳо буд	مقالۀ رحیم میم هم در پنجاهمین سالگرد درگذشت فتحعلی آخوندزاده پاره‌ای از آن تلاش‌ها بود
Мирзо Фатҳъалии Охундзода дар бораи тағйири алифбои ъараб дар соли ба забони форсӣ китобчае менивисад ва дар соли барои эълон намудани ин хиёли худ ба Истонбул меравад ва китобчаи худро ба садри аъзами Туркия Фуодпошшо пешниҳод мекунад	میرزا فتحعلی دربارۀ تغییر الفبای عرب در سال به زبان فارسی کتابچه‌ای می‌نویسد و در سال برای اعلان نمودن این خیال خود به استانبول می‌رود و کتابچۀ خود‌را به صدر اعظم ترکیه فواد پاشا پیشنهاد می‌کند
Ин китобчаи Мирзо Фатҳъалиро дар ҷамъияти ъилмии Туркия музокира карда аз ҳар ҷиҳат мақбул мешуморанд	این کتابچۀ میرزا فتحعلی‌را در جمعیت علمی ترکیه مذاکره کرده از هر جهت مقبول می‌شمارند
Дар ин китобча Мирзо Фатҳъалӣ алифбои ъарабиро ислоҳ ва шаклҳои ислоҳкардаи худашро нишон дода будааст	در این کتابچه میرزا فتحعلی الفبای عربی‌را اصلاح کرده و شکل‌های اصلاح‌کردۀ خودش‌را نشان داده بوده است
Мирзо Фатҳъалӣ дар манзумае ки дар бораи алифбои нав нивиштааст чунин мегӯяд	میرزا فتحعلی در منظومه‌ای که دربارۀ الفبای نو نوشته است چنین می‌گوید
Сафар кардам аз роҳи дарё ба Рум	سفر کردم از راه دریا به روم
Алифбои навро дар он марзу бум	الفبای نو‌را در آن مرز و بوم
Намудам ба аркони давлат тамом	نمودم به ارکان دولت تمام
Хиёлам басе пухта буду на хом	خیالم بسی پخته بود و نه خام
Якояк бигуфтанд сад офарин	یکایک بگفتند صد آفرین
Ҷаҳон шуд ба чашмам чу хулди барин	جهان شد به چشمم چو خلد برین
Маро пойгаҳ бештар сохтанд	مرا پایگه بیشتر ساختند
Ба инъоми шоҳона бинвохтанд	به انعام شاهانه بنواختند
Идомаи достон дар ин манзума ба ин ширинию хушбинӣ нест	ادامۀ داستان در این منظومه به این شیرینی و خوش‌بینی نیست
Вазири мухтори вақти Эрон дар Истонбул бо баҳраварӣ аз нуфузи худ ҷилави пазируфта шудани ислоҳоти Охундзода дар расмулхатти ъарабии ъусмониро мегирад	وزیر مختار وقت ایران در استانبول با بهره‌وری از نفوذ خود جلو پذیرفته شدن اصلاحات آخوندزاده در رسم‌الخط عربی عثمانی‌را می‌گیرد
Фатҳъалии Охундзода ки дар оғоз ба фикри ислоҳи дабираи ъарабӣ буд ҷаритар далертар мешавад ва ба фикри барандохтани алифбои роиҷ меуфтад	فتحعلی آخوندزاده که در آغاز به فکر اصلاح دبیرۀ عربی بود جری‌تر می‌شود و به فکر برانداختن الفبای رایج می‌افتد
Бо таркиббандии алифбои русию лотин расмулхатти тозаеро барои забонҳои форсию туркӣ ибдоъ мекунад ва дубора суроғи мақомҳоеро мегирад ки ин тағйирро таъйид кунанд	با ترکیب‌بندی الفبای روسی و لاتین رسم‌الخط تازه‌ای‌را برای زبان‌های فارسی و ترکی ابداع می‌کند و دوباره سراغ مقام‌هایی‌را می‌گیرد که این تغییر‌را تایید کنند
Кӯтоҳсухан пайкори Фатъалии Охундзода дар тӯли зиндагии ба ҷое намерасад ва саранҷом месарояд	کوتاه سخن پیکار فتحعلی آخوندزاده در طول زندگی شصت‌وشش ساله‌اش به جایی نمی‌رسد و سرانجام می‌سراید
Ба андӯҳу ҳасрат маро рӯзгор	به اندوه و حسرت مرا روزگار
Сар омад дар ин дайри нопойдор	سر آمد در این دیر ناپایدار
Ба бисёр тадбирҳо чангзан	به بسیار تدبیرها چنگزن
Басо будам аз фарти ҳубби Ватан	بسا بودم از فرط حُبِّ وطن
Набахшид саъям вале ҳосиле	نبخشید سعی‌ام ولی حاصلی
Надидам дар ин ъаср соҳибдиле	ندیدم در این عصر صاحبدلی
Бузургони туркону Эронзамин	بزرگان ترکان و ایران‌زمین
Ҳама хуфта буданд чун халқи Чин	همه خفته بودند چون خلق چین
Ҷавоним рафту забун гашт зӯр	جوانیم رفت و زبون گشت زور
Ҷавонӣ надидам або завқу шӯр	جوانی ندیدم ابا ذوق و شور
орзуи Охундзода	آرزوی آخوندزاده
Ин ормонро Фатҳъалии Охундзода бо худаш ба гӯр набурд балки бисёре онро пай гирифтанду ба мансаи зуҳур расонданд	این آرمان‌را فتحعلی آخوندزاده با خودش به گور نبُرد بلکه بسیاری آن‌را پی گرفتند و به منصۀ ظهور رساندند
Ҷумҳурии Озарбойҷон ки Мирзо Фатҳъалии Охундзодаро аз фарзандони худ медонад пеш аз ҳама дастабкор шуд	جمهوری آذربایجان که میرزا فتحعلی آخوندزاده‌را از فرزندان خود می‌داند پیش از همه دست بکار شد
Боку дар соли кумитаеро барои гузор ба хатти лотин созмон дод ва чаҳор сол баъд бакуллӣ хатти ъарабиро пушти сар гузошт ва батамом лотин шуд	باکو در سال کمیته‌ای‌را برای گذار به خط لاتین سازمان داد و چهار سال بعد بکلی خط عربی‌را پشت سر گذاشت و بتمام لاتین شد
Лотинӣ шудани расмулхат дар Ҷумҳурии Туркия ду сол баъд ба вуқӯъ пайваст	لاتینی شدن رسم‌الخط در جمهوری ترکیه دو سال بعد به وقوع پیوست
Албатта пештар аз он дар худи Русия ҳам иттифоқе дар ҳамин росто рух дода буд	البته پیشتر از آن در خود روسیه هم اتفاقی در همین راستا رخ داده بود
Ҷумҳурии Худмухтори Ёқутистон нахустин бахши Шӯравӣ буд ки дар соли алифбои лотинро ба расмият шинохт	جمهوری خودمختار یاقوتستان نخستین بخش شوروی بود که در سال الفبای لاتین‌را به رسمیت شناخت
Пас аз Ҷумҳурии Озарбойҷон раванди лотинӣ кардан дар ҳамаи ҷумҳуриҳои мусалмоннишини Шӯравӣ калид хурд ва расмулхатти ҳамаи онҳо лотинӣ шуд	پس از جمهوری آذربایجان روند لاتینی کردن در همۀ جمهوری‌های مسلمان‌نشین شوروی کلید خورد و رسم‌الخط همۀ آنها لاتینی شد
То соли алифбои забони хурду бузурги Иттиҳоди Шӯравӣ лотинӣ шуда буд ва умури тағйири хатро кумитае вежа дар Маскав идора мекард	تا سال الفبای هفتاد زبان خُرد و بزرگ اتحاد شوروی لاتینی شده بود و امور تغییر خط‌را کمیته‌ای ویژه در مسکو اداره می‌کرد
Тасмими гузор ба хатти лотин аз пойтахти импротурӣ дикта мешуд	تصمیمِ گذار به خط لاتین از پایتخت امپراتوری دیکته می‌شد
Чиро лотинӣ	چرا لاتینی
Дар авони пайдоиши Шӯравӣ мафҳумҳои сусиёлисм ва кумунисм сайёл буданд ва тасаввур мерафт ки Иттиҳоди Шӯравӣ хишти аввали борӯест ки саранҷом тамоми ҷаҳонро бо аҳдофи кумунисм гирди ҳам хоҳад овард	در اوان پیدایش شوروی مفهوم‌های سوسیالیسم و کمونیسم سیال بودند و تصور می‌رفت که اتحاد شوروی خشت اولِ بارویی است که سرانجام تمام جهان‌را با اهداف کمونیسم گرد هم خواهد آورد
Табъан ҳамаи ҳукуматҳое ки савор бар амвоҷи инқилобе рӯи кор омадаанд ба хиёли судури он мавҷҳо ба ақсо-нуқоти ҷаҳон будаанд	طبعاً همۀ حکومت‌هایی که سوار بر امواج انقلابی روی کار آمده‌اند به خیال صدور آن موج‌ها به اقصی نقاط جهان بوده‌اند
Дар оғози погирии Иттиҳоди Шӯравӣ тасаввур бар ин буд ки инқилоби Уктубр дар марзҳои импротурии тезорӣ Русия мутаваққиф нахоҳад шуд	در آغاز پاگیری اتحاد شوروی تصور بر این بود که انقلاب اکتبر در مرزهای امپراتوری تزاری متوقف نخواهد شد
Пиндори хиёлпардозони булшевик тамоми ҷаҳонро дарменавардид	پندار خیالپردازان بُلشویک تمام جهان‌را درمی‌نوردید
Ва бар мабнои он пиндор хатти лотин чи барои Шарқу чи барои Ғарб хатти шоиставу писандида буд ки метавонист ниёзи ҳамаи забонҳоро бароварда созад	و بر مبنای آن پندار خط لاتین چه برای شرق چه برای غرب خطی شایسته و پسندیده بود که می‌توانست نیاز همۀ زبان‌ها‌را برآورده سازد
