гимнастика	ژیمناستیک
Ҳоҷенвилл	هاجنویل،
Ҳартфорд	هارتفورد
Белвю	بلویو،
Дурҳом	دورهام،
Волсом	والتهام،
Атланта	آتلانتا
Ҳадсун,Ню-Йорк	هادسون، نیویورک
витир	ویتیر،
Санта Барбара	سنتا باربارا،
Вустер	ووستر،
Гэри	گری،
Глендейл	گلندیل
Амстердам,Ню-Йорк	آمستردام، نیویورک
Помона	پومونا،
Индепенденс	ایندیپندنس،
Порт Ҷервис,Ню-Йорк	پورت جرویس، نیویورک
Санта Фе	سانتا فه
Литл Фолз,Ню-Йорк	لیتل فالز، نیویورک
Сан Маркос	سن مارکوس،
Лас Вегас	لاس‌وگاس
Талса	تالسا،
Мишен-Вйеҳу	میشن ویجو،
Синсиннати	سینسینتی
Ҳюстон	هیوستون
Лансинг	لنسینگ
Ню-Йорк	نیویورک
Ашленд	اشلند،
Сан-Марино	سان مارینو،
Гловурсвил,Ню-Йорк	گلوورسویل، نیویورک
Огденсбург,Ню-Йорк	اگدنس بورگ، نیویورک
Томасвил	توماس ویل،
Сан Диего	سن دیگو
Кетчум	کچام،
Бей Сент-Луис	بی سنت. لوئیس،
Майами	میامی
Рочестер,Ню-Йорк	روچستر
Детройт	میشیگان،
Умоҳо	اوماها
Колумбия	کلمبیا،
Воҳу	واهو،
Нюбург,Ню-Йорк	نیوبورگ، نیویورک
Манчестер	منچستر،
Эл-Сентро	ال سنترو،
Лукпорт,Ню-Йорк	لوک پورت، نیویورک
Ренселаер,Ню-Йорк	رنسلیر، نیویورک
Спрингфилд, Массачусетс	اسپرینگفیلد ماساچوست
Мидл Таун,Ню-Йорк	میدل تاون، نیویورک
Албания,Ню-Йорк	آلبانی، نیویورک
Сан-Бруно	سان برونو،
Санта-Моника	سنتا مونیکا،
Сакраменто	ساکرامنتو
Бруклин	بروکلین
Монтгомери	مونتگمری
Ричмунд	ریچموند،
Ҳоп	هوپ
Балтимор	بالتیمور
Колорадо Спрингс,	کلرادو اسپرینگز
Оулон,Ню-Йорк	اولان، نیویورک
Куинсӣ	کوئینسی،
Соку	سوکو،
Локовоно,Ню-Йорк	لاکاوانا، نیویورک
Рим,Ню-Йорк	رم، نیویورک
Кембриҷ	کمبریج
Сан-Франсиско	سان فرانسیسکو
Бустун	بوستون
Даллас,	دالاس
Арлингтон, Техас	آرلینگتون، تگزاس
Ниагаро Фолз,Ню-Йорк	نیاگارا فالز، نیویورک
Рончу-Мирож	رانچو مایراج،
Спрингфилд	اسپرینگ‌فیلد
Оусвего,Ню-Йорк	اوس ویگو، نیویورک
Маунт Вернон,Ню-Йорк	مانت ورنون، نیویورک
Норт Тауновондо,Ню-Йорк	نورت توناواندا، نیویورک
Оунинто,Ню-Йорк	اونینتا، نیویورک
Франкфорт	فرانکفورت
Орлеани	نیواورلئان
Нашвилл	نشویل
Вашингтон Ҳавзаи Колумбия	واشینگتن، دی. سی.
Тоскомбиё	تاسکامبیا،
Йорба-Линда	یوربا لیندا،
Корал-Гейблс	کورال گیبلز،
Оуэнсборо	اوونزبروو،
Кингстон,Ню-Йорк	کینگستون، نیویورک
Бирмингем	برمینگهم،
Малибу	ملیبو،
Илӣ	الی،
Кингстрӣ	کینگستر،
Таун,Ню-Йорк	جانزتاون، نیویورک
Престонсбург	پرستونسبورگ،
Наталия	ناتالی،
Мемфис	ممفیس
Кливленд	کلیولند
Шауни	شنی،
Сиэтл	سیاتل
Платсбург,Ню-Йорк	پلاتس بورگ، نیویورک
Мечаниквил,Ню-Йорк	مچانیکویلی، نیویورک
Каламазу	کالامزو،
Олимпиа,	المپیا
Скоттсдейл	سکاتزدیل،
Лос Анҷелес	لس آنجلس
Миннеаполис	مینیاپولیس
Ню-Ҳейвен	نیوهیون،
Сент-Луис	سنت لوئیس
Паго-Паго	پاگو پاگو
Беркли	برکلی،
Дейвис	دیویس،
Њурнел,Ню-Йорк	هورنل، نیویورک
Оунидо,Ню-Йорк	اونیدا، نیویورک
Таун,Ню-Йорк	تاون، نیویورک
Фресну	فرزنو
Филиму	فیلیمو
Филиму	فیلیمو
Чикаго	شیکاگو
шаҳрдории Резекне	شهرداری رزکنه
Рундал	رونداله
Рӯзномаи деворӣ	روزنامه دیواری
Ал-Баён	البیان
Известия	ایزویستیا
Файнаншиал Таймз	فایننشیال تایمز
Бухорои Шариф	بخارای شریف
Бухорои Шариф	بخارای شریف
Бухорои Шариф	بخارای شریف
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи омбрли	فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه امبرلی
Бирмингем	بیرمنگام
Кентерберӣ	کنتربری
Кембриҷ	کمبریج
Созмони Ҳамкории Исломӣ	سازمان همکاری اسلامی
Созмони Ҳамкории Исломӣ	سازمان همکاری اسلامی
Созмони Ҳамкории Исломӣ	سازمان همکاری اسلامی
Созмони Ҳамкории Исломӣ	سازمان همکاری اسلامی
Созмони Ҳамкории Исломӣ	سازمان همکاری اسلامی
Мактаби кару гунгҳо	مکتب کر و گنگ‌ها
Таймз	تایمز
Таймз	تایمز
Таймз	تایمز
Тишрин	تشرین
Тишрин	تشرین
Тишрин	تشرین
Тишрин	تشرین
Валпараисо	والپارایزو
Бундестаг	بوندستاگ
Маҷлиси	ملی
Баҳрайн	بحرین
Вануату	وانواتو
Малта	مالت
Индонезия	اندونزی
Зеландияи	نیوزیلند
Маврикия	موریس
Микронезия	میکرونزی
Кирибатӣ	کیریباتی
Палау	پالائو
Исландия	ایسلند
Ирландия	ایرلند
Фиҷи	فیجی
Кипр	قبرس
Тимори Шарқӣ	تیمور شرقی
Антигуаю Барбуда	آنتیگوا و باربودا
Бритониёи	بریتانیا
Науру	نائورو
Попуо Гинеяи Нав	پاپوآ گینه نو
ва Принсипи	و پرینسیپ
Сингапур	سنگاپور
Ҷазираҳои Димоғаи	ورد
Шри-Ланка	سری‌لانکا
Кук	کوک
Доминикан	دومینیکن
Гренада	گرنادا
Кубо	کوبا
Самоа	ساموآ
Малдив	مالدیو
Сент-Винсент ва Гренадинҳо	سنت وینسنت و گرنادین‌ها
Сент-Китс ва Невис	سنت کیتس و نویس
Туркии Шимолӣ	ترک شمالی
Соломон	سلیمان
Ҷопон	ژاپن
Сент-Люсия	سنت لوسیا
Комор	قمر
Тонга	تونگا
Тайван	تایوان
Сейшел	سیشل
Маршал	مارشال
Ямайка	جامائیکا
Гренландия	گرینلند
Ҳоитӣ	هائیتی
Мадагаскар	ماداگاسکار
БиБиСи	بی‌بی‌سی
Созмони Паймони Амнияти Дастаҷамъӣ	سازمان پیمان امنیت جمعی
АНЗЮС	آنزوس
Асноди Панама	اسناد پاناما
Асноди Панама	اسناد پاناما
Зиндони Бағдод	زندان ابوغریب
Белгия	بلژیک
Португалия	پرتغال
Олмон	آلمان
Чили	شیلی
Чехия	چک
Итолиё	ایتالیا
Иёлоти Амрико	ایالات آمریکا
Туркия	ترکیه
Кулумбия	کلمبیا
Латвия	لتونی
Австралия	استرالیا
Словакия	اسلواکی
Дания	دانمارک
Финланд	فنلاند
Норвегия	نروژ
Словения	اسلوونی
Литва	لیتوانی
Суэд	سوئد
Юнон	یونان
Эстония	استونی
Конодо	کانادا
Мексика	مکزیک
Суис	سوئیس
Лаҳистон	لهستان
Испониё	اسپانیا
Фаронса	فرانسه
Маҷористон	مجارستان
Нидерланд	هلند
Коста Рика	کاستاریکا
Люксембург	لوکزامبورگ
Корея	کره
Корея	کره
фанноварии	دانشگاه صنعتی زوریخ
Мито	میتو،
Гифу	گیفو
Фунабаши	فوناباشی،
Вакаяма	واکایاما
Матсумото	ماتسوموتو،
Матсуяма	ماتسویاما،
Такасаки	تاکاساکی،
Ичиномия	ایچینومیا،
Ҳимеҷи	هیمه‌جی،
Асаҳикауа	آساهیکاوا
Акаши	آکاشی،
Маебаши	مائه‌باشی،
Тоттори	توتوری
Кошигая	کوشیگایا،
Акита	آکیتا
Фукуи	فوکوئی
Наҳа	ناها،
Кофу	کوفو،
Матсуе	ماتسوئه
Фукуяма	فوکویاما،
Ҳачиноҳе	هاچینوهه،
Шимоносеки	شیمونوسکی،
Суита	سوئیتا،
Ҳигашиосака	هیگاشی‌اوساکا،
Сасебо	ساسه‌بو،
Утсуномия	اوتسونومیا،
Тояма	تویاما
Кагошима	کاگوشیما
Куруме	کورومه،
Тоёта	تویوتا
Ҳираката	هیراکاتا،
Ёкосука	یوکوسوکا،
Ҳакодате	هاکوداته،
Корияма	کوری‌یاما،
Нишиномия	نیشی‌نومیا،
Мориока	موریوکا،
Иваки	ایواکی،
Ямагата,	یاماگاتا
Курашики	کوراشیکی،
Кауагучи	کاواگوچی،
Нагасаки	ناگازاکی
Тоёҳаши	تویوهاشی،
Амагасаки	آماگاساکی،
Куре	کوره،
Аомори	آئوموری
Каназауа	کانازاوا،
Отсу	اتسو،
Такатсуки	تاکاتسوکی،
Неягауа	نه‌یاگاوا،
Оита	اوئیتا
Кашива	کاشیوا،
Такаматсу	تاکاماتسو،
Кочи	کوچی
Тоёнака	تویوناکا،
Кавагое	کاواگوئه،
Кавагое	کاواگوئه،
Кавагое	کاواگوئه،
Донишгоҳи Миннесуто	دانشگاه مینسوتا
Ҷенерал Моторс	جنرال موتورز
Федератсияи ҷуду	فدراسیون جودو
УЕФА	یوفا
байналмилалии волейбол	بین‌المللی والیبال
футболи Осиё	فوتبال آسیا
футболи Марказӣ	فوتبال مرکزی
байналмилалии варзиши сабук	بین‌المللی فدراسیون‌های
Донишгоҳи Калифорния Берклӣ	دانشگاه کالیفرنیا، برکلی
Китобхонаи Конгресс	کتابخانه کنگره
Низомия	نظامیه
Низомия	نظامیه
олии Стэнфорд	عالی و کار استنفورد
Ҳарвард	و کار هاروارد
Уортон	وارتون
Берлин	برلین
Фуҷи	فوجی،
Нумазу	نومازو،
Ямато	یاماتو،
Ота	اوتا،
Такаразука	تاکارازوکا،
Сока	سوکا،
Какогава	کاکوگاوا،
Токорозауа	توکوروزاوا،
Ёккаичи	یوکایچی،
Кумагая	کوماگایا،
Тсукуба	تسوکوبا،
Яо	یائو،
Одавара	اوداوارا،
Чигасаки	چیگاساکی،
Кишиуада	کیشی‌وادا
Исесаки	ایسه‌ساکی،
Ҳиратсука	هیراتسوکا،
Касукабе	کاسوکابه،
Нагаока	ناگائوکا،
Ибараки	ایباراکی،
Атсуги	آتسوگی،
Ҷоетсу	جوئتسو،
Академияи Нерӯҳои ИМА	آکادمی نیروی هوایی متحده
Муассисаи Порис	علوم سیاسی پاریس
политехникӣ	پلی‌تکنیک
Ландан	لندن
Донишгоҳи Қирғизистон	دانشگاه قرقیزستان
фановарии Массачусетс	فناوری ماساچوست
Донишгоҳи Йел	دانشگاه ییل
байналмилалии табиат	بین‌المللی طبیعت
Созмони Беҳдошт	سازمان بهداشت
Донишгоҳи Принстон	دانشگاه پرینستون
Викидода	ویکی‌داده
Викидода	ویکی‌داده
Викидода	ویکی‌داده
Википедиа	ویکی‌پدیا
бузурги Тоскана	بزرگ توسکانی
Подшоҳии Маҷористон	پادشاهی مجارستان
Коммунистии	کمسومول
РИА Новости	ریانووستی
Садои Амрико	صدای آمریکا
Садои Амрико	صدای آمریکا
Ҳизби коммунистии Тоҷикистон	حزب کمونیست تاجیکستان
Ҳизби Комунистии Ӯзбакистон	حزب کمونیست ازبکستان
Донишгоҳи Ҳейделберг	دانشگاه هایدلبرگ
Донишгоҳи Ҳумбулти Берлин	دانشگاه هومبولت برلین
Донишгоҳи Берлин	دانشگاه برلین
Донишгоҳи Бонн	دانشگاه بن
Донишгоҳи Мюнхен	دانشگاه مونیخ
Донишгоҳи Тубинген	دانشگاه توبینگن
Оли Саъид	آل بوسعید
Суринам	سورینام
Фурудгоҳи гирод мантақа овминту	فرودگاه گراد منطقه اومینتو
Эхинг	اشینگ
Тунинген	تونینگن
Айхвалд	ایچوالد
Лангеог	لانگه‌اگ
Пфронтен	پفرونتن
Поҳнсдорф	پوهنسدورف
Шорндорф	شرندورف
Метсинген	متسینگن
Роттвайл	روتوايل
Швебиш-Гмӯнд	شوابیش گموند
фондии	نزدک
Бурси Тайван	بورس تایوان
мустақил	مستقل
мустақил	مستقل
Бонн	بن
Монҳойм	مانهایم
Дармштадт	دارمشتات
Кассел	کاسل
Нав	نوا
Унторию	انتاریو
Алберта	آلبرتا
Квебек	کبک
Халқи Чин	خلق چین
Донишгоҳи Браун	دانشگاه براون
Донишгоҳи Пенсилвания	دانشگاه پنسیلوانیا
Донишгоҳи Ҳарвард	دانشگاه هاروارد
Донишгоҳи Колумбия	دانشگاه کلمبیا
алавиён	علویان
Моликӣ	مالکی
Азрақия	ازارقه
Наҷдия	نجدات
шиъа	شیعه
суннӣ	سنی
Ваҳҳобия	وهابیت
рӯшонӣ	روشنی
ибозия	اباضیه
хавориҷ	خوارج
муътазила	معتزله
мотуридӣ	ماتریدی
Қаландария	قلندر
Қадария	قدریه
Луя Ҷирга	لویه جرگه
Кумитаи Салиби Сурх	کمیته صلیب سرخ
Салиби Сурх ва Ҳилоли Аҳмар	صلیب سرخ و هلال احمر
Салиби Сурх ва Ҳилоли Аҳмар	صلیب سرخ و هلال احمر
Виктория ва Алберт	ویکتوریا و آلبرت
Донишгоҳи Бристол	دانشگاه بریستول
Интерпол	پلیس
Пекин	پکن
Нонҷинг	نانجینگ
Испания	اسپانیا
Бритониё	بریتانیا
Донишгоҳи Рокфеллер	دانشگاه راکفلر
Академияи ъулум ва ҳунарҳои синамо	آکادمی علوم و هنرهای تصاویر متحرک
Донишгоҳи Қаравййин	دانشگاه قرویین
давлатии байналмилалии Москва	دولتی بین‌المللی مسکو
баптизм	باپتیست
лютеранӣ	لوتریانیسم
масеҳияти шарқӣ	مسیحیت شرقی
котулисизм	کاتولیسیزم
масеҳияти православӣ	مسیحیت ارتدکس
протестантизм	پروتستانتیسم
Шӯрои Олии ИҶШС	شورای عالی شوروی
Тоҷикистон	تاجیکستان
Малӣ	مالی
Лаос	لائوس
Уганда	اوگاندا
Африқои Марказӣ	آفریقای مرکزی
Боливия	بولیوی
Руанда	رواندا
Эфиопия	اتیوپی
Туркманистон	ترکمنستان
Ниҷер	نیجر
Афғонистон	افغانستان
Ботсвана	بوتسوانا
Қирғизистон	قرقیزستان
Замбия	زامبیا
Узбакистон	ازبکستان
Лихтенштейн	لیختن‌اشتاین
Молдова	مولداوی
Андорра	آندورا
Косово	کوزووو
Арманистон	ارمنستان
Непал	نپال
Лесото	لسوتو
Зимбабве	زیمبابوه
Вотикон	واتیکان
Бурунди	بوروندی
Чад	چاد
Озарбойҷон	آذربایجان
Беларус	بلاروس
Қазоқистон	قزاقستان
Осетияи Ҷанубӣ	اوستیای جنوبی
Малави	مالاوی
Муғулистон	مغولستان
Парагвай	پاراگوئه
Судони Ҷанубӣ	سودان جنوبی
Буркина-Фасо	بورکینافاسو
Свазиленд	اسواتینی
Свазиленд	اسواتینی
Каркахент	کارکایکسنت
Валенсия	والنسیا
Аликанте	آلیکانته
Вазорати ИМА	وزارت ایالات متحده
Телевизиони марказии Чин	تلویزیون مرکزی چین
Мақдуния	مقدونیه
Подшоҳии Афғонистон	پادشاهی افغانستان
Қара-Қуюнлӯ	قراقویونلو
Камбоҷа	کامبوج
Лидия	لیدیه
Юнону Бохтар	یونانی باکتریا
Айюбиён	ایوبیان
Айюбиён	ایوبیان
Айюбиён	ایوبیان
Айюбиён	ایوبیان
Айюбиён	ایوبیان
Televisión	تلویزیون
Televisión	تلویزیون
Televisión	تلویزیون
Расадхонаи Улуғбек	رصدخانه الغ‌بیگ
Расадхонаи ахтаршиносии Каподимонте	رصدخانه اخترشناسی کاپودی‌مانته
Расадхонаи ахтаршиносии Каподимонте	رصدخانه اخترشناسی کاپودی‌مانته
Расадхонаи ахтаршиносии Каподимонте	رصدخانه اخترشناسی کاپودی‌مانته
Алегзандрия	الکساندریا،
Вирҷиния-Биш	ویرجینیابیچ
Имперотурии Усмонӣ	امپراتوری عثمانی
Занзибар	زنگبار
Султанати Ғуриён	سلطنت غوریه
Салтанати Деҳлӣ	سلطنت دهلی
Ҷалоириён	جلایریان
Хилофати Умавиён	خلافت اموی
Баҳманӣ	بهمنی‌ها
Бруней	برونئی
Иморати Ғарнота	امارت غرناطه
Салтанати Мамолик	سلطنت مملوک
Умон	عمان
Султонии	عادل‌شاهیان
Масқату Умон	مسقط و عمان
Калисои ортодоксии қибтӣ	کلیسای ارتدکس قبطی
Калисои ортодоксии Эфиопия	کلیسای ارتودوکس اتیوپی
Калисои сурёнӣ	کلیسای سریانی
Дудмони Сунг	دودمان سونگ
Тонг	تانگ
Бостон Ред Сокс	بوستون رد ساکس
Куриёи Шимолӣ	کره شمالی
Филиппин	فیلیپین
Баҳамас	باهاما
Давлати	داعش
Муваҳҳидун	موحدون
Хилофати Аббосиён	خلافت عباسیان
Хилофати Араб	خلافت عربی
Вишнуия	ویشنوپرستی
Вишнуия	ویشنوپرستی
Сан-Диего	سن دیه‌گو،
Аламида	آلامدا
Империал	ایمپریال
шаҳристони Сунумо	شهرستان سونوما
шаҳристони Санта-Клара	شهرستان سانتا کلارا
шаҳристони Уренҷ	شهرستان اورنج،
шаҳристони Фресну	شهرستان فرسنو
Шаҳристони Лос-Анҷелес	شهرستان لس‌آنجلس،
Риверсайд	ریورساید،
Лиссабон	لیسبون
Фуншал	فونچال
Пасадина	پاسادینا،
Палм-Спрингс	پالم اسپرینگز
Будапешт	بوداپست
Секешфеҳервор	سیکشفهروار
ҳуқуқи Колумбия	حقوق کلمبیا
Мадрасаи Кӯкалтош	مدرسه کوکلداش
Мадрасаи Бағдод	مدرسه مستنصریه
Мадрасаи Тиллокорӣ	مدرسه طلاکاری
Мадрасаи Абдулазизхон	مدرسه عبدالعزیزخان
Мадрасаи Кӯкалтош	مدرسه کوکلداش
Мадрасаи Девонбегӣ	مدرسه دیوان‌بیگی
Мадрасаи Улуғбек	مدرسه الغ‌بیگ
Мадрасаи Шердор	مدرسه شیردار
Мадрасаи Мири Араб	مدرسه میرعرب
Низомия	نظامیه
Мадрасаи	منار
Мадрасаи Салимия	مدرسه سلیمیه
Мадрасаи Салимия	مدرسه سلیمیه
Мадрасаи Салимия	مدرسه سلیمیه
Барлос	برلاس
Сафавиён	صفوی
Ансор	انصار
Лахмиён	لخمیان
Ҳунн	هون
қунғурот	قنقرات
Манғит	منغیت
Аъроби Хамси	عرب خمسه
Лҳаса	لهاسا
Нижний Новгород	نیژنی نووگورود
Брюссел	بروکسل
Любек	لوبک
Монако	موناکو
Афина	آتن
Афинаи Қадим	آتن باستان
Аомин	ماکائو
Сур	صور
Гонконг	هنگ کنگ
Вена	وین
Ҳамбург	هامبورگ
Бремен	برمن
Кремуно	کرمونا
Иттиҳоди Шӯравӣ	اتحاد شوروی
Астекҳо	آزتک
Мерсер	مرسر،
Сомерсет	سامرست،
Шиъа имомӣ	شیعه دوازده‌امامی
Юнитариан	یونیتارین
тҳеравада	تراوالدا
исмоилиён	اسماعیلیه
Ахбориён	اخباری‌گری
карматӣ	قرمطیان
Калисои ортодоксии румӣ	کلیسای ارتدکس یونانی
Багратиҳои	باگراتونی
хонадони Испаҳбудон	خاندان اسپهبد
хонадони Корин	خاندان کارن
хонадони Меҳрон	خاندان مهران
Хонадони Сурен	خاندان سورن
Хонадони Сосон	خاندان ساسان
Аргентина	آرژانتین
Иёлоти Попӣ	ایالات پاپی
Лимбург	لیمبورخ
Ҳоланди Ҷанубӣ	هلند جنوبی
Оверэйсел	افریسل
Брабант	برابانت
Утрехт	اوترخت
Шимоли	شمالی
Дренте	درنته
Гелдерланд	خلدرلاند
Зеландия	زیلاند
Бонки байналмилалӣ	بانک بین‌المللی
Сандуқи байналмилалии пул	صندوق بین‌المللی پول
Бонки ҷаҳонӣ	بانک جهانی
молӣ	مالی
Аахен	آخن
Фраибург	فرایبورگ
Ҳаннофер	هانوفر
Трир	تری‌یر
Корлсруҳе	کارلسروهه
Айзенберг	آیزنبرگ
Пайне	پاینه
Ҳомбург	همبورگ
Марбург	ماربورگ
Минден	میندن
Аугсбург	آوگسبورگ
Нойбург-ан-дер-Донау	نویبورگ آن در
Гуто	گوتا
Улм	اولم
аъзои Созмони Миллали Муттаҳид	عضو سازمان ملل متحد
Реутов	رئوتوف
Новолялинский	نوویالینسکی
Артинский	آرتینسکی
Сухоложский	سوخولوژسکی
Красноуфимский	کراسنواوفیمسکی
Пишминский	پیشمینسکی
Мурманск	مورمانسک
Ачитский	آچیتسکی
Режевской	رژفسکی
Ирбитский	ایربیتسکی
Ноҳияи Каменский	ناحیه کمینسکی
Артёмовский	آرتیوموفسکی
Псков	پسکوف
Туринский	تورینسکی
Тугулимский	توگولیمسکی
Талиский	تالیتسکی
Богдановичский	بوگدانوویچسکی
Верхотур	ورختورسکی
Верхнесалдинский	ورخنسالدینسکی
Твер	تور
Апатити	آپاتیتی
Таганрог	تاگانروگ
Донишгоҳи Лейпзиг	دانشگاه لایپزیگ
Ҷорҷия	فناوری
Британия	بریتانیا
Береа	بره‌آ
Сибуя	شیبویا،
Сингава	شیناگاوا،
Ханой	هانوی
Ҳошимин	هوشی‌مین
Ҳалифакс	هالیفاکس
и Стругацкие	و استروگاسکی
Вазорати адлияи Ҷумҳурии	وزارت دادگستری
Муқовамати Панҷшер	مقاومت پنجشیر
Муқовамати Панҷшер	مقاومت پنجشیر
Муқовамати Панҷшер	مقاومت پنجشیر
Садои	دویچه وله
Садои	دویچه وله
Радиои Озодӣ	رادیو آزاد
Китобхонаи Искандария	کتابخانه اسکندریه
Китобхонаи Бритониё	کتابخانه بریتانیا
Мир	میر
Истгоҳи байналмилалии	ایستگاه بین‌المللی
Капускейсинг	کپوسکسینگ
Оттава	اتاوا
Виндзур	ویندزور
Виндзур	ویندزور
Комптон	پرتوی گامای کامپتون
Чандра	چاندرا
Телескопи Уэбб»	تلسکوپ وب
телескопи Ҳаббл	تلسکوپ هابل
Лампсак	لامپساکوس
Искандария	اسکندریه
Сорд	سارد
Клазомен	کلازومن
Милет	ملط
Кима	سایم
Мангалия	منگلیا
Стагир	استاگیرا
Ҳоликорнос	هالیکارناس
Сиде	سیده
Пелла	پلا
Мессина	مسینا
Лорисо	لاریسا
Лорисо	لاریسا
Роскосмос	سازمان
Пикскилл,Ню-Йорк	پیکس کیل، نیویورک
Ватертаун,Ню-Йорк	واترتاون، نیویورک
Ютика,Ню-Йорк	یوتیکا، نیویورک
Шинетади,Ню-Йорк	سکنکتدی، نیویورک
Трай,Ню-Йорк	تروی، نیویورک
Ботовиёо,Ню-Йорк	باتاویا، نیویورک
Рой,Ню-Йорк	نیویورک
Йонкерс	یانکرز
Курнинг,Ню-Йорк	کورنینگ، نیویورک
Конондиагоу,Ню-Йорк	کاناندی گوا، نیویورک
Итако,Ню-Йорк	ایتاکا، نیویورک
Норвич,Ню-Йорк	نوریچ، نیویورک
Вайт Плейнс	وایت پلاینز،
Буфало,Ню-Йорк	بوفالو، نیویورک
Биакун,Ню-Йорк	بیکون، نیویورک
Динкирк,Ню-Йорк	دانکیرک، نیویورک
Куртленд,Ню-Йорк	کورتلند، نیویورک
Илмиро,Ню-Йорк	المیرا، نیویورک
Аубурн,Ню-Йорк	آبورن، نیویورک
Глин Кав,Ню-Йорк	گلن نیویورک
ЉинивоНю-Йорк	ژنوا، نیویورک
Поугкипси,Ню-Йорк	پوگکیپسی، نیویورک
Шеррил,Ню-Йорк	شریل، نیویورک
Бингњамтон,Ню-Йорк	بینگهمتون، نیویورک
Саратого Спрингз,Ню-Йорк	ساراتوگا اسپرینگز، نیویورک
Саламанко,Ню-Йорк	سالامانکا، نیویورک
Лонг Бич,Ню-Йорк	لانگ بیچ، نیویورک
Ватервлейт,Ню-Йорк	واترویت، نیویورک
Куҳус	کوهس،
Тоновиндо,Ню-Йорк	تاناوندا، نیویورک
Тоновиндо,Ню-Йорк	تاناوندا، نیویورک
Тоновиндо,Ню-Йорк	تاناوندا، نیویورک
Загреб	زاگرب
Пула	پولا
Сплит	اسپلیت
Супетар	سوپتار
Чокуветс	چاکوتس
Гуспич	گسپیچ
Дерма	درما،
Фалмус	فالموت،
Чатам	چتم،
Идинтун	ادنتون،
Смирно	اسمرنا،
Уилтон	ویلتون،
Роксберӣ	راکسبری،
Нюмаркет	نیومارکت
Ҳорикон	هوریکون،
Дюсселдорф	دوسلدورف
Дакар	داکار
Августов	اوگوستوو
Ал-Ҷазира	الجزیره
Садо ва симои Ҷумҳурии Исломӣ	صدا و سیمای جمهوری ایران
Онтверп	آنتورپ
Бандар-Сери-Бегаван	بندر سری بگاوان
Гиресун	گره‌سون
Қарабуйук	قره‌بوک
Килис	کیلیس
Тарсус	طرسوس
Чаноққалъа	چاناق‌قلعه
Усмония	عثمانیه
Кастамону	قسطمونی
Амася	آماسیه
Муш	موش
Агри	آغری
Қаромон	قرامان
Елазиғ	الازیغ
Ширнак	شرناق
