Сити-оф-Кентерберӣ	سیتی کنتربری
Юнон	یونان
Эстония	استونی
Конодо	کانادا
Мексика	مکزیک
Суис	سوئیس
Лаҳистон	لهستان
Испониё	اسپانیا
Фаронса	فرانسه
Маҷористон	مجارستان
Нидерланд	هلند
Коста Рика	کاستاریکا
Люксембург	لوکزامبورگ
Корея	کره
Бахши марказӣи шаҳристони Лангрӯд	بخش مرکزی شهرستان لنگرود
Бахши марказӣи шаҳристони анбаробод	بخش مرکزی شهرستان عنبرآباد
Бахши марказӣи шаҳристони хотам	بخش مرکزی شهرستان خاتم
Бахши марказӣи шаҳристони Лористон	بخش مرکزی شهرستان لارستان
Бахши марказӣи шаҳристони маҳмудобод	بخش مرکزی شهرستان محمودآباد
Бахши марказӣи шаҳристони Маранд	بخش مرکزی شهرستان مرند
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Обдонон	بخش مرکزی شهرستان آبدانان
Бахши марказӣи шаҳристони Менӯдашт	بخش مرکزی شهرستان مینودشت
Бахши марказӣи шаҳристони Лоҳеҷон	بخش مرکزی شهرستان لاهیجان
Бахши марказӣи шаҳристони Хуй	بخش مرکزی شهرستان خوئ
Бахши марказӣи шаҳристони Махвелат	بخش مرکزی شهرستان مه ولات
Бахши марказӣи шаҳристони Масал	بخش مرکزی شهرستان ماسال
Бахши Авромон	بخش اورامان
Бахши Бозфат	بخش بازفت
Бахши марказӣи шаҳристони Чоруймоқ	بخش مرکزی شهرستان چاراویماق
Бахши Орзӯӣ	بخش ارزوئیه
Бахши марказӣи шаҳристони Ардистон	بخش مرکزی شهرستان اردستان
Бахши марказӣи шаҳристони ҷам	بخش مرکزی شهرستان جم
Бахши Арвандканор	بخش اروندکنار
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Чолӯс	بخش مرکزی شهرستان چالوس
Бахши марказӣи шаҳристони Ибн	بخش مرکزی شهرستان اشکذر
Бахши марказӣи шаҳристони Токистон	بخش مرکزی شهرستان تاکستان
Бахши Ошор	بخش آشار
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Форсан	بخش مرکزی شهرستان فارسان
Бахши марказӣи шаҳристони Хонсор	بخش مرکزی شهرستان خوانسار
Бахши марказӣи шаҳристони Ардакан	بخش مرکزی شهرستان اردکان
Бахши марказӣи шаҳристони Равансар	بخش مرکزی شهرستان روانسر
Бахши марказӣи шаҳристони Тойбод	بخش مرکزی شهرستان تایباد
Бахши марказӣи шаҳристони Дена	بخش مرکزی شهرستان دنا
Бахши марказӣи шаҳристони Симерум	بخش مرکزی شهرستان سمیرم
Бахши марказӣи шаҳристони Гунобод	بخش مرکزی شهرستان گناباد
Бахши марказӣи шаҳристони Алегӯдарз	بخش مرکزی شهرستان الیگودرز
Бахши марказӣи шаҳристони Муборака	بخش مرکزی شهرستان مبارکه
Бахши марказии шаҳристони Язд	بخش مرکزی شهرستان یزد
Бахши марказӣи шаҳристони галугоҳ	بخش مرکزی شهرستان گلوگاه
Бахши марказӣи шаҳристони Занҷон	بخش مرکزی شهرستان زنجان
Бахши Осминун	بخش آسمینون
Бахши марказӣи шаҳристони Андемишк	بخش مرکزی شهرستان اندیمشک
Бахши марказӣи шаҳристони Қурва	بخش مرکزی شهرستان قروه
Бахши Бобулканор	بخش بابل کنار
Бахши марказӣи шаҳристони Дамованд	بخش مرکزی شهرستان دماوند
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Кхваф	بخش مرکزی شهرستان خواف
Бахши Кан	بخش کن
Бахши Оштаринон	بخش اشترینان
Бахши Ородон	بخش آرادان
Бахши марказӣи шаҳристони Пасаргадае	بخش مرکزی شهرستان پاسارگاد
Бахши марказӣи шаҳристони Дир	بخش مرکزی شهرستان دیر
Бахши Осоро	بخش آسارا
Бахши Оғоҷорӣ	بخش آغاجاری
Бахши Ашкинон	بخش اشکنان
Бахши Аршақ	بخش ارشق
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Бӯшиҳр	بخش مرکزی شهرستان بوشهر
Бахши марказӣи шаҳристони Оққало	بخش مرکزی شهرستان آق قلا
Бахши марказӣи шаҳристони Савар	بخش مرکزی شهرستان سوار
Бахши марказӣи шаҳристони Нир	بخش مرکزی شهرستان نیر
Бахши марказӣи шаҳристони Иқлед	بخش مرکزی شهرستان اقلید
Бахши марказӣи шаҳристони чолдурон	بخش مرکزی شهرستان چالدران
Бахши Аҳмадсаргӯроб	بخش احمدسرگوراب
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Хуррамбед	بخش مرکزی شهرستان خرم بید
Бахши марказӣи шаҳристони Шоҳиндиж	بخش مرکزی شهرستان شاهین دژ
Бахши марказӣи шаҳристони миҳр	بخش مرکزی شهرستان مهر
Бахши марказӣи шаҳристони Исфаройин	بخش مرکزی شهرستان اسفراین
Бахши марказӣи шаҳристони Қишм	بخش مرکزی شهرستان قشم
Бахши марказӣи шаҳристони Исломшаҳр	بخش مرکزی شهرستان اسلامشهر
Бахши марказӣи шаҳристони Линҷон	بخش مرکزی شهرستان لنجان
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони сарвобод	بخش مرکزی شهرستان سروآباد
Бахши марказӣи шаҳристони Омидиыех	بخش مرکزی شهرستان امیدیه
Бахши Андико	بخش اندیکا
Бахши марказӣи шаҳристони Санандаҷ	بخش مرکزی شهرستان سنندج
Бахши марказӣи шаҳристони буӣен заҳро	بخش مرکزی شهرستان بوئین زهرا
Бахши марказӣи шаҳристони Шоҳрӯд	بخش مرکزی شهرستان شاهرود
Бахши марказӣи шаҳристони Қазвин	بخش مرکزی شهرستان قزوین
Бахши марказӣи шаҳристони Мийбуд	بخش مرکزی شهرستان میبد
Бахши марказӣи шаҳристони Ҳиндеҷон	بخش مرکزی شهرستان هندیجان
Бахши марказӣи шаҳристони Натанз	بخش مرکزی شهرستان نطنز
Бахши марказӣи шаҳристони Исломобади	بخش مرکزی شهرستان اسلام آبادغرب
Бахши марказӣи шаҳристони Ганй	بخش مرکزی شهرستان گنج
Бахши марказӣи шаҳристони Беҷор	بخش مرکزی شهرستان بیجار
Бахши марказӣи шаҳристони Саводкӯҳ	بخش مرکزی شهرستان سوادکوه
Бахши марказӣи шаҳристони Кӯҳдашт	بخش مرکزی شهرستان کوهدشت
Бахши марказӣи шаҳристони Мокӯ	بخش مرکزی شهرستان ماکو
Бахши марказӣи шаҳристони Азадшахр	بخش مرکزی شهرستان آزادشهر
бахши Чоҳварз	بخش چاه ورز
Бахши марказӣи шаҳристони Чадеган	بخش مرکزی شهرستان چادگان
Динавар	دینور
Бахши марказӣи шаҳристони Бардсер	بخش مرکزی شهرستان بردسیر
Бахши Асир	بخش اسیر
Бахши марказӣи шаҳристони Такоб	بخش مرکزی شهرستان تکاب
Бахши марказӣи шаҳристони Рудбар	بخش مرکزی شهرستان رودبار
Бахши марказӣи шаҳристони халелобод	بخش مرکزی شهرستان خلیل آباد
Бахши марказӣи шаҳристони Хумайнишаҳр	بخش مرکزی شهرستان خمینی شهر
Бахши Борвақ	بخش باروق
Бахши марказӣи шаҳристони Маҳобод	بخش مرکزی شهرستان مهاباد
Бахши марказӣи шаҳристони Бастак	بخش مرکزی شهرستان بستک
Бахши марказӣи шаҳристони Пова	بخش مرکزی شهرستان پاوه
Бахши марказӣи шаҳристони Наҳованд	بخش مرکزی شهرستان نهاوند
Бахши марказӣи шаҳристони Кхонй	بخش مرکزی شهرستان خنج
Бахши марказӣи шаҳристони Малойир	بخش مرکزی شهرستان ملایر
Бахши марказӣи шаҳристони хош	بخش مرکزی شهرستان خاش
Бахши марказӣи шаҳристони Курдкӯй	بخش مرکزی شهرستان کردکوئ
Бахши марказӣи шаҳристони Мишгеншаҳр	بخش مرکزی شهرستان مشگین شهر
Бахши марказӣи шаҳристони меони	بخش مرکزی شهرستان میانه
Бахши марказӣи шаҳристони килебар	بخش مرکزی شهرستان کلیبر
Бахши марказӣи шаҳристони Арсанян	بخش مرکزی شهرستان ارسنجان
Бахши марказӣи шаҳристони диӣлам	بخش مرکزی شهرستان دیلم
Бахши марказӣи шаҳристони Эза	بخش مرکزی شهرستان ایذه
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Миҳрон	بخش مرکزی شهرستان مهران
Бахши марказӣи шаҳристони Ҳарсин	بخش مرکزی شهرستان هرسین
Бахши марказӣи шаҳристони Хуррамобод	بخش مرکزی شهرستان خرم آباد
Бахши марказӣи шаҳристони Қум	بخش مرکزی شهرستان قم
Бахши марказӣи шаҳристони Туркмен	بخش مرکزی شهرستان ترکمن
Бахши марказӣи шаҳристони Мароға	بخش مرکزی شهرستان مراغه
Бахши марказӣи шаҳристони Комёрон	بخش مرکزی شهرستان کامیاران
Бахши Бастом	بخش بسطام
Бахши Боянгон	بخش باینگان
Бахши марказӣи шаҳристони Зоҳидон	بخش مرکزی شهرستان زاهدان
Бахши Асфирварин	بخش اسفرورین
Бахши марказӣи шаҳристони Доруд	بخش مرکزی شهرستان دورود
Бахши марказӣи шаҳристони силсиди	بخش مرکزی شهرستان سلسله
Бахши марказӣи шаҳристони Варзаqан	بخش مرکزی شهرستان ورزقان
Бахши марказӣи шаҳристони Козирӯн	بخش مرکزی شهرستان کازرون
Бахши Бошт	بخش باشت
Бахши марказӣи шаҳристони Нико	بخش مرکزی شهرستان نکا
Бахши Айрандгон	بخش ایرندگان
Бахши марказӣи шаҳристони Карун	بخش مرکزی شهرستان کارون
Бахши марказӣи шаҳристони Истаҳбон	بخش مرکزی شهرستان استهبان
Бахши марказӣи шаҳристони Бӯкон	بخش مرکزی شهرستان بوکان
Бахши марказӣи шаҳристони бофт	بخش مرکزی شهرستان بافت
Бахши марказӣи шаҳристони Аҷабшер	بخش مرکزی شهرستان عجب شیر
Бахши марказӣи шаҳристони Моҳшаҳр	بخش مرکزی شهرستان بندرماهشهر
Бахши марказӣи шаҳристони Маликон	بخش مرکزی شهرستان ملکان
Бахши марказӣи шаҳристони Кӯҳранг	بخش مرکزی شهرستان کوهرنگ
Бахши марказӣи шаҳристони Фуман	بخش مرکزی شهرستان فومن
Бахши марказӣи шаҳристони Диҳлурон	بخش مرکزی شهرستان دهلران
Бахши марказӣи шаҳристони Туйсиркон	بخش مرکزی شهرستان تویسرکان
Бахши марказӣи шаҳристони Шаҳрикурд	بخش مرکزی شهرستان شهرکرد
Бахши марказӣи шаҳристони Гачсорон	بخش مرکزی شهرستان گچساران
Бахши Арҷон	بخش ارژن
Бахши марказӣи шаҳристони Дашт	بخش مرکزی شهرستان دشتی
Бахши марказӣ	بخش مرکزی
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Терон ва Курун	بخش مرکزی شهرستان تیران وکرون
Бахши Айзадхаваст	بخش ایزدخواست
Бахши марказӣи шаҳристони Кхалкхал	بخش مرکزی شهرستان خلخال
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Чҳобаҳор	بخش مرکزی شهرستان چابهار
Бахши марказӣи шаҳристони Бурӯҷин	بخش مرکزی شهرستان بروجن
Бахши марказӣи шаҳристони Заранд	بخش مرکزی شهرستان زرند
Бахши марказӣи шаҳристони Рафсанҷон	بخش مرکزی شهرستان رفسنجان
Бахши марказӣи шаҳристони Ҷӯйбор	بخش مرکزی شهرستان جویبار
Бахши марказӣи шаҳристони совуҷбулоқ	بخش مرکزی شهرستان ساوجبلاغ
Бахши марказӣи шаҳристони Сарпули Заҳоб	بخش مرکزی شهرستان سرپل ذهاب
Бахши марказӣи шаҳристони Бавонот	بخش مرکزی شهرستان بوانات
Бахши марказӣи шаҳристони Фарашбанд	بخش مرکزی شهرستان فراشبند
Бахши марказӣи шаҳристони Меноб	بخش مرکزی شهرستان میناب
Бахши марказӣи шаҳристони Дороб	بخش مرکزی شهرستان داراب
Бахши марказӣи шаҳристони Биҳшаҳр	بخش مرکزی شهرستان بهشهر
Бахши марказӣ	بخش مرکزی
Бахши Алват	بخش شهرستان
Бахши Айвонкӣ	بخش ایوانکی
Бахши марказӣи шаҳристони Ҳаштрӯд	بخش مرکزی شهرستان هشترود
Бахши марказӣи шаҳристони Урумия	بخش مرکزی شهرستان ارومیه
Бахши Бобаҳодурон	بخش باغ بهادران
Бахши марказӣи шаҳристони Шахр	بخش مرکزی شهرستان شهر
Бахши марказӣ	بخش مرکزی
Шаҳристони Маргоун	شهرستان مارگون
Бахши Анзоб	بخش شهرستان شبستر
бахши Шиштароз	بخش ششطراز
бахши Моҳон	بخش ماهان
Бахши Исмоилӣ	بخش اسماعیلی
Бахши марказӣ	بخش مرکزی
Бахши Ангурон	بخش انگوران
Бахши марказӣи шаҳристони Фаловарҷон	بخش مرکزی شهرستان فلاورجان
Бахши марказӣи шаҳристони Сардашт	بخش مرکزی شهرستان سردشت
Бахши Боҷгирон	بخش باجگیران
Бахши марказӣи шаҳристони Осторо	بخش مرکزی شهرستان آستارا
Бахши марказӣи шаҳристони Даштистон	بخش مرکزی شهرستان دشتستان
Бахши марказӣи шаҳристони Лали	بخش مرکزی شهرستان لالی
Бахши марказӣи шаҳристони ҳоҷӣобод	بخش مرکزی شهرستان آباد
Бахши марказӣи шаҳристони Лордеган	بخش مرکزی شهرستان لردگان
Бахши марказӣи шаҳристони фихинг	بخش مرکزی شهرستان پارسیان
Бахши марказӣи шаҳристони Хамир	بخش مرکزی شهرستان خمیر
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони ломирд	بخش مرکزی شهرستان لامرد
Бахши марказӣи шаҳристони Чинарон	بخش مرکزی شهرستان چناران
Бахши марказӣи шаҳристони Чардовал	بخش مرکزی شهرستان چرداول
Бахши марказӣи шаҳристони Резваншахр	بخش مرکزی شهرستان رضوانشهر
Бахши Аслондӯз	بخش اصلاندوز
Бахши марказӣи шаҳристони Масҷидсолаймон	بخش مرکزی شهرستان مسجدسلیمان
Бахши Обгирам	بخش آبگرم
Бахши марказӣи шаҳристони Кошмар	بخش مرکزی شهرستان کاشمر
Бахши марказӣи шаҳристони Порсобод	بخش مرکزی شهرستان پارس آباد
Бахши Амиробод	بخش امیراباد
Бахши марказӣи шаҳристони алеобод	بخش مرکزی شهرستان علی آباد
Бахши марказӣи шаҳристони Сумиасаро	بخش مرکزی شهرستان صومعه سرا
Бахши марказӣи шаҳристони Буноб	بخش مرکزی شهرستان بناب
Бахши марказӣи шаҳристони Кабудраханг	بخش مرکزی شهرستان کبودرآهنگ
Бахши марказӣи шаҳристони Рӯдсар	بخش مرکزی شهرستان رودسر
Бахши марказӣи шаҳристони Ободон	بخش مرکزی شهرستان آبادان
Бахши Боҷрез	بخش باخرز
Бахши марказӣи шаҳристони Рашткхвар	بخش مرکزی شهرستان رشتخوار
Бахши марказӣи шаҳристони Амлаш	بخش مرکزی شهرستان املش
Бахши марказӣи шаҳристони Тафт	بخش مرکزی شهرستان تفت
Бахши марказӣи шаҳристони Сиахкал	بخش مرکزی شهرستان سیاهکل
Бахши марказӣ	بخش مرکزی
Бахши марказӣи шаҳристони Саровон	بخش مرکزی شهرستان سراوان
Бахши марказӣи шаҳристони Абҳар	بخش مرکزی شهرستان ابهر
Бахши марказӣи шаҳристони Qалат	بخش مرکزی شهرستان کلات
Бахши марказӣи шаҳристони Готванд	بخش مرکزی شهرستان گتوند
Бахши марказӣи шаҳристони Серҷон	بخش مرکزی شهرستان سیرجان
Бахши марказӣи шаҳристони Албурз	بخش مرکزی شهرستان البرز
Бахши марказӣи шаҳристони Қӯчон	بخش مرکزی شهرستان قوچان
Бахши марказӣи шаҳристони Юлфа	بخش مرکزی شهرستان جلفا
