Диего Веласкес	دیه‌گو ولاسکز
Дон Реви	دان ریوی
Крис Хугтон	کریس هیوتون
Ҷейсон Робертс	جیسون رابرتز
Эдмон Абу	ادمون آبو
Пол Шэв	پل شو
Нострадамус	نوسترآداموس
Андрей Абдувалиев	آندری عبدوالیف
Холид Азм	خالد العظم
Иво	ایوو
Гамов	گاموف
Куртуа	کورتویس
Себастян Баттаглия	سباستین باتاگلیا
Рикардо	ریکاردو
Бела	بلا
Уэсли Да Силва	ویسلی دا سیلوا
Хулио Лорес	خولیو لورز
Алехандро Сабела	آلخاندرو سابه‌یا
Амбросиус Босшаерт	آمبرسیوس بوشار
Тсураюки	تسورایوکی
Да Мота Нето	دا موتا نیتو
Шорл Эдворд Гийум	شارل ادوارد گیوم
Глория Арруйо	گلوریا آرویو
Франсуа Рабле	فرانسوا رابله
Луис Мария Эчеберрия	لوئیس ماریا اچیبریا
Кайке Силва Роша	کایوکی سیلوا روخا
Мигел Понсе	میگل پونسه
Феде Вико	فد ویکو
Баҳромшоҳи	بهرام‌شاه
Содҷ	ساجه
Замора	زامورا
Карл Шуман	کارل شومن
Рамон Абеледо	رامون آبلدو
Брайан Лабон	براین لابون
Форобӣ	فارابی
Алек Болдуин	الک بالدوین
Дани Алвес	دنی آلوز
Гэлбрейт	گالبرایت
Онрике Ҳирзуг	انریکه هرتزوگ
Валдис Затлерс	والدیس زاتلرس
Франсеск Арнау	فرانسسک آرنائو
Морвин Минский	ماروین مینسکی
Фил Невилл	فیل نویل
Саймон Кинберг	سیمون کینبرگ
Августо Пиночет	آگوستو پینوشه
Хесус Мария Переда	خسوس ماریا پردا
Фредерик Дуглас	فردریک داگلاس
Абулаббоси Саффоҳ	ابوالعباس سفاح
Роберто Трашоррас	روبرتو تراسهوراس
Картер	کارتر
Спенсер Лок	اسپنسر لاک
Видал	ویدال
Леон Усмон	لیون عثمان
Александр Грэҳэм	الکساندر گراهام
Гуйнет Палтро	گوئینت پالترو
Фернандо Торрес	فرناندو تورس
Бабел	بابل
Артем Дзюба	آرتم دزوبا
Алиф Шафақ	الیف شفق
Парвин Эътисомӣ	پروین اعتصامی
Визел	ویزل
Клаудио Лопес	کلودیو لوپز
Сперинг	اسپرینگ
Иван Элгера	ایوان هلگوئرا
Марсело Каетано	مارسلو کائتانو
Майкл Мансиенн	مایکل مانسین
Кристиано Жуниор	کریستیانو جونیور
Родриго Поссебон	دیرنی فلورنسیو
Уорд	وارد
Бобурам Бҳоттороӣ	بابورام بهاتارای
Эндрос Тоунсенд	اندروس تاونسند
Бернд Айхингер	برند آیشینگر
Моуринё	مورینیو
Андерсон Бамба	آندرسون بامبا
Анаксагор	آناکساگوراس
Вячеслав Веденин	ویاچسلاف ودنین
Дус Сантос Жуниор	دوس سانتوس جونیور
Шопури	شاپور
Хусрав	خسرو
Тонйито	توانیتو
Фарид Закариё	فرید زکریا
Домингес	دومینگز
Денни Роус	دنی رز
Стивен Содерберг	استیون سودربرگ
Дуарте Мансур Да Силва	دوراتی منصور دا سیلوا
Эдуардо Салвио	ادواردو سالویو
Пол Адам	پل آدام
Хесус Эрреро	خوس هررو
Манижа Давлатова	منیژه دولت
Молина	مولینا
Афлотун	افلاطون
Берлиоз	برلیوز
Полк	پولک
Бермудес	برمودز
Франсисмар Кариока Де Оливейра	فرانسیسمار کاریوکا دی اولیویرا
Смит	اسمیت
Тирдоди	تیرداد
Ривалдо	ریوالدو
Да Роза	دا روسا
Колин Белл	کالین بل
Брено Нелло	برنو ملو
Висконти	ویسکونتی
Агустин Арана	آگوستین آرانا
Мерйл Стрийп	مریل استریپ
Муҳаммад	محمد
Клод Дебюсси	کلود دبوسی
Том Клеверли	تام کلورلی
Густав Видеман	گوستاو ویدمان
Благонравов	بلاگنراوف
Кинан	کینن
Петен	پتن
Гавилан	گاویلان
Барбуй	باربوی
Фернонду Ҳенрике Кордусу	فرناندو هنریکه کاردوسو
Майте Перронӣ	مایته پرونی
Атал Биҳари Ваҷпоӣ	آتال بیهاری واجپایی
Оностосиюси	آناستاسیوس
Даниэл Пассарела	دانیل پاسارلا
Лила Даунс	لیلا داونز
Людвиг Бюхнер	لودویگ بوشنر
Милтун	میلتون
Сапфо	سافو
Муҳаммад Аҳмади Дақиқӣ	دقیقی
Шопӯри Шаҳбозӣ	شاپور شهبازی
Архимед	ارشمیدس
Анри	آنری
Мария Лима Насименто	ماریا لیما ناسیمنتو
Маркос Рохо	مارکوس روخو
Виктор Феррейра	ویکتور فریرا
Клаудио Канигхия	کلودیو کانیگیا
Венисон	ونیسون
Вагнер Лав	واگنر لاو
Райт	رایت
Дилмо Русеф	دیلما روسف
Родригес	رودریگز
Адолф Байер	آدولف بایر
Буш	بوش
Шарл Бодлер	شارل بودلر
Андрей Тарковский	آندری تارکوفسکی
Индира Гандӣ	ایندیرا گاندی
Абулқосим Лоҳутӣ	ابوالقاسم لاهوتی
Шави	ژاوی
Малола Юсафзай	ملاله یوسف‌زی
Коперник	کوپرنیک
Нарендра Модӣ	نریندر مودی
Абунувос	ابونواس
Салмонхон	سلمان خان
Мифуне	میفونه
Мартин Чиверс	مارتین چیورس
Игор Чугаинов	ایگور چوگاینوف
Мигел Нието	میگل نیتو
Гюстав Эйфел	گوستاو ایفل
Кристиан Шёнбейн	کریستیان شونبین
Эдуард Бернштейн	ادوآرد برنشتاین
Анаксимен	آناکسیمنس
Артур Хенфри	آرتور هنفری
Гарсия	گارسیا
Адриан Лопес	آدرین لوپز
Алии Шариатӣ	علی شریعتی
Абдуллоҳ Салол	عبدالله السلال
Жак Ширак	ژاک شیراک
Луи Арагон	لویی آراگون
Батиста	باتیستا
Владимир Резун	ویکتور سوووروف
Виллард Гиббс	ویلارد گیبس
Эдно	ادنو
Энрике Иглесиас	انریکه ایگلسیاس
Макс Борн	ماکس برن
Алан Фоггон	آلن فوگان
Штайнмайер	اشتاین‌مایر
Лудуиг Ерҳард	لودویگ ارهارد
Ҳебе Камаргу	هبه کامارگو
Лондон	لندن
Булк	بولک
Наввоф Аҳмад Ҷобири Сабоҳ	نواف احمد جابر الصباح
Ромнӣ	رامنی
Кристиан Баттокчио	کریستین باتوکیو
Тайлер	تایلر
Оскар Скалфару	اسکار اسکالفارو
Алехандро Домингес	آلخاندرو دومینگز
Виктор Унамуно	ویکتور اونامونو
Нестор Камачо	نستور کاماچو
Роману Продӣ	رومانو پرودی
Тайиб Ардуғон	طیب اردوغان
Даниэл Дефо	دانیل دفو
Корл Вейерштрос	کارل وایرشتراس
Траян Бэсеску	ترایان باسسکو
Аруна Иранӣ	آریونا ایرانی
Пётри	پتر
Айс Кюб	آیس کیوب
Стив Яблонски	استیو جابلونسکی
Тақи	تقی
Панисо	پانیزو
Аподи	آپودی
Сантилана	سانتیانا
Эҳуд Олмерт	ایهود اولمرت
Валтер Гропиус	والتر گروپیوس
Паул	پال
Готтфрид Галле	گاتفیرد گاله
Бенавенте-и-Мартинес	بناونته
Брюс Ли	بروس لی
Роберто Фернандес	روبرتو فرناندز
Висенте Гуайта	ویسنته گوآیتا
Орсон Уелс	اورسن ولز
Ҳерман Ҳессе	هرمان هسه
Эвер Банега	اور بانگا
Оту Перез Мулино	اتو پرز مولینا
Моррисон	موریسون
Бергара	برگارا
Гилберт	گیلبرت
Йинглак Шинаватра	ینگلاک شیناواترا
Чеаушеску	چائوشسکو
Франклин	فرانکلین
Россум	رسوم
Да Коста Ненезес	دا کوستا مندز
Гамбоа	گامبوآ
Эдуард Мовсесян	ادوارد موسسیان
Айюб Хон	ایوب خان
Раймон Пуанкаре	ریمون پوانکاره
Фоулер	فاولر
Мӯҳсин Махмалбоф	محسن مخملباف
Зулфиқор Али Бутто	ذوالفقار علی بوتو
Эдвард Кеннедӣ	ادوارد کندی
Демокрит	دموکریت
Антон ван Левенгук	آنتونی فان لیوونهوک
Алексндре Финасси	آلکساندر فینازی
Майк Филлери	مایک فیلری
Соналӣ Бендре	سونالی بندره
Де Соуза	دی‌سوزا
Том МакГрас	تام مک‌گرات
Эрнан Гавирия	ارنان گاویریا
Тэрри	تری
Рашид Сафар	رشید صفر
Лейдер Прекядо	له آیدو پرسیادو
Бессел	بسل
Густав фон Грюнебаум	گوستاو وان گرونبائوم
Де Силва Нето	دی سیلوا نیتو
Лоренте	یورنته
Гавилан	گویلان
Ҳриҳорий Носко	هریهواری نوسکو
Дуглас	داگلاس
Ҳерони Искандарӣ	هرون اسکندرانی
Лопетеги	لوپتگی
Луқо	لوقا
Сарандон	ساراندون
Вилсон	ویلسن
Рафаэл Алкорта	رافائل آلکورتا
Фокс	فاکس
Ромун Хузе Велоскуез	رامون خوزه ولاسکوئز
Мэтти Ҷеймс	متی جیمز
Мануэл Португалия	مانوئل اول
Франсес Макдормэнд	فرانسیس مک‌دورمند
Ҳиларй Суанк	هیلاری سوانک
Эдмунд Ҳуссерл	ادموند هوسرل
Эшли Уествуд	اشلی وستوود
Натаниел Ҳоторн	ناتانیل هاثورن
Пйер Бомарше	پیر بومارشه
Карл Лагерфелд	کارل لاگرفلد
Алӣ Ҳатамӣ	علی حاتمی
Муҳаммад Наҷиб	محمد نجیب
Асин	آسین
Марсден	مارسدن
Андер Мурило	اندر موریلو
Хуан Эваристо	خوان اواریستو
Ҳайдар Алиев	حیدر علی‌اف
Карлос Гомес	کارلوس گومس
Дмитро Топчийев	دمیترو توتچیف
Непер	نپر
Голдони	گولدونی
Ҳуснӣ Заим	حسنی الزعیم
Шокли	شاکلی
Алберс	آلبرس
Иля Николаевич	ایلیا نیکالایویچ
Де Хесус	دی جسوس
Вячеслав Малафеев	ویاچسلاو مالافیف
Варгас	وارگاس
Дин Томас	دین توماس
Делфи Хели	دلفی گلی
Алберто Ача	آلبرتو آچا
Мартин Палермо	مارتین پالرمو
Моуринйо	مورینیو
Фаҳим	فهیم
Карл Дейвид Андерсон	کارل دیوید آندرسون
Михаил Ботвйник	میخائیل باتوینیک
Восиқ	واثق
Кирон Дайер	کیرون دایر
Абдулбосит	عبدالباسط
Гералдине Паге	جرالدین پیج
Сент-Ҷон	سنت جان
Такэути	تاکوچی
Дуглас	داگلاس
Иван Александрович Гончаров	ایوان آلکساندروویچ گانچاروف
Роберт Да Силва Алнейда	روبرت دا سیلوا آلمیدا
Пэкуин	پاکوین
Модест Мусоргский	مودست موسورگسکی
Михаил Петрович	میخائیل لازارف
Ҷермейн Дефи	جرمین دفو
Ҳенрӣ Темпел	هنری تمپل
Леонардо Манси	لئوناردو مانزی
Бов	باو
Тониню Кесилио	تونینیو سیسییلو
Ли Каттермол	لی کاترمول
Вагнер	واگنر
Пол Наим	پل برگ
Гари Стенли	گری بکر
Бебето	ببتو
Дока Мадурейра	دوکا مادوریرا
Мадл	مادل
Виланова	ویلانوا
Дони	دونی
Кҳер	کهیر
Аҳмад	احمد
Вигнер	ویگنر
Бобби Кэмпбелл	بابی کمپل
Родриго	رودری
Лукас Алкарас	لوکاس آلکاراس
Родвелл	رادول
бин Алӣ	بن علی
Бент	بنت
Маркус Роша	مارکوس روخا
Аллен	آلن
Андреас Везалий	آندرئاس وزالیوس
Ивани	ایوان
Кол	کول
Мигел Торрес Гомес	میگوئل تورس گومز
Тошики Кайфу	توشیکی کایفو
Пауло Серхио	پائولو سرجیو
Важа Пшавела	واژا پشاولا
Оқомуҳаммадхони Қоҷор	آقامحمدخان قاجار
Дэвид Ик	دیوید ایکه
Гориа	گوریا
Силва	سیلوا
Владимир Соловёв	ولادیمیر سولویوف
Кинскý	کیسکی
Чарли Клоузер	چارلی کلاوسر
Ҳусайни Бойқаро	حسین بایقرا
Лоривал Ассис	لوریوال آسیس
Алонсо	آلونسو
Соуза	سوزا
Каннинг	کنینگ
Инфантино	اینفانیتو
Едвард Ҳет	ادوارد هیس
Силвия Плат	سیلویا پلات
Паола	پائولا
Притӣ Зинта	پریتی زینتا
Томас Гейнсборо	توماس گینزبارو
Велфар	ولفر
Деҳлавӣ	دهلوی
Редкнапп	ردنپ
Мадҳурӣ Дикшит	مدوری دیکشیت
Коке	کوکه
Рафиқ Ҳарирӣ	رفیق حریری
Тоқаев	توقایف
Нона Терентевна	نونا گاپرینداشویلی
Софи Тёрнер	سوفی ترنر
Зигмунт Флоренти	زیگمونت وروبلوسکی
Баҳроми	بهرام
Яндарбиев	یندربایف
Абдулғанӣ Бародар	عبدالغنی برادر
Абулай хан	آبیلای‌خان
Мартин Силва	مارتین سیلوا
Игор Акинфеев	ایگور آکینفیف
Зиню	پوسیبون
Вавилов	واویلف
Эдиню	ادینو
Ники Фитерстон	نیکی فیدراستون
Карано	کارانو
Фавзия	فوزیه
Анкер	آنکر
Ҳино Кҳар	حنا کهر
Велингтон Ногейра Лопес	ولینگتون نوگریا لوپز
Андреу Фонтас	آندرو فونتاس
Онрике Пералто Азордио	انریکه پرالتا آزوردیا
Корлус Анрике де Леон	کارلوس انریکه دی لئون
Павел Погребняк	پاول پوگربنیاک
Дунга	دونگا
Али Нақи	علی نقی
Пекерман	پکرمن
Оливер Уендел Ҳолмс,	الیور وندل هلمز
Хеопс	خوفو
Исроил Лопес	اسرائیل لوپس
Нерй Кастило	نری کاستیو
Маркел Сусаэта	مارکل سوساتا
Нат Лофтхаус	نت لوفتهوس
Гевара	گوارا
Ибни Ҳавқал	ابن حوقل
Адриан Алстон	آدریان آلستون
Гулдзиҳер	گلدزیهر
Роже Гиймен	روژه گیمن
Озаргушнаспбад	آذرگشنسپ‌بد
Дэвид Доусон	دیوید دوسون
Дункан Эдвардс	دانکن ادواردز
Ато Айюбӣ	عطاء الایوبی
Гастон Думерг	گاستون دومرگ
Райан Бертранд	رایان برتراند
Хавйер Балбоа	خاویر بالبائو
Родриго Тело	رودریگو تلو
Бидл,	بیدل
Сантяго Канйисарес	سانتیاگو کانیایزارس
Ариэл Ибагаза	آریل ایباخاسا
Сэм Ҷонстон	سام جانستون
Ибни Руста	ابن رسته
Том Чорлтон	تام چارلتون
Ҷонас Гонсалвес Оливейра	واسکونسلوس فریرا
Аҳмади Санҷар	احمد سنجر
Ҳамид Алидӯстӣ	حمید علیدوستی
Бархуан	بارخوان
Роберто Ботелю	روبرتو بوتیلیو
Эван Ҷогиа	اون جوگیا
Нарсӣ	نرسی
Баҳодур Шастрӣ	بهادر شاستری
Владимир Бесчастних	ولادیمیر بسچاستنیخ
Ибни Хурдодбеҳ	ابن خردادبه
Баринага	باریناگا
Фернандо Редондо	فرناندو ردوندو
Дутра	دوترا
Карвалю Лейте	کاروالیو لیت
Ориол Ромеу	اوریول رومئو
Корлус Андрес Перез	کارلوس آندرس پرز
Абулвафои Бузҷонӣ	ابوالوفا بوزجانی
Нӯшзод	نوشزاد
Хорхе Ортис	خورخه اورتیز
Джалма Сантос	دیژالما سانتوس
Наполеон Ҳилл	ناپلئون هیل
Майк Эппс	مایک اپس
Фредерик Робинсон	فردریک رابینسون
Велбек	ولبک
Денис Каниса	دنیس کانیزا
Габри Гарсия	گابری گارسیا
Фрэнк Блунстон	فرانک بلونستون
Раул Фернандес	رائول فرناندز
Сантамария	سانتاماریا
Алансиню	آلانزینیو
Владимир Федотов	ولادیمیر فدوتوف
Зубиета	زوبیتا
Чағатой Ӯлусой	چاتای اولوسوی
Стив Сидвелл	استیو سیدول
Хесус Тато	خسوس تاتو
Абдуллоҳ ибни Масъуд	عبدالله بن مسعود
Йепес	یپس
Клементе Родригес	کلمنته رودریگز
Каэтану Велозу	کائتانو ولوزو
Александр Даргомижский	الکساندر دارگومیژسکی
Валентин Козмич Иванов	والنتین کوزمیچ ایوانوف
Сергей Иванович Вавилов	سرگئی ایوانویچ واویلف
Фернандес	فرناندس
Амин Ҷумаййил	امین جمیل
Дейоку	دیاکو
Вивар Дорадо	ویور درادو
Кристобал Маркес	کریستوبال مارکز
Гари Стивенс	گری استیونز
Бакстэр	بکستر
Карлос Армас	کارلوس آرماس
Рафаэл Ботти	رافائل بوتی
ал-Мақдисӣ	مقدسی
Хосеба Эчеберрия	خوسبا اتکسبریا
Келли Асбёри	کلی اشبری
Алберт Феррер	آلبرت فرر
Смит	اسمیت
Абраҳам Пас	ابراهام پاز
Хавйер Портило	خاویر پورتیلو
Адриано Пинента	آدریانو پیمنتا
Дербайшир	دربی‌شر
Даниэл Фонсека	دنیل فونسکا
Сэм Кован	سم کووان
Озейа Де Паула Масиел	اوزیا دی پائولا ماسیل
Донис Эскобер	دونیس اسکوبر
Рики	ریکی
Андрей Гречко	آندری گرچکو
Тоҳо Ҳусайн	طه حسین
Саломон Рондон	سالومون راندون
Валденир Да Силва Виталино	والدنیر دا سیلوا ویتالینو
Сэм Уолтон	سام والتون
Степан Ҳаусер	استپان هاوزر
Монӣ Ҳақиқӣ	مانی حقیقی
Эктор Кампора	هکتور کامپورا
Вогтон	واوتن
Себастян Лето	سباستین لتو
Робинсон	رابینسون
Фёдор Бондарчук	فئودور بوندارچوک
Мигел Миранда	میگل میراندا
Шрутӣ Ҳасан	شرتی حسن
Тайрон Мерс	تایرن میرس
Рома Форнс	روما فورن
Шорл Ҳелу	شارل حلو
Бонд	باند
Соҳа Алихон	سوها علی خان
Балтазар Мария Де Мораис Жуниор	بالتازار ماریا دی مورایس جونیور
Мур	مور
Дуглас Паккер	داگلاس پاکر
Абдуллоҳ ибни Аббос	عبدالله بن عباس
Кэдл Прайс	کدل پرایس
Хавйер Пасторе	خاویر پاستوره
Қоим	قائم
Cержиню	سرجیو
Карлос Септиен	کارلوس سپتین
Фигуэро	فیگوروا
Виктор Руис	ویکتور روئیز
Ҳерберт Килпин	هربرت کیلپین
Андрес Силвера	آندرس سیلورا
Эктор Ясалде	هکتور یازالده
Янис Чаксте	یانیس چاکسته
Анибал Тарабини	آنیبال تارابینی
ибни	افشین
Алипио	آلیپیو
Фрэнк Бункер Гилбрет	فرانک بانکر گیلبرث
Паредес	پاردس
Вaлдeт Рaмa	والدت راما
Эдмундо	دیاگو
Варела	وارلا
Абреу Де Лима	آبرئو دی لیما
Оливейра	اولیویرا
Вашингтон	واشنگتون
Владимир Бистров	ولادیمیر بیستروف
Миқотӣ	میقاتی
Эдмунд Маски	ادموند موسکی
Қолибоф	قالیباف
Тирдоди	تیرداد
Абдулҳамиди Котиб	عبدالحمید کاتب
Байрамхон	بیرام خان‌خانان
Алан Девоншир	آلن دوونشایر
Дэн Фавкус	دن فوکوس
Хуан Карлос Стаускас	خوان کارلوس استاوسکاس
Дос Сантос	داس سانتوس
Фалке	فالک
Арташеси	آرتاشس
Алан Кернаган	آلن کرنگن
Антонио Нотарио	انتونیو نوتارو
Владимир Войнович	ولادیمیر واینوویچ
Лука Модрич	لوکا مودریچ
Алиакбар Деҳхудо	علی‌اکبر دهخدا
Симон Менсинг	سیمون منسینگ
Нобби Стилс	نوبی استایلز
Крис Ваддл	کریس وادل
Сенсини	سنسینی
Элиас Триндаде	الیاس ترینداد
Карлос Арсе	کارلوس آرکی
Майкл Паркс	مایکل پارکس
Рабан	رابان
Адан	آدان
Ортигоса	اورتیگوزا
Билол ибни	بلال حبشی
Карпентер	کارپنتر
Нейсер Реаско	نیه آیسر ریاسکو
Тена	تنا
Хуан Рамон Карраско	خوان رامون کاراسکو
Яҳмир Ҳюкa	یاهمیر هیکا
Чарли Бучан	چارلی باکن
Лузардо	لوزاردو
Томирис	تهم‌رییش
Конка	کونکا
Булбул	بولبول
Дмитри Попов	دمیتری پوپوف
Хосе Фигуэро	خوسه فیگروا
Ҷозеф Бэлл	جوزف بل
Франсиско Рохас	فرانسیسکو روهاس
Гаспар Перес	گاسپار پرز
Фабиано Эллер	فرناندو لوکاس مارتینز
Карлос Рейносо	کارلوس رینوسو
Кинкосес	کوینکوکس
Андрес Форменто	آندرس فورمنتو
Васкес	واسکس
Шрофф	شروف
Кампос	کامپوس
Нилсен	نیلسن
Эду Дракена	ادو دارسینا
Адриан Фернандес	آدریان فرناندز
Апаресидо Да Силва	آپارسیدو دا سیلوا
Энди Тоунсенд	اندی تاونسند
Мирёни	میریان
Хесус Унануа	خسوس اونانووا
Мигел Идигурос Фуэнтес	میگل یدیگوراس فوئنتس
Хуан Албин	خوآن آلبین
Нг Сюан	نگ سی-یوئن
Куэлю	کوئلیو
Хуан Масник	خوان ماسنیک
Норман Хантер	نورمن هانتر
Шеридан	شریدن
Луис Регейро	لویس رگویرو
Вардй Алфаро	واردی آلفو
Родригес Мартинес	رودریگز مارتینز
Ронни	رونی
Раҳмон Набиев	رحمان نبی‌اف
Мигел Амадо	میگل آمادو
Умар Пасториза	عمر پاستوریزا
Наведа	ناودا
Луис Карлос Куартеро	لوئیس کارلوس کوارترو
Масъуди Саъди Салмон	مسعود سعد سلمان
Диего Камачо	دیگو کاماش
Марселино Мартинес	مارسلینو مارتینز
Ли Бромби	لی برومبی
Марлон Айови	مارلون آیووی
Херардо Пелуссо	خراردو پلسو
Дмитри Черишев	دمیتری چریشف
Даниэл Ислас	دنیل آیلاس
Ники Бейли	نیکی بیلی
Карлос Касселй	کارلوس کازلی
Марковскй	مارکویسکی
Иво Басай	ایوو باسای
Эдгар Да Силва	ادگار دا سیلوا
Андер Аланя	اندر الانیا
Биэлер	بیلر
Хуан Карлос Агилера	خوان کارلوس آگیلرا
Роберто Фирнино	روبرتو فیرمینو
Антонио Пинила	آنتونیو پینیا
Хорен Оганесиан	خورن اوگانسیان
Александр Пуштов	الکساندر پوشتوف
Тараскони	تراسکونی
Филип Макадо	فیلیپه ماچادو
Саралеги	سارالگی
Хавйер Дел Пино	خاویر دل پینو
Эдуардо Асеведо	ادواردو اسودو
Фил Паркинсон	فیل پارکینسون
Лейтон	لیتون
Мугерса	موگورزا
Родриго Баррера	رودریگو باررا
Леандро Макадо	لیناردو ماچادو
Мойа	مویا
Самюэл	ساموئل
Миранда	میراندا
Питер Симпсон	پیتر سیمپسون
Вашингтон	واشنگتن
Вагнер	واگنر
Ричард Никсон	ریچارد نیکسون
Гевин Махон	گاوین ماهون
Эктор Вердес	هکتور وردس
Денис Маркес	دنیس مارکز
Рафаэл Дус Сантос	رافائل دوس سانتوس
Хуанми	خوانمی
Маҷдуддавла	مجدالدوله
Майкл Кипинг	مایکل کیپینگ
Мурхаус	مورهاوس
Георгий Бабакин	گئورگی باباخین
Да Силва	دا سیلوا
Брэдли Орр	بردلی اور
Эдвин Тенорио	ادوین تنوریو
Оскар	اسکار
Сергей Шойгу	سرگئی شویگو
Энди Кинг	اندی کینگ
Оскар Вирт	اسکار ویرت
Энди Синтон	اندی سینتون
Дмитри Харине	دمیتری خارین
Хавйер Кампора	خاویر کامپورا
Да Коста Жуниор	دا کوستا جونیور
Вонг	ونگ
Даниэл	دانیل
Мартин Астудило	مارتین استودیلو
Андерсон	اندرسون
Мартинес	مارتینس
Натан Эллингтон	نیتن الینگتون
Карлос Ибанйес	کارلوس ایبانیس
Мануэл Фернандес Мунйис	مانوئل فرناندز مونیز
Эктор Эчеверри	اکتور اچوری
Кларк	کلارک
Гиулиано Де Паула	جولیانو دی پائولا
Марк Бернаус	مارک برنوس
Ҳамодӣ Ҷаболӣ	حمادی جبالی
Марина	مارینا
Брайан Кидд	برایان کید
Фуэнтес	فوئنتس
Аҳмад ибни Асад	احمد بن اسد
Хурхе Серону	خورخه سرانو
Баутиста	بوتیستا
Уолтер	والتر
Унай Эспосито	اونای اکوسیتو
Рон Гринвуд	ران گیرین‌وود
Арукку	اروکو
Бетан	بیتائو
Марсело Гэдес Филю	مارسلو گوئدس فیلیو
Гандӣ	گاندی
Алексис	الکسیس
Анатоли Порхунов	آناتولی پورخونوف
Тибор Нйиласи	تیبور نیلاسی
Ҳироюки Санада	هیرویوکی سانادا
Арсен Оганесян	آرسن اوهانسیان
Эдвардс	ادواردس
Да Гиа	دا گویا
Алехандро Алонсо	آلخاندرو آلونسو
Фабио Жуниор	فابیو جونیور
Хавйер Валехо	خاویر والخو
Варела	وارلا
Нандита Дас	ناندیتا داس
Дэвид Баррал	دیوید بارال
Вейл	ویل
Мирзо	میرزا
Эрни Адамс	ارنی آدامز
Де Лима Кампус Мария	دی لیما کامپوس ماریا
Хавито	یاویتو
Хави Герреро	خاوی گوئررو
Эктор Нунйес	هکتور نونز
Хави Фуэго	خاوی فوگو
Брайан Ти	برایان تی
Мейсон	میسون
Майкл Догерти	مایکل دووگرتی
Сесма	سسما
Перейра	پریرا
Руди Вaтa	رودی واتا
Пойриер	پویریر
Шеарер	شیرر
Ҳунтер	هانتر
Дарлей Рамон Торрес	دارلی رامون تورس
Хорхе Касерес	خورخه کاسرس
Боҳӣ Адғам	باهی ادغم
Фаридуни Муширӣ	فریدون مشیری
Роман Шишкин	رومن شیشکین
Хесус Мария Замора	خسوس ماریا زامورا
Маркус Динис	مارکوس دینیز
Кевин Битти	کوین بیتی
Педро Фуэнсалида	پدرو فوئنزالیدا
Cкумакер	اشماچر
Денис Попов	دنیس پوپف
Антонио Залдуа	آنتونیو سالدوا
Берт Муррай	برت مورای
Ориёбигна	آریابیگنه
Билл Ҷонс	بیل جونز
Байлон	بایلون
Ғиждувонӣ	غجدوانی
Хусто Руис	خوزتو رویز
Сантос	سانتوس
Арментерос	آرمنتروس
Алберту Нотуш	آلبرتو ناتوش
