аамм	اعم
адабиётшиносӣ	ادبيات شناسي
адабинавис	ادب ي نويس
адабистон	ادبستان
адабӣ	ادبي
адабомӯз	ادب آموز
адабомӯзӣ	ادب آموزي
адабпарвар	ادب پرور
адабпарварда	ادب پرورده
адабпеша	ادب پيشه
адабсанҷ	ادب سنج
адабсарой	ادب سراي
адабхона	ادب خانه
адабчӯб	ادب چوب
адавот	ادوات
адад	عدد
ададан	عدداً
ададӣ	عددي
ададнависӣ	عددنويسي
адажио	ادژيا
адам	عدم
адас	عدس
адасӣ	عدسي
адасшакл	عدس شکل
адвиёт	ادويات
адвия	ادويه
адвияҷот	ادويجات
адвокат	ادواکت
адвокатӣ	ادواکتي
адвор	ادوار
аддоӣ	اداي
адён	اديان
адиб	اديب
адибона	اديبانه
адил	عديل
адим	عديم
адир	ادير
адкан	ادکن
адл	عدل
адлварз	عدل ورز
адлварзӣ	عدل ورزي
адлгустар	عدل گستر
адлгустарӣ	عدل گستري
адлия	عدليه
адлиявӣ	عدليوي
адлӣ	عدلي
адлкирдор	عدل کردار
адлкирдорӣ	عدل کرداري
адлпарвар	عدل پرور
адлпарварӣ	عدل پروري
адлсигол	عدل سگال
адлфармой	عدل فرماي
адлҷӯй	عدل جوي
адлҷӯӣ	عدل جوئي
адмирал	ادميرل
адмиралӣ	ادميرلي
адн	عدن
адно	ادني
адо	ادا
адоват	عداوت
адоватнок	عداوت ناک
адоватхоҳ	عداوت خواه
адоватҷӯй	عداوت جوي
адолат	عدالت
адолатгоҳ	عدالت گاه
адолатгустар	عدالت گستر
адолатгустарӣ	عدالت گستري
адолатдӯст	عدالت دوست
адолатманд	عدالت مند
адолатнок	عدالت ناک
адолатпарвар	عدالت پرور
адолатпарварӣ	عدالت پروري
адолатпарварона	عدالت پرورانه
адолатпеша	عدالت پيشه
адолатхона	عدالت خانه
адолатхоҳ	عدالت خواه
адолатхоҳӣ	عدالت خواهي
адолатхоҳона	عدالت خواهانه
адонашаванда	ادانشونده
адоомез	اداآميز
адот	ادات
адофаҳм	ادافهم
адофаҳмӣ	ادافهمي
адрас	ادرس
адрасбоф	ادرس باف
адрасбофӣ	ادرس بافي
адрасмон	ادرسمان
адраспӯш	ادرس پوش
адрес	ادريس
адӯ	عدو
адӯбанд	عدوبند
адӯсӯз	عدوسوز
адӯшикан	عدوشکن
адҳам	ادهم
адъия	ادعيه
адютант	اديوتنت
аё	ايا
аёдат	عيادت
аёл	عيال
аёлат	عيالت
аёлдор	عيال دار
аёлманд	عيالمند
аёлмандӣ	عيالمندي
аён	عيان
аёнан	عياناً
аёният	عيانيت
аёнӣ	عياني
аёнтар	عيانتر
иёр	عيار
аёр	ايار
аёра	اياره
аёриҷ	اياريج
аёс	اياس
ажғал	اژغل
аждар	اژدر
аждаргун	اژدرگون
аждарниҳод	اژدرنهاد
аждарҳо	اژدرها
аждаҳо	اژدها
аждаҳобора	اژدهاباره
аждаҳоваш	اژدهاوش
аждаҳодӯш	اژدهادوش
аждаҳок	اژدهاک
аждаҳокеш	اژدهاکيش
аждаҳомонанд	اژدهامانند
аждаҳонафс	اژدهانفس
аждаҳопайкар	اژدهاپيکر
аждаҳосар	اژدهاسر
аждаҳофаш	اژدهافش
аждаҳохӯй	اژدهاخوي
аждаҳошаванда	اژدهاشونده
аждаҳошикор	اژدهاشکار
аждаҳошикорӣ	اژدهاشکاري
ажриқичашм	اژرقي چشم
ажриқӣ	اژرقي
аз	از
азал	ازل
азала	عضله
азалӣ	ازلي
азамат	عظمت
азб	عذب
азбас	ازبس
азбаски	ازبسکه
азбгӯй	عذب گوي
азвоқ	اذواق
азвоҷ	ازواج
аздастдиҳӣ	ازدست دهي
аздигарсозӣ	ازديگرسازي
аздод	اضداد
аздусар	ازدوسر
азерок	ازيراک
аззаваҷалл	عظه وجل
азиз	عزيز
азизулвуҷуд	عزيزالوجود
азим	عظيم
азимат	عظيمت
азиматгар	عزيمتگر
азимӣ	عظيمي
азимут	ازيمت
азимушшаън	عظيم الشأن
азият	اذيت
азиятдида	اذيت ديده
азиятдиҳанда	اذيت دهنده
азиятдиҳӣ	اذيت دهي
азияткаш	اذيت کش
азиятовар	اذيت آور
азкиёъ	ازکياء
азкор	اذکار
азкорафтода	ازکارافتاده
азкорафтодагӣ	ازکارافتادگي
азл	عزل
азламуззолимин	اظلم الظالمين
азм	عزم
азмина	ازمنه
азнавсозӣ	ازنوسازي
азназаргузаронӣ	ازنظرگذراني
азноб	اذناب
азо	عزا
азоб	عذاب
азобдида	عذاب ديده
азобдиҳанда	عذاب دهنده
азобдиҳӣ	عذاب دهي
азобкада	عذاب کده
азобкашида	عذاب کشيده
азобкашӣ	عذاب کشي
азобнок	عذاب ناک
азобовар	عذاب آور
азогирӣ	عزاگيري
азодор	عزادار
азодорӣ	عزاداري
азозил	عزازيل
азоимхон	عزائم خوان
азоимхонӣ	عزائم خواني
азон	اذان
азонгӯй	اذان گوي
азонгӯӣ	اذان گوئي
азонихудӣ	ازآن خودي
азот	ازات
азотӣ	ازاتي
азохон	عزاخوان
азохона	عزاخانه
азохонӣ	عزاخواني
азпоафтода	ازپاافتاده
азпомонда	ازپامانده
азрақ	ازرق
азрақӣ	ازرقي
азрақлибос	ازرق لباس
азрақпӯш	ازرق پوش
азрақфом	ازرق فام
азрақчашм	ازرق چشم
азро	عذرا
азроил	عزرائيل
азрор	اضرار
азуд	عضد
азул	عذول
азфар	اذفر
азхудкунӣ	ازخودکني
азхудрафта	ازخودرفته
азҳар	ازهر
азҳо	اضحي
аизза	اعزه
аил	اييل
аимма	ائمه
ай	اي
айб	عيب
айба	عيبه
айббин	عيب بين
айбгир	عيبگير
айбгирӣ	عيبگيري
айбгузорӣ	عيب گذاري
айбгӯй	عيب گوي
айбгӯӣ	عيب گوئي
айбдон	عيب دان
айбдор	عيب دار
айбдорӣ	عيب داري
айбдоркунанда	عيبدارکننده
айбдоркунӣ	عيبدارکني
айбдоршаванда	عيبدارشونده
айбдоршуда	عيبدارشده
айбмонӣ	عيب ماني
айбнок	عيبناک
айбнокӣ	عيبناکي
айбнома	عيب نامه
айбпӯш	عيب پوش
айбпӯшӣ	عيب پوشي
айбҷӯй	عيب جوي
айбҷӯӣ	عيب جويي
айбшумор	عيب شمار
айвон	ايوان
айвондор	ايواندار
айвонча	ايوانچه
айғир	ايغير
айғоқ	ايغاق
айғоқӣ	ايغاقي
айдун	ايدون
айём	ايام
айёр	عيار
айёрӣ	عياري
айёрнамо	عيارنما
айёрон	عياران
айёрона	عيارانه
айёрпеша	عيارپيشه
айёш	عياش
айёшӣ	عياشي
айёшона	عياشانه
айзан	ايضاً
айлоқ	ايلاق
айман	ايمن
айн	عين
айнак	عينک
айнакдор	عينک دار
айнакӣ	عينکي
айнакнок	عينک ناک
айнаксоз	عينک ساز
айнаксозӣ	عينک سازي
айнакфурӯш	عينک فروش
айнакфурӯшӣ	عينک فروشي
айнан	عيناً
айнишинос	عيني شناس
айнишиносӣ	عيني شناسي
айният	عينيت
айнӣ	عيني
айнулаён	عين العيان
айнулкамол	عين الکمال
айнулҳаёт	عين الحيات
айнуляқин	عين اليقين
айрон	ايران
айсар	ايسر
айсберг	ايسبيرگ
айтом	ايتام
айфуда	ايفده
айфудасарӣ	ايفده سري
айш	عيش
айшафрӯз	عيش افروز
айшгоҳ	عيش گاه
айшдӯст	عيش دوست
айшдӯстӣ	عيش دوستي
айшобод	عيش آباد
айшпараст	عيش پرست
айшпарастӣ	عيش پرستي
айшпарвар	عيش پرور
айшпарварӣ	عيش پروري
айшсоз	عيش ساز
айшсозӣ	عيش سازي
айшталаб	عيش طلب
айшхона	عيش خانه
айюҳаннос	ايها الناس
айюҳассалот	ايها الصلاة
айюҳассоқӣ	ايها الساقي
ака	اکه
академизм	اکدميزم
академик	اکدميک
академикӣ	اکدميکي
академия	اکدميه
академиявӣ	اکدميوي
академӣ	اکدمي
ак-ак	اک اک
акамулло	اکه ملا
акбар	اکبر
аквамарин	اکومرين
акварел	اکوريل
аквариум	اکوريوم
акдар	اکدر
акдиш	اکدش
акид	اکيد
акидан	اکيداً
акка	عکّه
аккос	اکاس
аккол	اکّال
акколбозӣ	اکّال بازي
акколдаста	اکّال دسته
аккорд	اکّارد
аккордеон	اکّارديآن
аккосзанӣ	اکّاس زني
аккосӣ	عکاسي
аккосхона	عکّاس خانه
аккредитив	اکريدتيو
аккумулятор	اکومليتار
аккумуляторӣ	اکومليتاري
акл	اکل
акмал	اکمل
акмаҳ	اکمه
акноф	اکناف
кунун	کنون
ако	اکا
акобир	اکابر
акобирзода	اکابرزاده
акосира	اکاسيره
акр	اکر
акрам	اکرم
акрихин	اکرخين
акробатика	اکرابتيکه
акробатӣ	اکرابتي
акс	عکس
акса	عکسه
аксандоз	عکس انداز
аксандозӣ	عکس اندازي
аксар	اکثر
аксаран	اکثراً
аксариюн	اکثريون
аксарият	اکثريت
аксбардор	عکس بردار
аксбардорӣ	عکس برداري
аксбарорӣ	عکس براري
аксгир	عکس گير
аксгирӣ	عکس گيري
аксдор	عکس دار
акссоз	عکس ساز
акссозӣ	عکس سازي
аксент	اکسنت
аксиз	اکسيز
аксия	اکسيه
акскунанда	عکس کننده
акскунонӣ	عکس کناني
аксуламал	عکس العمل
аксулинқилоб	عکس الانقلاب
аксулинқилобӣ	عکس الانقلابي
аксулҳаракат	عکس الحرکت
аксулҳаракатчӣ	عکس الحرکتچي
аксулҳуҷум	عکس الهجوم
акт	اکت
актёр	اکتيار
актёрӣ	اکتياري
актив	اکتيو
актиний	اکتنيي
актиния	اکتنيه
актиномитсетҳо	اکتناميتستها
акустика	اکوستيکه
акустикӣ	اکوستيکي
акушер	اکوشير
акушерӣ	اکوشيري
ақаба	عقبه
ақалл	اقل
ақаллан	اقلاً
ақаллиюн	اقلّيون
ақаллият	اقلّيت
ақба	عقبه
ақвом	اقوام
ақвот	اقوات
ақд	عقد
ақдас	اقدس
ақдбандӣ	عقدبندي
ақдкарда	عقدکرده
ақдкардагӣ	عقدکردگي
ақднома	عقدنامه
ақиб	عقب
ақибандоз	عقب انداز
ақибафтода	عقب افتاده
ақибафтодагӣ	عقب افتادگي
ақибгардӣ	عقب گردي
ақибгоҳ	عقب گاه
ақибкашӣ	عقب کشي
ақибмонда	عقب مانده
ақибмондагӣ	عقب ماندگي
ақибмонӣ	عقب ماني
ақибнишинӣ	عقب نشيني
ақибнокӣ	عقب ناکي
ақибравӣ	عقب روي
ақида	عقيده
ақиқ	عقيق
ақиқа	عقيقه
ақиқин	عقيقين
ақиқфом	عقيقفام
ақим	عقيم
ақл	عقل
ақлан	عقلاً
ақлак	عقلک
ақлакӣ	عقلکي
ақлбар	عقل بر
ақлгаро	عقل گرا
ақлгароӣ	عقل گرايي
ақлдузд	عقل دزد
ақлӣ	عقلي
ақлкӯтоҳ	عقل کتاه
ақлмухтасар	عقل مختسر
ақлнок	عقلناک
ақлнорас	عقل نارس
ақлозмой	عقل آزماي
ақлом	اقلام
ақлонӣ	عقلاني
ақлписанд	عقل پسند
ақлрамида	عقل رميده
ақлрас	عقل رس
ақлрасо	عقل رسا
ақлсанҷ	عقل سنج
ақлхиракунанда	عقل خيره کننده
ақмиша	اقمشه
ақоид	عقائد
ақоқиё	عقاقيا
ақор	عقار
ақориб	اقارب
ақраб	اقرب
ақрабак	اقربک
ақрабо	اقربا
ақрабоӣ	اقربايي
ақран	اقرن
ақрон	اقران
ақсар	اقصر
ақсо	اقصي
ақсом	اقسام
ақсум	اقسم
ақтаъ	اقطع
ақъақ	عق عق
алав	الو
алавгирӣ	الوگيري
алавдон	الودان
алавигарӣ	علوي گري
алавия	علويه
алавӣ	علوي
алавкуш	الوکوش
алавмон	الومان
алавпора	الوپاره
алавпошӣ	الوپاشي
алавхона	الوخانه
алағда	الغده
аладдавом	علي الدوام
алайк	عليک
алайкассалом	عليک السلام
алайкум	عليکم
алайҳи…	عليه
алайҳиссалом	عليه السلام
алалфавр	علي الفور
алалхусус	علي الخصوص
алалҳол	علي الحال
алалҷумла	علي الجمله
алам	الم
аламангез	الم انگيز
аламангезона	الم انگيزانه
аламбар	الم بر
аламбарор	الم برار
аламдида	الم ديده
аламдор	الم دار
аламзада	علم زده
аламзадагӣ	الم زدگي
аламкаш	علم کش
аламнок	الم ناک
аламовар	الم آور
аламон	المان
аламрасида	الم رسيده
аланӣ	علني
аланга	النگه
алангадор	النگه دار
аланият	علنيت
алас	الس
алассабоҳ	علي الصباح
алассавия	علي السويه
аласт	الست
алатароқ	التراق
алаф	علف
алафгоҳ	علف گاه
алафғундор	علف غندار
алафғундорӣ	علف غنداري
алафдарав	علف درو
алафдаравӣ	علف دروي
алафзор	علف زار
алафкорӣ	علف کاري
алафмолкунӣ	علف مالکني
алафмонанд	علف مانند
алафпоя	علف پايه
алафхор	علف خوار
алафхӯр	علف خور
алафхӯронӣ	علف خوراني
алаҳуштак	علي هشتک
албастӣ	البستي
албатта	البته
албиса	البسه
албоқӣ	الباقي
албом	البام
алвақт	الوقت
алвидоъ	الوداع
алвон	الوان
алвонпӯш	الوان پوش
алвонҷ	الوانج
алвонҷбозӣ	الوانج بازي
алвонҷдиҳӣ	الوانج دهي
алвонҷхӯранда	الوانج خورنده
алвонҷхӯрӣ	الوانج خوري
алвонҷхӯрон	الوانج خوران
алгебра	الگيبره
алгебрӣ	الگيبري
алгоритм	الگارتم
алғав	الغو
алғараз	الغرض
алғаш	الغش
алғиёс	الغياث
алғов	الغاو
алейк	عليک
алийя	عليه
алил	عليل
алилӣ	عليلي
алилулмизоҷ	عليل المزاج
алим	اليم
алимент	المينت
алиф	الف
алифбо	الفبا
алифбоӣ	الفبايي
алифбонавис	الفبانويس
алифбонависӣ	الفبانويسي
алифбохонӣ	الفباخواني
алифвор	الفوار
алифлом	الف لام
алифосо	الف آسا
алифулқад	الف القد
алкалоид	الکلائد
алкан	الکن
алкимиё	الکيميا
алкул	الکول
алкулӣ	الکولي
алқазо	القضا
алқисса	القصه
алқоб	القاب
алқундӣ	القندي
алла	الّه
аллагӯӣ	الّه گويي
аллакай	الّکي
аллегро	الّيگرا
аллергия	الّيرگيه
аллом	علام
аллома	علامه
аллондан	الاندن
аллотропия	الاتراپيه
аллотропӣ	الاتراپي
аллоф	علاف
аллофӣ	علافي
аллоҳ	الله
алмос	الماس
алмосвор	الماس وار
алмосгун	الماس گون
алмосдор	الماس دار
алмосӣ	الماسي
алмоскорӣ	الماس کاري
алмосмонанд	الماس مانند
алмоспайкон	الماس پيکان
алмоспора	الماس پاره
алмосранг	الماس رنگ
алмостарош	الماس تراش
алмостарошӣ	الماس تراشي
ало	الا
алобуло	الا بلا
алов	الاو
аловбозӣ	الاوبازي
аловгирак	الاوگيرک
аловдон	الاودان
аловӣ	الاوي
аловмон	الاومان
аловхона	الاوخانه
алозолик	علي ذالک
алоиқ	علائق
алоим	علائم
алоӣ	الائي
алоқа	علاقه
алоқагоҳ	علاقه گاه
алоқадор	علاقه دار
алоқадорӣ	علاقه داري
алоқадр	علي قدر
алоқаманд	علاقه مند
алоқамандӣ	علاقه مندي
алоқанок	علاقه ناک
алоқачӣ	علاقچي
алоло	علالا
аломат	علامت
аломатгузорӣ	علامت گذاري
аломушак	الامشک
алония	علانيه
алоҳида	عليحده
алоҳозо	علي هذا
алоча	علاچه
алочабоф	الاچه باف
алочабофӣ	الاچه بافي
алочапӯш	الاچه پوش
алочашм	الا چشم
алочипор	الا چپار
алошақшақа	الاشقشقه
алпинизм	الپينيزم
алсағ	الثغ
алт	الت
алтаф	الطف
алтернатива	التيرنتيوه
алтернативӣ	التيرنتيوي
алтоф	الطاف
алф	الف
алфа	الفه
алфа-зарраҳо	الفه زرها
алфа-коҳиш	الفه کاهش
алфанҷидан	الفنجيدن
алфахтан	الفختن
алфироқ	الفراق
алфоз	الفاظ
алҳазар	الحذر
алҳақ	الحق
алҳамд	الحمد
алҳамдулиллоҳ	الحمد لله
алҳол	الحال
алҳон	الحان
алҷабр	الجبر
алъамон	الامان
алъон	الآن
алюмин	اليومين
алюминий	اليومينيي
алюминӣ	اليوميني
амад	عمد
амадрон	عمدران
амадчӣ	عمدچي
амак	عمک
амакбача	عمک بچه
амакбобо	عمک بابا
амакзода	عمک زاده
амакӣ	عمکي
амакхонд	عمک خواند
амал	عمل
амалан	عملاً
амалдор	عمل دار
амалдорӣ	عمل داري
амалиёт	عمليات
амалия	عمليه
амалӣ	عملي
амалкард	عمل کرد
амалпараст	عمل پرست
амалпарастӣ	عمل پرستي
амалфармо	عمل فرما
амалхона	عمل خانه
амбулатория	امبلتاريه
амбулаторӣ	امبلتاري
амвол	اموال
амвоҷ	امواج
амвоҷзанон	امواج زنان
амд	عمد
амдан	عمداً
амёба	اميابه
амзиҷа	امزجه
амзода	عم زاده
амид	عميد
амиқ	عميق
амиқӣ	عميقي
амиқулфикр	عميق الفکر
амим	عميم
амин	امين
аминокислота	اميناکيسلاته
аминона	امينانه
амир	امير
амирзода	اميرزاده
амирӣ	اميري
амирохур	اميرآخور
амирулбаҳр	اميرالبحر
амирулмӯъминин	امير المؤمنين
амирулҳуҷҷоб	اميرالحجاب
амирушшуаро	اميرالشعرا
амиршинос	اميرشناس
амлас	املس
амлаҳ	املح
амлаҳушшуаро	املح الشعرا
амлок	املاک
амлокдор	املاک دار
амлокдорхона	املاک دارخانه
амм	عم
амма	عمه
аммабача	عمه بچه
аммиак	اميئک
аммо	اما
аммома	عمامه
аммонал	امانل
аммоний	امانيي
аммонит	امانيت
аммор	امار
аммора	اماره
аммофос	عمافاس
амн	امن
амният	امنيت
амниятӣ	امنيتي
амниятхоҳ	امني ت خواه
амниятҷӯй	امني ت جوي
амнобод	امن آباد
амо	عما
амокин	اماکن
амон	امان
амонат	امانت
амонатгузор	امانت گذار
амонатгузорӣ	امانت گذاري
амонатдор	امانت دار
амонатӣ	امانتي
амонаткасса	امانت کسه
амонатнигоҳдор	امانت نگاه دار
амонатфурӯш	امانت فروش
амонатфурӯшӣ	امانت فروشي
амонгоҳ	امان گاه
амонӣ	اماني
амоннома	امان نامه
амонот	امانات
амонпулӣ	امان پولي
аморат	امارت
аморатпаноҳ	امار ت پناه
аморидор	عماري دار
аморикаш	عماري کش
аморӣ	عماري
амортизатор	امارتزتار
амортизатсионӣ	امارتزتسياني
амортизатсия	امارتزتسيه
амоч	اماج
ампер	امپير
амперметр	امپيرميتر
амплитуда	امپليتوده
ампула	امپوله
ампутатсия	امپوتتسيه
амр	امر
амрад	امرد
амрадбозӣ	امردبازي
амрбар	امربر
амрдиҳанда	امردهنده
амрдиҳӣ	امردهي
амрӣ	امري
амркунанда	امرکننده
амроз	امراض
амруд	امرود
амрудбун	امرودبن
амрхат	امرخط
амсол	امثال
амтиа	امتعه
амуд	عمود
амудан	عموداً
амудӣ	عمودي
амфибия	امفيبيه
амфитеатр	امفتأتر
ана	انه
анабазис	انبزيس
анабиоз	انبئاز
анализатор	انليزتار
аналитикӣ	انليتيکي
аналҳақ	اناالحق
ананас	اننس
анархизм	انرخيزم
анархист	انرخست
анархистӣ	انرخستي
анархия	انرخيه
анархосиндикализм	انرخاسيندکليزم
анатом	انتام
анатомия	انتاميه
анатомӣ	انتامي
анахронизм	انخرانيزم
анба	عنبه
анбарафшон	عنبرافشان
анбарбез	عنبربيز
анбарбор	عنبربار
анбарборис	عنبرباريس
анбарбӯй	عنبربوي
анбарга	عنبرگه
анбарзой	عنبرزاي
анбарин	عنبرين
анбарина	عنبرينه
анбарингесӯй	عنبرين گيسوي
анбариндор	عنبرين دار
анбаринмӯй	عنبرين موي
анбарӣ	عنبري
анбармоҳӣ	عنبرماهي
анбармӯй	عنبرموي
анбарнисор	عنبرنثار
анбарогин	عنبرآگين
анбароин	عنبرآئين
анбаролуд	عنبرآلود
анбаромез	عنبرآميز
анбаросо	عنبرآسا
анбарпош	عنبرپاش
анбарсиришт	عنبرسرشت
анбарсиришта	عنبرسرشته
анбарсо	عنبرسا
анбарсӯз	عنبرسوز
анбарфишон	عنبرفشان
анбарфурӯш	عنبرفروش
анбаршикан	عنبرشکن
анбаста	انبسته
анбиё	انبيا
анбиқ	انبيق
анбоз	انباز
анбозӣ	انبازي
анбон	انبان
анбона	انبانه
анбонча	انبانچه
анбор	انبار
анборбон	انباربان
анбордор	انباردار
анбордорӣ	انبارداري
анборзада	انبارزده
анборидан	انباريدن
анборӣ	انباري
анборкунӣ	انبارکني
анборхона	انبارخانه
анборчӣ	انبارچي
анбошта	انباشته
анбоштан	انباشتن
анбурак	انبرک
анбӯҳ	انبوه
анбӯҳӣ	انبوهي
анвар	انور
анвор	انوار
